#Proteome data from UniProt
#Taxonomy	83333-Escherichia coli (strain K12)
#Last modified	March 9, 2019
Entry	Gene names  (ordered locus )
A0A385XJ53	b4709
A0A385XJE6	b4711
A0A385XJK5	b4605
A0A385XJL2	b4610
A0A385XJL4	b4710
A5A605	b4586
A5A607	b4589
A5A611	b4593
A5A612	b4594
A5A613	b4595
A5A614	b4596
A5A615	b4598
A5A616	b4599
A5A617	b4601
A5A618	b4602
A5A619	b4604
A5A621	b4606
A5A624	b4613
A5A625	b4615
A5A627	b4618
A5A628	b4620
A5A630	b4622
A8DYP9	b4637
A8DYQ1	b4655
C1P5Z7	b4662
C1P5Z8	b4671
C1P5Z9	b4672
C1P600	b4674
C1P601	b4689
C1P602	b4676
C1P603	b4675
C1P604	b4677
C1P605	b4663
C1P606	b4678
C1P607	b4667
C1P608	b4668
C1P609	b4679
C1P610	b4680
C1P611	b4687
C1P612	b4682
C1P613	b4683
C1P614	b4684
C1P615	b4665
C1P616	b4664
C1P617	b4666
C1P618	b4685
C1P619	b4669
C1P620	b4686
C1P621	b4670
E2JKY7	b4702
G3MTW7	b4703
O32528	b2376
O32583	b4407
O52982	b2636
P00350	b2029
P00363	b4154
P00370	b1761
P00393	b1109
P00448	b3908
P00452	b2234
P00490	b3417
P00509	b0928
P00547	b0003
P00550	b3599
P00561	b0002
P00562	b3940
P00579	b3067
P00582	b3863
P00634	b0383
P00722	b0344
P00803	b2568
P00804	b0027
P00805	b2957
P00811	b4150
P00816	b0340
P00861	b2838
P00864	b3956
P00887	b1704
P00888	b2601
P00893	b0077
P00894	b0078
P00895	b1264
P00903	b3360
P00904	b1263
P00909	b1262
P00914	b0708
P00926	b2366
P00934	b0004
P00935	b3939
P00936	b3806
P00944	b3565
P00946	b1613
P00954	b3384
P00956	b0026
P00957	b2697
P00959	b2114
P00960	b3560
P00961	b3559
P00962	b0680
P00963	b3744
P00968	b0033
P02338	b1229
P02358	b4200
P02359	b3341
P02413	b3301
P02916	b4033
P02918	b3396
P02919	b0149
P02920	b0343
P02921	b4120
P02924	b1901
P02925	b3751
P02929	b1252
P02930	b3035
P02931	b0929
P02932	b0241
P02942	b4355
P02943	b4036
P03004	b3702
P03007	b0215
P03014	b1158
P03018	b3813
P03023	b0345
P03024	b2837
P03030	b2839
P03061	b3672
P03813	b2840
P03817	b3742
P03819	b0047
P03825	b3322
P03835	b4278
P03841	b4037
P03959	b0698
P03960	b0697
P03961	b0696
P04036	b0031
P04079	b2507
P04128	b4314
P04152	b1184
P04335	b0239
P04391	b4254
P04395	b2068
P04425	b2947
P04693	b4054
P04805	b2400
P04816	b3458
P04825	b0932
P04846	b3661
P04949	b1923
P04951	b0918
P04968	b3772
P04982	b3748
P04983	b3749
P04993	b2819
P04994	b2509
P04995	b2011
P05020	b1062
P05041	b1812
P05042	b1611
P05050	b2212
P05052	b0564
P05055	b3164
P05100	b3549
P05194	b1693
P05458	b2821
P05459	b2320
P05523	b3635
P05637	b0049
P05704	b1421
P05706	b2704
P05707	b2705
P05719	b4348
P05791	b3771
P05793	b3774
P05804	b1617
P05824	b2616
P05825	b0584
P05827	b3773
P05847	b3061
P05852	b3064
P06129	b3966
P06134	b2213
P06136	b0093
P06149	b2133
P06282	b3918
P06609	b1711
P06610	b1710
P06611	b1709
P06612	b1274
P06616	b2566
P06709	b3973
P06710	b0470
P06715	b3500
P06720	b4119
P06721	b3008
P06722	b2831
P06846	b3075
P06864	b3076
P06959	b0115
P06960	b0273
P06961	b3056
P06965	b1569
P06966	b1570
P06968	b3640
P06971	b0150
P06972	b0153
P06974	b1945
P06983	b3805
P06986	b2021
P06987	b2022
P06988	b2020
P06989	b2026
P06992	b0051
P06993	b3418
P06996	b2215
P06999	b1723
P07000	b3825
P07001	b1603
P07003	b0871
P07004	b0243
P07010	b1561
P07012	b2891
P07013	b4201
P07014	b0724
P07017	b1886
P07018	b1885
P07021	b2605
P07023	b2600
P07024	b0480
P07026	b1916
P07102	b0980
P07109	b2306
P07117	b1015
P07118	b4258
P07330	b1883
P07363	b1888
P07364	b1884
P07395	b1713
P07464	b0342
P07604	b1323
P07623	b4013
P07639	b3389
P07648	b2822
P07649	b2318
P07650	b4382
P07654	b3726
P07658	b4079
P07762	b3432
P07813	b0642
P07821	b0151
P07822	b0152
P07862	b0092
P07913	b3616
P08142	b3671
P08178	b2499
P08179	b2500
P08189	b4318
P08190	b4319
P08191	b4320
P08192	b2315
P08194	b2240
P08200	b1136
P08201	b3365
P08202	b0062
P08203	b0061
P08204	b0063
P08244	b1281
P08245	b1282
P08312	b1714
P08331	b4213
P08337	b0099
P08365	b4224
P08368	b4398
P08369	b4400
P08370	b2824
P08371	b2825
P08372	b2823
P08373	b3972
P08390	b2319
P08394	b2820
P08395	b1766
P08400	b0400
P08401	b4399
P08506	b0839
P08550	b2313
P08555	b2365
P08622	b0015
P08660	b4024
P08722	b3722
P08839	b2416
P08956	b4350
P08957	b4349
P08997	b4014
P09029	b0522
P09030	b1749
P09053	b3572
P09099	b3564
P09126	b3804
P09127	b3803
P09147	b0759
P09148	b0758
P09151	b0074
P09152	b1224
P09153	b1156
P09154	b1155
P09155	b1804
P09158	b0121
P09162	b4011
P09163	b4012
P09169	b0565
P09184	b1960
P09323	b0679
P09348	b1890
P09372	b2614
P09373	b0903
P09377	b3905
P09378	b3906
P09391	b3424
P09394	b2239
P09424	b3600
P09546	b1014
P09549	b2314
P09551	b2310
P09557	b1575
P09831	b3212
P09832	b3213
P09833	b0765
P09835	b3668
P09836	b3667
P09980	b3778
P09996	b3698
P0A698	b4058
P0A6A0	b3835
P0A6A3	b2296
P0A6A6	b0072
P0A6A8	b1094
P0A6B4	b4053
P0A6B7	b2530
P0A6C1	b2159
P0A6C5	b2818
P0A6C8	b3959
P0A6D0	b3237
P0A6D3	b0908
P0A6D7	b3390
P0A6E1	b0388
P0A6E4	b3172
P0A6E6	b3731
P0A6E9	b1593
P0A6F1	b0032
P0A6F3	b3926
P0A6F5	b4143
P0A6F9	b4142
P0A6G3	b2700
P0A6G5	b0614
P0A6G7	b0437
P0A6H1	b0438
P0A6H5	b3931
P0A6H8	b1249
P0A6I0	b0910
P0A6I3	b3974
P0A6I6	b3634
P0A6I9	b0103
P0A6J1	b2750
P0A6J3	b2413
P0A6J5	b1189
P0A6J8	b0381
P0A6K1	b3809
P0A6K3	b3287
P0A6K6	b4383
P0A6L0	b4381
P0A6L2	b2478
P0A6L4	b3225
P0A6L7	b1521
P0A6L9	b2527
P0A6M2	b1185
P0A6M4	b3887
P0A6M8	b3340
P0A6N4	b4147
P0A6N8	b2171
P0A6P1	b0170
P0A6P5	b2511
P0A6P7	b3865
P0A6P9	b2779
P0A6Q3	b0954
P0A6Q6	b0180
P0A6R0	b1091
P0A6R3	b3261
P0A6S0	b1079
P0A6S3	b1080
P0A6S5	b2748
P0A6S7	b3608
P0A6T1	b4025
P0A6T3	b0757
P0A6T5	b2153
P0A6T9	b2904
P0A6U3	b3741
P0A6U5	b3740
P0A6U8	b3429
P0A6V1	b3430
P0A6V5	b3425
P0A6V8	b2388
P0A6W0	b1524
P0A6W3	b0087
P0A6W5	b3181
P0A6W9	b2688
P0A6X1	b1210
P0A6X3	b4172
P0A6X7	b1712
P0A6Y1	b0912
P0A6Y5	b3401
P0A6Y8	b0014
P0A6Z1	b2526
P0A6Z3	b0473
P0A6Z6	b3481
P0A700	b2726
P0A703	b2991
P0A705	b3168
P0A707	b1718
P0A710	b1254
P0A712	b3909
P0A715	b1215
P0A717	b1207
P0A720	b1098
P0A722	b0181
P0A725	b0096
P0A729	b1087
P0A731	b0963
P0A734	b1174
P0A738	b0783
P0A742	b3291
P0A744	b4219
P0A746	b1778
P0A749	b3189
P0A752	b0639
P0A754	b0046
P0A756	b3351
P0A759	b0678
P0A761	b3223
P0A763	b2518
P0A766	b1627
P0A769	b2392
P0A772	b2674
P0A776	b2830
P0A780	b0416
P0A784	b4162
P0A786	b4245
P0A790	b0131
P0A794	b2564
P0A796	b3916
P0A799	b2926
P0A7A2	b4395
P0A7A5	b2743
P0A7A7	b4041
P0A7A9	b4226
P0A7B1	b2501
P0A7B3	b2615
P0A7B5	b0242
P0A7B8	b3932
P0A7C2	b4043
P0A7C6	b4021
P0A7C8	b4030
P0A7D1	b1204
P0A7D4	b4177
P0A7D7	b2476
P0A7E1	b0945
P0A7E3	b3642
P0A7E5	b2780
P0A7E9	b0171
P0A7F3	b4244
P0A7F6	b0120
P0A7F9	b0405
P0A7G2	b3167
P0A7G6	b2699
P0A7H0	b3700
P0A7H3	b2565
P0A7H6	b0472
P0A7I0	b1211
P0A7I4	b4375
P0A7I7	b1277
P0A7J0	b3041
P0A7J3	b3985
P0A7J7	b3983
P0A7K2	b3986
P0A7K6	b2606
P0A7L0	b3984
P0A7L3	b1716
P0A7L8	b3185
P0A7M2	b3637
P0A7M6	b3312
P0A7M9	b3936
P0A7N1	b0296
P0A7N4	b1089
P0A7N9	b3636
P0A7P5	b3703
P0A7Q1	b1717
P0A7Q6	b3299
P0A7R1	b4203
P0A7R5	b3321
P0A7R9	b3297
P0A7S3	b3342
P0A7S9	b3298
P0A7T3	b2609
P0A7T7	b4202
P0A7U3	b3316
P0A7U7	b0023
P0A7V0	b0169
P0A7V3	b3314
P0A7V8	b3296
P0A7W1	b3303
P0A7W7	b3306
P0A7X3	b3230
P0A7X6	b2608
P0A7Y0	b2567
P0A7Y4	b0214
P0A7Y8	b3704
P0A7Z0	b2914
P0A7Z4	b3295
P0A800	b3649
P0A805	b0172
P0A809	b1861
P0A812	b1860
P0A814	b1863
P0A817	b2942
P0A821	b3591
P0A823	b0146
P0A825	b2551
P0A828	b3284
P0A830	b3528
P0A832	b2620
P0A836	b0728
P0A840	b2744
P0A843	b0627
P0A847	b0406
P0A850	b0436
P0A853	b3708
P0A855	b0740
P0A858	b3919
P0A862	b1324
P0A867	b2464
P0A870	b0008
P0A873	b2607
P0A877	b1260
P0A879	b1261
P0A881	b4393
P0A884	b2827
P0A887	b3833
P0A890	b3470
P0A894	b3205
P0A898	b0659
P0A8A0	b1864
P0A8A2	b1983
P0A8A4	b1703
P0A8A8	b3170
P0A8B2	b2331
P0A8B5	b0471
P0A8C1	b0866
P0A8C4	b2909
P0A8C8	b4557
P0A8D0	b0413
P0A8D3	b0387
P0A8D6	b1045
P0A8D9	b2295
P0A8E1	b1108
P0A8E5	b0119
P0A8E7	b0426
P0A8F0	b2498
P0A8F4	b2066
P0A8F8	b0779
P0A8G0	b1913
P0A8G3	b3092
P0A8G6	b1004
P0A8G9	b0422
P0A8H3	b3040
P0A8H6	b3866
P0A8H8	b0101
P0A8I1	b2949
P0A8I3	b0006
P0A8I5	b2960
P0A8I8	b0636
P0A8J2	b4362
P0A8J4	b0631
P0A8J8	b3780
P0A8K1	b4160
P0A8K5	b4406
P0A8K8	b3886
P0A8L1	b0893
P0A8L5	b1181
P0A8L7	b1248
P0A8M0	b0930
P0A8M3	b1719
P0A8M6	b2007
P0A8N0	b0956
P0A8N3	b2890
P0A8N5	b4129
P0A8N7	b4155
P0A8P1	b0885
P0A8P3	b2962
P0A8P6	b3811
P0A8P8	b2894
P0A8Q0	b4152
P0A8Q3	b4151
P0A8Q6	b0881
P0A8R0	b3929
P0A8R4	b3348
P0A8R7	b1322
P0A8R9	b4480
P0A8S1	b2916
P0A8S5	b3494
P0A8S9	b1892
P0A8T1	b3259
P0A8T5	b1937
P0A8T7	b3988
P0A8U0	b2793
P0A8U2	b0209
P0A8U6	b3938
P0A8V0	b2268
P0A8V2	b3987
P0A8V6	b1187
P0A8W0	b3226
P0A8W2	b1642
P0A8W5	b2948
P0A8W8	b2294
P0A8X0	b4234
P0A8X2	b1056
P0A8X4	b0964
P0A8Y1	b4374
P0A8Y3	b3885
P0A8Y5	b3697
P0A8Y8	b0597
