#Proteome data from UniProt
#all entries manually verified
#note that length is gene length not chain length
##could be different if post translationally modified
#Taxonomy	559292-Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
#Last modified	February 19, 2017	
Entry	Gene names  (ordered locus )
P47182	YJR155W
Q08361	YOL165C
P37898	YHR047C
P21147	YGL055W
P00330	YOL086C
P47143	YJR105W
P48360	YDR376W
Q12184	YPL252C
P18239	YBL030C
P25613	YCR010C
P32493	YMR064W
P22136	YMR282C
P32317	YEL052W
P23542	YLR027C
P39970	YER045C
P28240	YER065C
Q03771	YDR161W
P00331	YMR303C
P07246	YMR083W
P38113	YBR145W
Q04894	YMR318C
P38903	YOR014W
Q00362	YGL190C
P42884	YNL331C
Q02895	YPL088W
P25612	YCR107W
P08521	YOR302W
P32357	YBL074C
Q00955	YNR016C
P31787	YGR037C
P31383	YAL016W
Q01802	YKL106W
Q08981	YPL267W
Q07622	YDL203C
Q08957	YPL202C
P32323	YNR044W
P43548	YFL055W
P47015	YJL131C
P47140	YJR100C
Q04689	YML050W
Q04516	YML087C
Q08223	YOL053W
P38266	YBR108W
Q12032	YOR215C
P38305	YBR194W
P46680	YMR092C
Q12471	YOL136C
P38720	YHR183W
P53319	YGR256W
Q02486	YMR072W
P19414	YLR304C
P13711	YGL205W
P40535	YIL036W
Q12031	YPR006C
P32316	YBL015W
P18238	YBR085W
P22149	YGL071W
P38013	YLR109W
P03875	Q0050
P40502	YIL087C
P40563	YIR003W
P47127	YJR080C
P40433	YIL107C
P47146	YJR108W
P15891	YCR088W
P47177	YJR149W
P14164	YKL112W
P21192	YLR131C
P47129	YJR083C
P39533	YJL200C
P47096	YJR025C
Q07747	YDL243C
P12904	YGL115W
Q08641	YOR239W
P53730	YNR030W
P15274	YML035C
P53068	YGL240W
Q04601	YDR118W
Q12354	YLR118C
P53954	YNL048W
P38285	YBR158W
P08019	YIL099W
P32629	YEL036C
Q06497	YPR128C
P53309	YGR241C
P36000	YKL135C
Q99186	YOL062C
P38153	YBR288C
Q12107	YLR102C
Q01574	YAL054C
P52910	YLR153C
P60010	YFL039C
Q12089	YPL005W
P38628	YEL058W
Q12449	YDR214W
P25649	YCR082W
Q03798	YMR157C
Q99299	YPL158C
P54114	YMR169C
P38971	YNL270C
P38313	YBR211C
Q03233	YMR184W
P53909	YNL141W
Q2V2Q1	YCL058W-A
P10127	YGL256W
P25377	YCR105W
P07248	YDR216W
P32794	YLR397C
P39925	YER017C
P25376	YCL025C
P38090	YBR132C
Q12433	YOR023C
P38884	YHR198C
P32858	YKL037W
P40507	YIL079C
P52893	YLR089C
P52892	YDR111C
P47771	YMR170C
P46367	YOR374W
P40047	YER073W
P54115	YPL061W
P50076	YGR227W
P38242	YBR070C
P40350	YPL227C
Q12001	YOR002W
P43633	YGL021W
Q07716	YDL237W
P38080	YBR059C
P54783	YML086C
Q08269	YOL130W
P22580	YDR242W
P36090	YKL047W
P38832	YHR126C
P38856	YHR161C
Q00776	YPL259C
Q00381	YJR058C
Q08951	YPL195W
Q12157	YDL008W
P32781	YGL032C
Q12482	YPR021C
P43567	YFL030W
P03876	Q0055
P53109	YGL160W
P40053	YER080W
P10869	YER052C
Q08548	YOR175C
P16661	YBR110W
P43636	YGL065C
P40351	YOR067C
P32789	YBL009W
P32459	YIR032C
P16550	YCL050C
Q12440	YLR127C
Q08683	YOR249C
P38281	YBR151W
P22936	YKL114C
P32463	YKL192C
P53930	YNL107W
P33304	YDR085C
Q9ZZX0	Q0075
P40451	YIL158W
P14540	YKL060C
P38179	YBL082C
P25335	YIR029W
P32375	YIR027C
P25371	YCR011C
Q01976	YBR111C
P04710	YMR056C
Q05955	YLR227C
Q04412	YDR524C
P40529	YIL044C
P52923	YNR074C
P23180	YHL021C
Q03673	YMR003W
Q12156	YDR063W
Q12476	YDL175C
P39010	YDR264C
P47019	YJL122W
P53178	YGL047W
P53868	YNL219C
P43553	YFL050C
Q02336	YDR448W
P38872	YHR185C
Q07732	YDL239C
Q99222	YOR129C
P29589	YHR093W
P87275	YER093C-A
P36154	YKR074W
P39721	YAL049C
P38885	YHR199C
P36117	YKR021W
P47029	YJL084C
P50082	YGR225W
P14904	YKL103C
Q12028	YPR029C
P27351	YJR005W
P22108	YDR530C
P38115	YBR149W
Q04212	YMR041C
P07347	YHR013C
