oln	contact_density
b0004	8.10280373832
b0006	7.67816091954
b0008	8.11392405063
b0009	7.26775956284
b0014	7.84666666667
b0019	7.42021276596
b0023	6.58181818182
b0028	5.9625
b0029	7.72815533981
b0031	6.99264705882
b0032	7.85224274406
b0033	8.29084041549
b0038	7.33660933661
b0040	7.77281947262
b0046	7.27218934911
b0048	8.76729559748
b0051	7.46245059289
b0052	7.64741641337
b0053	6.96391752577
b0058	7.18894009217
b0059	6.58064516129
b0060	7.79513444302
b0061	7.68609865471
b0062	7.51807228916
b0068	7.78571428571
b0073	7.8347107438
b0078	6.80981595092
b0080	7.60869565217
b0082	7.71731448763
b0085	7.87927565392
b0086	7.58997722096
b0088	7.70114942529
b0090	7.81766381766
b0091	7.44117647059
b0092	7.69480519481
b0096	7.4701986755
b0097	6.41628959276
b0099	7.89147286822
b0101	6.76923076923
b0102	7.01224489796
b0103	6.96590909091
b0114	8.21473158552
b0116	7.34607218684
b0118	7.87703016241
b0121	7.31914893617
b0125	7.1676300578
b0126	7.16822429907
b0131	6.89075630252
b0133	7.35460992908
b0134	7.83969465649
b0140	6.80597014925
b0142	7.1375
b0144	7.44322344322
b0145	6.78620689655
b0146	7.3275862069
b0147	7.04093567251
b0148	7.43811881188
b0149	7.57062146893
b0150	7.60961810467
b0152	7.57251908397
b0155	8.15315315315
b0158	7.40611353712
b0159	7.8547008547
b0160	7.99198396794
b0168	7.98473282443
b0169	7.07339449541
b0170	7.61741835148
b0171	7.42735042735
b0172	7.13043478261
b0173	7.91959798995
b0174	7.12612612613
b0177	8.72773536896
b0179	6.95601173021
b0181	7.76335877863
b0182	8.47411444142
b0185	7.58139534884
b0186	4.71549295775
b0188	6.95612009238
b0189	7.86046511628
b0190	6.9604519774
b0191	5.78787878788
b0192	5.61052631579
b0197	9.42276422764
b0198	7.40740740741
b0199	7.4476744186
b0200	7.7032967033
b0214	8.96774193548
b0215	5.68558951965
b0220	6.8188976378
b0222	7.44791666667
b0225	6.66666666667
b0226	4.71428571429
b0228	7.24848484848
b0231	7.44444444444
b0238	6.74647887324
b0241	7.05198776758
b0242	7.51851851852
b0249	8.15151515152
b0261	7.99307958478
b0268	7.93959731544
b0285	7.46835443038
b0286	6.75428571429
b0292	6.74594594595
b0325	7.71176470588
b0331	7.43554006969
b0334	8.07610993658
b0337	8.01421800948
b0340	5.98717948718
b0342	6.96
b0343	7.95683453237
b0344	7.966796875
b0345	7.68
b0349	7.91608391608
b0350	7.75572519084
b0368	7.63701067616
b0369	7.826625387
b0383	5.43099787686
b0389	6.42253521127
b0393	7.09271523179
b0409	8.74740484429
b0411	6.91633466135
b0412	7.44047619048
b0414	7.19209039548
b0416	9.0071942446
b0420	8.04850746269
b0421	8.14715719064
b0424	7.73333333333
b0430	6.62702702703
b0432	6.12451361868
b0435	6.20560747664
b0436	7.62962962963
b0437	7.09375
b0443	7.02255639098
b0450	6.1592920354
b0451	8.25966850829
