oln	contact_density
Q0080	4.41666666667
Q0085	5.89558232932
Q0105	6.55584415584
Q0130	6.05405405405
Q0140	5.76991150442
Q0160	6.11659192825
R0010W	6.24561403509
YAL012W	7.15521628499
YAL020C	7.13846153846
YAL036C	6.38764044944
YAL038W	7.18292682927
YAL054C	6.99512195122
YAR015W	6.98338870432
YBL001C	5.76923076923
YBL016W	6.33827893175
YBL026W	5.21739130435
YBL027W	5.44680851064
YBL030C	6.92830188679
YBL036C	6.92173913043
YBL038W	5.62051282051
YBL041W	7.13861386139
YBL045C	7.0626450116
YBL050W	7.34519572954
YBL071W-A	5.65853658537
YBL072C	5.81914893617
YBL074C	6.33333333333
YBL078C	4.70588235294
YBL087C	5.66304347826
YBL092W	6.01418439716
YBL099W	7.1718426501
YBR009C	5.02272727273
YBR011C	6.64539007092
YBR019C	7.21364985163
YBR020W	7.17878192534
YBR034C	6.50609756098
YBR035C	5.83414634146
YBR039W	6.78947368421
YBR046C	7.04242424242
YBR055C	6.29355281207
YBR077C	5.91139240506
YBR082C	6.04054054054
YBR084C-A	5.80269058296
YBR085W	6.73426573427
YBR087W	6.45425867508
YBR088C	6.59607843137
YBR097W	6.05882352941
YBR107C	6.43835616438
YBR109C	5.64383561644
YBR111W-A	5.67032967033
YBR118W	6.77727272727
YBR127C	6.85776805252
YBR136W	6.12819228843
YBR137W	6.86390532544
YBR143C	5.90521327014
YBR146W	5.83185840708
YBR149W	6.96951219512
YBR153W	6.22624434389
YBR154C	5.83886255924
YBR164C	6.63687150838
YBR191W	6.18446601942
YBR193C	4.52173913043
YBR199W	6.61111111111
YBR213W	5.70229007634
YBR248C	7.37802607076
YBR249C	7.51032448378
YBR251W	5.43055555556
YBR252W	5.70078740157
YBR253W	4.85950413223
YBR272C	6.6170678337
YBR282W	3.22222222222
YBR283C	6.12244897959
YCL005W-A	4.3768115942
YCL010C	6.96456692913
YCL016C	5.75741239892
YCL026C-A	6.03351955307
YCL035C	6.18181818182
YCL043C	6.19047619048
YCR003W	3.73214285714
YCR012W	7.26746987952
YCR031C	6.42519685039
YCR046C	4.88741721854
YCR053W	7.16306483301
YCR060W	5.94594594595
YCR063W	5.47435897436
YCR071C	5.03773584906
YCR072C	6.9715536105
YCR075W-A	6.02985074627
YCR083W	6.2641509434
YCR097W	7.30641330166
YDL004W	5.29411764706
YDL007W	5.75064935065
YDL022W	7.1388101983
YDL030W	5.65800865801
YDL040C	6.88549618321
YDL045C	6.50526315789
YDL045W-A	4.36781609195
YDL060W	6.07164179104
YDL064W	6.16774193548
YDL066W	7.0900243309
YDL075W	4.96774193548
YDL081C	6.11650485437
YDL083C	5.76119402985
YDL084W	6.67914438503
YDL097C	6.47619047619
YDL100C	6.87043189369
YDL102W	6.72994350282
YDL104C	6.68169014085
YDL111C	6.5234375
YDL128W	7.66844919786
YDL133C-A	4.64
YDL137W	6.45197740113
YDL140C	6.49894291755
YDL143W	6.90421455939
YDL147W	6.09405940594
YDL160C-A	5.09589041096
YDL165W	4.46987951807
YDL184C	4.94285714286
YDL185W	6.99830795262
YDL190C	6.82094240838
YDL191W	6.13986013986
YDL192W	0.0880503144654
YDL232W	3.11111111111
YDL235C	6.42168674699
YDR001C	6.73638968481
YDR009W	7.00387596899
YDR013W	5.54807692308
YDR025W	5.10967741935
YDR032C	7.00507614213
YDR036C	6.96902654867
YDR041W	5.33333333333
YDR050C	6.995951417
YDR064W	5.41333333333
YDR078C	5.6
YDR079C-A	5.11111111111
YDR091C	6.10380622837
YDR092W	5.85135135135
YDR101C	6.37209302326
YDR142C	7.09523809524
YDR155C	7.00621118012
YDR165W	6.57219251337
YDR166C	6.34051724138
YDR175C	4.81784386617
YDR177W	5.32093023256
YDR188W	6.94934333959
YDR189W	6.58503401361
YDR212W	6.89705882353
YDR226W	6.46788990826
YDR235W	6.05936920223
YDR237W	5.30656934307
YDR256C	6.1106557377
YDR267C	7.14935064935
YDR280W	6.39464882943
YDR296W	5.87254901961
YDR298C	4.80745341615
YDR301W	7.36739659367
YDR308C	5.44537815126
YDR322W	5.89156626506
YDR337W	6.10084033613
YDR339C	5.63218390805
YDR341C	7.07413509061
YDR347W	6.21481481481
YDR353W	7.48895899054
YDR372C	6.56028368794
YDR373W	5.67368421053
YDR378C	5.68831168831
YDR385W	7.00610500611
YDR394W	5.77892030848
YDR399W	6.3184079602
YDR404C	6.01298701299
YDR405W	4.63768115942
YDR419W	6.5362035225
YDR424C	5.86046511628
YDR427W	6.26966292135
YDR428C	6.86590038314
YDR435C	6.81097560976
YDR450W	5.44827586207
YDR453C	6.37185929648
YDR454C	6.27513227513
YDR462W	4.14159292035
YDR499W	5.92613636364
YDR513W	6.62962962963
YDR529C	5.44
YDR530C	6.62091503268
YDR533C	7.53191489362
YDR539W	6.9662027833
