ensembl	dt
b3356	3
b2922	1
b2519	1
b2518	2
b3352	3
b3353	1
b3350	1
b3351	3
b2513	1
b2512	1
b2517	2
b2516	1
b2515	2
b3359	1
b2237	3
b3355	2
b3258	1
b3203	3
b2199	1
b2197	1
b2195	1
b2925	3
b3734	3
b3735	3
b3736	1
b3737	1
b2359	1
b3731	2
b3732	2
b3733	1
b2607	3
b2354	2
b2605	1
b2356	2
b2351	1
b2350	1
b2601	2
b2600	3
b2177	1
b3452	1
b2170	1
b3455	1
b2179	1
b2178	1
b2997	2
b2996	2
b2994	2
b2993	1
b2992	2
b2990	2
b1897	3
b3915	1
b1895	3
b3917	1
b1892	3
b1891	2
b2998	3
b3408	3
b3206	3
b1097	1
b1096	3
b1095	2
b1094	2
b1093	3
b1092	3
b1091	1
b1099	1
b1098	3
b3409	1
b4012	3
b1918	1
b2777	2
b2775	1
b2779	3
b1273	2
b1272	1
b1271	2
b1270	2
b1277	2
b1276	1
b1275	1
b1274	1
b1279	1
b1278	1
b1913	1
b4353	3
b4351	1
b4350	1
b1859	1
b4355	1
b1858	1
b1916	2
b2213	1
b1179	2
b0708	1
b1874	2
b1653	2
b1652	1
b1871	2
b1654	3
b0878	1
b0879	1
b0876	1
b0877	1
b0874	1
b0875	1
b1879	1
b0873	2
b0870	2
b0871	2
b4137	3
b1325	2
b4133	1
b4132	1
b4131	2
b1324	3
b4389	2
b1478	2
b2930	2
b1454	2
b1473	1
b1472	1
b1475	1
b1474	3
b1476	1
b1323	1
b1450	1
b0674	2
b0675	2
b0676	1
b0677	2
b3730	1
b0678	3
b0679	1
b0297	1
b0292	1
b0293	1
b0290	1
b0291	1
b4003	1
b1504	1
b4001	1
b4000	3
b1501	1
b0059	1
b4005	1
b4004	2
b0054	1
b0055	1
b0057	3
b0050	1
b1508	1
b0052	3
b0053	1
b2604	1
b3738	1
b0450	1
b0907	2
b0452	3
b0453	1
b0454	1
b0903	1
b0456	3
b0901	3
b0459	3
b0908	3
b0909	1
b0413	3
b2934	3
b1226	2
b2079	3
b2296	2
b1221	2
b1699	2
b1698	2
b3321	3
b2297	2
b3410	1
b3320	1
b2290	2
b2340	2
b1337	2
b1223	1
b3039	1
b3038	3
b3034	1
b3033	2
