oln	ppi
YAL008W	1
YBR255W	5
YGR164W	0
YGR131W	1
YNL003C	6
YBR135W	22
YBR160W	64
YJL082W	9
YPL191C	3
YGL215W	3
YKL074C	7
YJL077C	0
YKL096W-A	5
YIL124W	8
YLR364C-A	0
YPL039W	0
YKL048C	6
YJL179W	395
YDR316W-A	3
YDR316W-B	4
YOR009W	5
YKL029C	70
YPL166W	10
YKL052C	6
YHR025W	10
YOL034W	29
YBL008W	54
YIL062C	9
YOL116W	4
YDR196C	22
YBR280C	10
YNR032W	5
YNR045W	4
YML105C	32
YNL288W	40
YIL059C	3
YIL004C	6
YNR018W	0
YPL144W	2
YFR047C	1
YER087C-B	20
YHR078W	0
YJR115W	0
YLR355C	13
YGR099W	0
YLR300W	6
YBL003C	217
YJR140C	26
YOR033C	7
YOR062C	2
YBR043C	0
YHR112C	6
YLR011W	0
YIL044C	2
YNL197C	2
YKR103W	2
YKR084C	5
YER121W	1
YCR046C	34
YNL144C	7
YKL204W	10
YOR266W	1
YDR421W	4
YGL171W	17
YPR194C	2
YGR019W	9
YOR382W	0
YLL057C	6
YPL060C-A	0
YBR296C	0
YNL277W	6
YMR040W	0
YDR077W	0
YMR266W	2
YKR064W	0
YPL089C	9
YGR277C	15
YDL139C	9
YDR246W	8
YOR288C	2
YCR028C	0
YML054C	5
YLR179C	1
YOR141C	43
YPL280W	2
YBL106C	0
YGL044C	19
YER107C	14
YBR038W	14
YEL047C	8
YPR016C	88
YLR157C	4
YDL055C	484
YML009C	2
YML072C	30
YDR142C	8
YFL044C	12
YKL019W	5
YJL130C	463
YBL085W	30
YFL011W	7
YHR212W-A	0
YDR082W	3
YDR348C	9
YKL182W	80
YDR333C	23
YKL018C-A	0
YPL027W	0
YKL135C	49
YLR363C	17
YEL077W-A	0
YDR179C	18
YLR431C	7
YKR046C	6
YJR005W	7
YJL116C	1
YER030W	14
YHR041C	21
YJR072C	24
YDR515W	11
YKR039W	1
YGL003C	4
YPL009C	31
YDR268W	5
YGL192W	2
YDL117W	11
YMR131C	10
YMR293C	4
YJL214W	0
YIL105C	6
YML126C	38
YLR189C	15
YIL150C	6
YGL250W	1
YBR212W	8
YJR109C	25
YLR254C	2
YGR085C	15
YPL105C	4
YGR145W	27
YGR110W	2
YGL154C	7
YBR129C	11
YJR123W	68
YKL099C	6
YDR315C	0
YLR394W	3
YNL104C	8
YNL151C	13
YNR066C	0
YLR220W	0
YHR006W	1
YMR232W	3
YNL083W	0
YGR038C-A	0
YGR038C-B	0
YER168C	8
YPL265W	3
YOR227W	25
YOR081C	14
YEL026W	25
YGR050C	0
YDR021W	24
YGL063W	1
YPL212C	33
YOL157C	2
YPR095C	7
YOR310C	142
YDR188W	131
YOL128C	1
YGL236C	4
YHR133C	2
YDR017C	12
YIL090W	50
YBR183W	1
YOL048C	0
YML039W	0
YCR007C	0
YDR540C	4
YEL004W	0
YPR057W	2
YLL032C	9
YDR116C	8
YPL119C-A	0
YHR130C	0
YLR030W	0
YDR122W	16
YOL062C	8
YNL234W	11
YLR467W	11
YJL194W	9
YOL015W	4
YDL070W	10
YOR241W	14
YLR056W	12
Q0092	0
YKL110C	5
YML100W-A	0
YNL255C	19
YLR204W	0
YML097C	7
YKR007W	0
YHR193C	50
YBL099W	9
YJR035W	5
YOR126C	0
YMR023C	5
YOR119C	11
YNL187W	3
YMR141C	0
YMR101C	1
YCL045C	0
YCR061W	3
YPR115W	7
YHR088W	33
YBR017C	41
YPR162C	21
YGR166W	17
YDL161W	8
YKL050C	3
YJR055W	8
YGL099W	47
YFL030W	0
YIL119C	0
YPL193W	17
YNL005C	21
YJL144W	4
YBR012W-B	9
YBR012W-A	0
YJR139C	8
YBR133C	7
YBR162C	20
YNL331C	2
YJL079C	0
YGL019W	56
YGR201C	2
YNL172W	64
YNL058C	5
YPL160W	18
YOL083C-A	0
YNL023C	21
YDR214W	56
YLR222C	45
YLR295C	3
YER175W-A	0
YHR168W	6
YOR064C	14
YOR159C	27
YOL081W	4
YOL036W	7
YGL148W	10
YPR204C-A	0
YBR282W	5
YDR194C	34
YOL114C	0
YNL257C	8
YNR030W	24
YAL037C-A	0
YML007C-A	3
YDR466W	14
YFR045W	0
YIL002C	12
YGR159C	45
YLR369W	104
YFR032C	0
YNL118C	20
YGL228W	6
YJR117W	5
YBR196C-A	0
YBR196C-B	0
YLR357W	108
YER127W	8
YBL015W	2
YLR017W	0
YHR110W	3
YBR041W	5
YNL212W	25
YCL068C	0
YDL039C	2
YOR264W	1
YNL042W-B	0
YBL029C-A	2
YGL173C	79
YNL275W	0
YAR015W	12
YOR384W	3
YLL051C	2
YDR427W	76
YLR079W	9
YLR408C	4
YMR093W	62
YBR221W-A	0
YDR079W	0
YMR268C	7
YML070W	8
YHR175W-A	0
YPR072W	24
YMR108W	49
YCR091W	8
YLR401C	6
YDR244W	39
YER189W	0
YJL009W	0
YDL137W	21
YGR271W	12
YDR233C	25
YGR071C	18
YCR106W	0
YDR489W	9
YPL282C	0
YPR049C	24
YDL057W	1
YPR014C	0
YGR257C	1
YEL045C	0
YPL235W	203
YLR122C	0
YLR155C	4
YBL087C	57
YJL132W	1
YGL190C	57
YBR110W	2
YDR144C	0
YFL046W	3
YOR103C	0
YKL137W	3
YDR447C	65
YAL061W	9
YPR145W	8
YJL063C	9
YMR149W	5
YPL021W	0
YIR010W	52
YDR331W	3
YJL114W	1
YKR044W	0
YLR433C	35
YMR068W	11
YLR157C-A	5
YLR157C-C	0
YLR157C-B	12
YFL068W	0
YER032W	3
YJR070C	8
YGL005C	27
YHR043C	3
YDL111C	37
YMR133W	2
YPL007C	12
YKL159C	2
YDR059C	0
YLR138W	0
YJL158C	0
YLR396C	19
YBR245C	118
YJL216C	0
YBR210W	0
YPL103C	1
YIL103W	30
YIL152W	0
YDR341C	8
YJR096W	19
YAL010C	11
YGR143W	1
YGR112W	4
YLR256W	0
YHR174W	84
YOR012W	0
YIR001C	13
YDL213C	40
YDR317W	0
YDR478W	11
YKL097C	1
YOL164W-A	0
YNL106C	6
YOR378W	0
YFR015C	20
YMR230W	8
YIL092W	1
YAR009C	19
YLR453C	10
YGR052W	8
YJR161C	1
YOR278W	4
YNL085W	22
YGL061C	12
YPL210C	44
YOR087W	4
YGL234W	27
YOR347C	22
YPR093C	31
YAL029C	42
YOL155C	5
YDR393W	13
YGR186W	14
YDR294C	16
YHR135C	2
YBR181C	29
YOR078W	63
YOR243C	17
YMR165C	14
YCR005C	5
YGR296W	4
YLR163W-A	0
YPR055W	16
YHR037W	4
YLR032W	8
YDR114C	0
YLL030C	0
YLR089C	5
YEL020C	4
YOL060C	32
YIR018C-A	0
YNL208W	9
YNL232W	45
YDL076C	30
YDR120C	18
YJL192C	2
YLR054C	4
YLR009W	17
YKL116C	11
YOR352W	13
YOR292C	0
YER044C	0
YDR278C	0
