oln	ppi
-	5
b0001	0
b0002	12
b0003	2
b0004	1
b0005	4
b0006	5
b0007	0
b0008	4
b0009	6
b0010	0
b0011	1
b0012	0
b0013	1
b0014	599
b0015	189
b0016	0
b0018	0
b0019	0
b0020	1
b0021	0
b0022	0
b0023	100
b0024	0
b0025	14
b0026	21
b0027	0
b0028	51
b0029	9
b0030	2
b0031	1
b0032	20
b0033	16
b0034	5
b0035	0
b0036	8
b0037	6
b0038	11
b0039	5
b0040	0
b0041	7
b0042	10
b0043	7
b0044	8
b0045	0
b0046	6
b0047	5
b0048	19
b0049	2
b0050	0
b0051	4
b0052	2
b0053	14
b0054	9
b0055	7
b0057	0
b0058	0
b0059	41
b0060	4
b0061	4
b0062	4
b0063	1
b0064	4
b0065	0
b0066	6
b0067	0
b0068	3
b0069	2
b0070	0
b0071	4
b0072	2
b0073	0
b0074	6
b0075	0
b0076	2
b0077	3
b0078	0
b0079	0
b0080	16
b0081	5
b0082	8
b0083	13
b0084	13
b0085	27
b0086	19
b0087	0
b0088	9
b0089	3
b0090	40
b0091	28
b0092	1
b0093	19
b0094	38
b0095	63
b0096	5
b0097	0
b0098	153
b0099	5
b0101	11
b0102	4
b0103	2
b0104	12
b0106	0
b0107	5
b0108	0
b0109	4
b0110	0
b0111	2
b0112	0
b0113	7
b0114	198
b0115	174
b0116	198
b0117	7
b0118	18
b0119	119
b0120	5
b0121	10
b0122	1
b0123	3
b0124	12
b0125	0
b0126	12
b0127	5
b0128	0
b0129	0
b0130	1
b0131	2
b0132	0
b0133	19
b0134	9
b0135	0
b0136	0
b0137	0
b0138	0
b0139	7
b0140	2
b0141	0
b0142	2
b0143	0
b0144	6
b0145	8
b0146	8
b0147	0
b0148	16
b0149	6
b0150	4
b0151	3
b0152	2
b0153	3
b0154	3
b0155	0
b0156	8
b0157	0
b0158	4
b0159	6
b0160	7
b0161	10
b0162	0
b0163	0
b0164	0
b0166	4
b0167	22
b0168	47
b0169	397
b0170	22
b0171	149
b0172	6
b0173	6
b0174	4
b0175	0
b0176	2
b0177	15
b0178	50
b0179	120
b0180	61
b0181	81
b0182	27
b0183	5
b0184	119
b0185	59
b0186	10
b0187	2
b0188	16
b0189	10
b0190	4
b0191	8
b0192	3
b0193	0
b0194	19
b0195	5
b0196	6
b0197	7
b0198	0
b0199	28
b0200	7
b0207	1
b0208	7
b0209	0
b0210	0
b0211	9
b0212	2
b0213	2
b0214	48
b0215	71
b0217	1
b0218	0
b0219	0
b0220	0
b0221	0
b0222	0
b0223	7
b0224	0
b0225	4
b0226	0
b0227	7
b0228	1
b0229	2
b0230	0
b0231	0
b0232	2
b0233	6
b0234	6
b0235	8
b0236	1
b0237	71
b0238	1
b0239	5
b0240	10
b0241	6
b0242	2
b0243	31
b0245	0
b0246	0
b0247	2
b0248	0
b0249	0
b0250	0
b0251	3
b0252	4
b0253	1
b0254	6
b0255	3
b0256	0
b0257	3
b0258	0
b0259	0
b0260	0
b0261	2
b0262	8
b0263	0
b0264	0
b0265	0
b0266	4
b0267	7
b0268	3
b0269	0
b0270	4
b0271	5
b0272	5
b0273	7
b0274	0
b0275	0
b0276	9
b0277	9
b0278	3
b0279	5
b0280	1
b0281	1
b0283	4
b0284	10
b0285	7
b0286	8
b0287	0
b0288	0
b0289	0
b0290	5
b0291	5
b0292	53
b0293	0
b0294	0
b0295	0
b0296	0
b0297	5
b0298	3
b0299	4
b0300	0
b0301	0
b0303	0
b0304	4
b0305	5
b0306	0
b0307	26
b0308	0
b0309	0
b0310	0
b0311	7
b0312	7
b0313	9
b0314	0
b0315	3
b0316	7
b0317	0
b0318	5
b0319	5
b0320	5
b0321	8
b0322	0
b0323	14
b0324	5
b0325	7
b0326	3
b0327	0
b0328	2
b0329	5
b0330	1
b0331	12
b0333	2
b0334	6
b0335	7
b0336	0
b0337	7
b0338	0
b0339	2
b0340	3
b0341	0
b0342	4
b0343	0
b0344	77
b0345	5
b0346	4
b0347	2
b0348	5
b0349	3
b0350	3
b0351	4
b0352	9
b0353	0
b0354	5
b0355	5
b0356	7
b0357	2
b0358	0
b0360	5
b0361	2
b0363	5
b0364	0
b0365	1
b0366	4
b0367	0
b0368	4
b0369	5
b0372	4
b0373	3
b0375	3
b0376	0
b0377	0
b0378	2
b0379	0
b0380	0
b0381	22
b0382	7
b0383	6
b0384	0
b0385	0
b0386	3
b0387	3
b0388	3
b0389	7
b0390	3
b0391	0
b0392	0
b0393	10
b0394	2
b0396	0
b0397	10
b0398	3
b0399	20
b0400	5
b0401	2
b0402	2
b0403	9
b0404	2
b0405	5
b0406	76
b0407	1
b0408	11
b0409	0
b0410	11
b0411	0
b0412	0
b0413	21
b0414	57
b0415	31
b0416	22
b0417	8
b0418	0
b0419	6
b0420	29
b0421	27
b0422	5
b0423	12
b0424	0
b0425	4
b0426	12
b0427	0
b0428	0
b0429	0
b0430	0
b0431	3
b0432	20
b0433	0
b0434	0
b0435	10
b0436	172
b0437	164
b0438	47
b0439	111
b0440	120
b0441	9
b0442	0
b0443	4
b0444	24
b0445	4
b0446	1
b0447	3
b0448	1
b0449	0
b0450	8
b0451	0
b0452	5
b0453	2
b0454	24
b0456	14
b0457	0
b0458	0
b0459	17
b0460	1
b0461	0
b0462	8
b0463	2
b0464	3
b0465	10
b0466	0
b0467	13
b0468	0
b0469	7
b0470	58
b0471	15
b0472	5
b0473	79
b0474	15
b0475	8
b0476	8
b0477	12
b0478	4
b0479	0
b0480	14
b0481	26
b0482	12
b0483	4
b0484	6
b0485	2
b0486	2
b0487	2
b0488	0
b0489	3
b0490	7
b0491	0
b0492	13
b0493	9
b0494	0
b0495	2
b0496	5
b0497	19
b0498	3
b0499	2
b0501	0
b0502	0
b0503	2
b0504	3
b0505	4
b0506	39
b0507	7
b0508	7
b0509	5
b0510	1
b0511	0
b0512	7
b0513	0
b0514	2
b0515	7
b0516	8
b0517	5
b0518	3
b0520	7
b0521	3
b0522	5
b0523	11
b0524	20
b0525	27
b0526	3
b0527	0
b0528	113
b0529	4
b0530	0
b0531	3
b0532	6
b0533	0
b0534	0
b0535	2
b0537	19
b0539	0
b0540	3
b0541	4
b0542	0
b0543	0
b0544	2
b0545	0
b0546	11
b0547	7
b0548	3
b0549	1
b0550	1
b0551	2
b0552	0
b0553	0
b0554	0
b0555	3
b0556	0
b0557	0
b0558	0
b0559	1
b0560	10
b0561	0
b0562	0
b0563	0
b0564	25
b0565	0
b0566	14
b0567	4
b0568	11
b0569	3
b0570	0
b0571	7
b0572	0
b0573	2
b0574	3
b0575	3
b0576	2
b0577	4
b0578	12
b0579	0
b0580	0
b0581	5
b0582	0
b0583	0
b0584	0
b0585	5
b0586	8
b0587	5
b0588	13
b0589	0
b0590	0
b0591	0
b0592	15
b0593	11
b0594	10
b0595	31
b0596	5
b0597	1
b0598	0
b0599	9
b0600	13
b0601	10
b0602	8
b0603	3
b0604	15
b0605	30
b0606	21
b0607	99
b0608	6
b0610	28
b0611	1
b0612	0
b0613	2
b0614	4
b0615	0
b0616	2
b0617	3
b0618	6
b0619	5
b0620	9
b0621	0
b0622	0
b0623	89
b0624	1
b0627	53
b0628	14
b0629	2
b0630	0
b0631	14
b0632	11
b0633	0
b0634	2
b0635	2
b0636	12
b0637	20
b0638	3
b0639	7
b0640	54
b0641	6
b0642	28
b0643	9
b0644	0
b0645	7
b0646	1
b0647	0
b0648	0
b0649	2
b0650	42
b0651	15
b0652	6
b0653	0
b0654	8
b0655	0
b0656	0
b0657	2
b0658	8
b0659	15
b0660	119
b0661	23
b0662	9
b0674	9
b0675	4
b0676	9
b0677	5
b0678	11
b0679	0
b0680	8
b0681	0
b0682	0
b0683	51
b0684	29
b0685	1
b0686	4
b0687	4
b0688	9
b0689	0
b0691	0
b0692	1
b0693	4
b0694	0
b0695	2
b0696	0
b0697	7
b0698	0
b0699	3
b0700	37
b0702	0
b0703	13
b0704	3
b0705	7
b0706	5
b0707	6
b0708	12
b0709	2
b0710	6
b0711	5
b0712	5
b0713	4
b0714	27
b0715	0
b0716	0
b0717	3
b0718	2
b0719	3
b0720	10
b0721	0
b0722	0
b0723	88
b0724	3
b0726	25
b0727	51
b0728	9
b0729	10
b0730	4
b0731	5
b0732	14
b0733	0
b0734	0
b0735	2
b0736	23
b0737	0
b0738	2
b0739	4
b0740	0
b0741	1
b0742	2
b0750	3
b0751	0
b0752	0
b0753	0
b0754	3
b0755	14
b0756	5
b0757	0
b0758	1
b0759	4
b0760	6
b0761	0
b0762	3
b0763	1
b0764	4
b0765	2
b0766	3
b0767	5
b0768	0
b0769	0
b0770	0
b0771	0
b0772	4
b0773	6
b0774	6
b0775	7
b0776	2
b0777	10
b0778	3
b0779	23
b0780	65
b0781	22
b0782	3
b0783	25
b0784	15
b0785	15
b0786	0
b0787	0
b0788	0
b0789	5
b0790	2
b0791	0
b0792	0
b0793	5
b0794	15
b0795	0
b0796	9
b0797	37
b0798	16
b0799	21
b0800	10
b0801	0
b0802	0
b0803	13
b0804	0
b0805	3
b0806	0
b0807	2
b0808	0
b0809	1
b0810	0
b0811	1
b0812	66
b0813	0
b0814	5
b0815	3
b0817	6
b0818	0
b0819	2
b0820	4
b0821	4
b0822	10
b0823	6
b0824	6
b0825	2
b0826	15
b0827	6
b0828	9
b0829	0
b0830	0
b0831	1
b0832	0
b0833	0
b0834	0
b0835	17
b0836	0
b0837	2
b0838	5
b0839	1
b0840	4
b0841	0
b0842	2
b0843	0
b0844	0
b0845	0
b0846	0
b0847	0
b0848	0
b0849	9
b0850	0
b0851	3
b0852	4
b0853	2
b0854	2
b0855	0
b0856	0
b0857	0
b0858	2
b0859	8
b0860	1
b0861	2
b0862	2
b0863	3
b0864	9
b0865	0
b0866	2
b0867	0
b0868	0
b0869	0
b0870	1
b0871	3
b0872	0
b0873	3
b0874	2
b0875	0
b0876	7
b0877	105
b0878	13
b0879	3
b0880	86
b0881	13
b0882	140
b0884	8
b0885	8
b0886	5
b0887	1
b0888	4
b0889	11
b0890	10
b0891	18
b0892	12
b0893	28
b0894	0
b0895	3
b0896	0
b0897	2
b0898	0
b0899	0
b0900	0
b0901	4
b0902	19
b0903	70
b0904	2
b0905	12
b0906	0
b0907	11
b0908	3
b0909	0
b0910	3
b0911	139
b0912	72
b0913	0
b0914	3
b0915	2
b0916	3
b0917	2
b0918	33
b0919	1
b0920	0
b0921	11
b0922	8
b0923	16
b0924	95
b0925	9
b0926	9
b0927	6
b0928	5
b0929	2
b0930	4
b0931	22
b0932	13
b0933	6
b0934	0
b0935	11
b0936	0
b0937	4
b0938	0
b0939	2
b0940	0
b0941	0
b0942	0
b0943	0
b0944	0
b0945	7
b0946	3
b0947	5
b0948	77
b0949	18
b0950	2
b0951	6
b0952	0
b0953	0
b0954	48
b0955	0
b0956	9
b0957	15
b0958	0
b0959	18
b0960	1
b0961	0
b0962	60
b0963	0
b0964	1
b0965	2
b0966	0
b0967	0
b0968	2
b0969	7
b0970	2
b0972	0
b0973	6
b0974	1
b0975	12
b0976	10
b0977	7
b0978	0
b0979	0
b0980	3
b0981	3
b0982	0
b0983	0
b0984	11
b0985	3
b0986	2
b0987	2
b0988	2
b0989	0
b0990	36
b0991	0
b0992	0
b0993	0
b0994	0
b0995	4
b0996	2
b0997	14
b0998	0
b0999	2
b1000	98
b1001	1
b1002	3
b1003	6
b1004	5
b1006	0
b1007	0
b1008	0
b1009	0
b1010	7
b1011	0
b1012	7
b1013	19
b1014	23
b1015	5
b1018	7
b1019	8
b1020	0
b1021	2
b1022	6
b1023	0
b1024	1
b1025	0
b1026	4
b1027	3
b1028	0
b1029	0
b1033	0
b1034	7
b1035	6
b1036	0
b1037	0
b1038	0
b1039	0
b1040	3
b1041	0
b1042	0
b1043	0
b1044	0
b1045	3
b1046	0
b1047	0
b1048	6
b1049	0
b1050	0
b1051	9
b1053	0
b1054	9
b1055	13
b1056	4
b1057	0
b1058	0
b1059	9
b1060	0
b1061	0
b1062	2
b1063	3
b1064	1
b1065	1
b1066	17
b1067	3
b1068	3
b1069	1
b1070	7
b1071	6
b1072	1
b1073	5
b1074	2
b1075	2
b1076	1
b1077	3
b1078	6
b1079	0
b1080	2
b1081	2
b1082	4
b1083	3
b1084	196
b1085	2
b1086	172
b1087	0
b1088	10
b1089	6
b1090	1
b1091	7
b1092	3
b1093	8
b1094	107
b1095	13
b1096	6
b1097	4
b1098	10
b1099	51
b1100	10
b1101	0
b1102	0
b1103	21
b1104	2
b1105	3
b1106	5
b1107	8
b1108	3
b1109	9
b1110	1
b1111	0
b1112	0
b1113	4
b1114	17
b1115	0
b1116	0
b1117	0
b1118	2
b1119	12
b1120	36
b1121	2
b1122	0
b1123	7
b1124	2
b1125	0
b1126	1
b1127	41
b1128	12
b1129	1
b1130	5
b1131	14
b1132	0
b1133	6
b1134	4
b1135	12
b1136	6
b1137	3
b1138	0
b1139	0
b1140	4
b1141	25
b1142	0
b1143	0
b1144	3
b1145	0
b1146	0
b1147	0
b1148	12
b1149	3
