oln	PPI_degree
Q0010	0
Q0017	0
Q0032	0
Q0045	0
Q0050	6
Q0055	2
Q0060	3
Q0065	1
Q0070	9
Q0075	1
Q0080	2
Q0085	0
Q0092	0
Q0105	2
Q0110	2
Q0115	1
Q0120	0
Q0130	0
Q0140	3
Q0142	0
Q0143	0
Q0144	0
Q0160	0
Q0182	0
Q0250	7
Q0255	0
Q0275	0
Q0297	0
R0010W	0
R0020C	7
R0030W	4
R0040C	0
YAL001C	11
YAL002W	23
YAL003W	16
YAL005C	3296
YAL007C	32
YAL008W	1
YAL009W	18
YAL010C	11
YAL011W	30
YAL012W	12
YAL013W	10
YAL014C	3
YAL015C	5
YAL016W	64
YAL017W	15
YAL018C	3
YAL019W	22
YAL020C	7
YAL021C	45
YAL022C	0
YAL023C	8
YAL024C	70
YAL025C	5
YAL026C	7
YAL027W	35
YAL028W	0
YAL029C	42
YAL030W	0
YAL031C	8
YAL032C	41
YAL033W	7
YAL034C	34
YAL034W-A	29
YAL035W	63
YAL036C	9
YAL037C-A	0
YAL037W	0
YAL038W	204
YAL039C	14
YAL040C	7
YAL041W	40
YAL042W	2
YAL043C	78
YAL044C	1
YAL044W-A	5
YAL046C	1
YAL047C	30
YAL048C	21
YAL049C	3
YAL051W	5
YAL053W	12
YAL054C	0
YAL055W	1
YAL056W	3
YAL058W	1
YAL059W	24
YAL060W	4
YAL061W	9
YAL062W	4
YAL063C	2
YAL063C-A	0
YAL064C-A	0
YAL064W	0
YAL064W-B	0
YAL065C	0
YAL067C	0
YAL067W-A	0
YAL068C	0
YAR002C-A	42
YAR002W	17
YAR003W	41
YAR007C	56
YAR008W	2
YAR009C	19
YAR010C	0
YAR014C	39
YAR015W	12
YAR018C	8
YAR019C	6
YAR020C	0
YAR023C	2
YAR027W	1
YAR028W	1
YAR029W	0
YAR031W	0
YAR033W	1
YAR035C-A	0
YAR035W	9
YAR042W	31
YAR050W	0
YAR064W	2
YAR066W	0
YAR068W	1
YAR071W	6
YBL001C	0
YBL002W	107
YBL003C	217
YBL004W	60
YBL005W	8
YBL005W-A	2
YBL005W-B	6
YBL006C	6
YBL007C	47
YBL008W	54
YBL008W-A	0
YBL009W	2
YBL010C	1
YBL011W	1
YBL013W	15
YBL014C	3
YBL015W	2
YBL016W	14
YBL017C	15
YBL018C	10
YBL019W	2
YBL020W	0
YBL021C	14
YBL022C	18
YBL023C	45
YBL024W	25
YBL025W	3
YBL026W	45
YBL027W	2
YBL028C	1
YBL029C-A	2
YBL029W	0
YBL030C	86
YBL031W	1
YBL032W	53
YBL033C	10
YBL034C	10
YBL035C	35
YBL036C	6
YBL037W	34
YBL038W	31
YBL039C	76
YBL039C-A	0
YBL039W-B	0
YBL040C	50
YBL041W	12
YBL042C	0
YBL043W	0
YBL044W	0
YBL045C	19
YBL046W	23
YBL047C	22
YBL048W	0
YBL049W	0
YBL050W	9
YBL051C	35
YBL052C	38
YBL054W	6
YBL055C	14
YBL056W	19
YBL057C	6
YBL058W	31
YBL059C-A	0
YBL059W	0
YBL060W	11
YBL061C	18
YBL063W	8
YBL064C	4
YBL066C	5
YBL067C	11
YBL068W	5
YBL069W	0
YBL071C	0
YBL071C-B	0
YBL071W-A	13
YBL072C	0
YBL074C	13
YBL075C	373
YBL076C	27
YBL078C	20
YBL079W	25
YBL080C	5
YBL081W	2
YBL082C	3
YBL084C	71
YBL085W	30
YBL086C	6
YBL087C	1
YBL088C	6
YBL089W	2
YBL090W	10
YBL091C	4
YBL091C-A	2
YBL092W	7
YBL093C	42
YBL095W	0
YBL097W	8
YBL098W	3
YBL099W	9
YBL100W-A	0
YBL100W-B	2
YBL100W-C	0
YBL101C	6
YBL102W	0
YBL103C	8
YBL104C	96
YBL105C	18
YBL106C	0
YBL107C	1
YBL108C-A	0
YBL111C	8
YBL112C	0
YBL113C	6
YBR001C	8
YBR002C	16
YBR003W	7
YBR004C	1
YBR005W	1
YBR006W	3
YBR007C	10
YBR008C	0
YBR011C	43
YBR012W-A	0
YBR012W-B	9
YBR013C	0
YBR014C	0
YBR015C	4
YBR016W	0
YBR017C	41
YBR018C	2
YBR019C	3
YBR020W	10
YBR021W	31
YBR022W	0
YBR023C	20
YBR024W	2
YBR025C	56
YBR026C	11
YBR027C	0
YBR028C	5
YBR029C	0
YBR030W	15
YBR031W	229
YBR032W	0
YBR033W	2
YBR034C	36
YBR035C	2
YBR036C	2
YBR037C	2
YBR038W	14
YBR039W	17
YBR040W	0
YBR041W	5
YBR042C	3
YBR043C	0
YBR044C	4
YBR045C	1
YBR046C	3
YBR047W	4
YBR048W	2
YBR049C	43
YBR050C	0
YBR052C	7
YBR053C	1
YBR054W	2
YBR055C	31
YBR056W	17
YBR056W-A	0
YBR057C	12
YBR058C	14
YBR058C-A	4
YBR059C	15
YBR060C	19
YBR061C	3
YBR062C	2
YBR063C	0
YBR065C	37
YBR066C	8
YBR067C	6
YBR068C	0
YBR069C	15
YBR070C	7
YBR071W	3
YBR072C-A	0
YBR072W	141
YBR073W	14
YBR074W	3
YBR076W	2
YBR077C	0
YBR078W	2
YBR079C	58
YBR080C	11
YBR081C	515
YBR082C	1
YBR083W	26
YBR084C-A	0
YBR084W	57
YBR085C-A	0
YBR085W	7
YBR086C	7
YBR087W	17
YBR088C	13
YBR089C-A	23
YBR090C	2
YBR091C	8
YBR092C	1
YBR093C	1
YBR094W	7
YBR095C	15
YBR096W	0
YBR097W	17
YBR098W	5
YBR101C	28
YBR102C	16
YBR103W	27
YBR104W	6
YBR105C	32
YBR106W	25
YBR107C	35
YBR108W	12
YBR109C	35
YBR110W	2
YBR111C	0
YBR111W-A	203
YBR112C	10
YBR114W	37
YBR115C	13
YBR117C	4
YBR119W	20
YBR120C	3
YBR121C	18
YBR121C-A	0
YBR122C	9
YBR123C	26
YBR125C	11
YBR126C	36
YBR126W-A	0
YBR127C	566
YBR128C	32
YBR129C	11
YBR130C	19
YBR131W	13
YBR132C	2
YBR133C	7
YBR135W	22
YBR136W	25
YBR137W	5
YBR138C	2
YBR139W	11
YBR140C	4
YBR141C	3
YBR142W	64
YBR143C	52
YBR144C	0
YBR145W	1
YBR146W	7
YBR147W	0
YBR148W	3
YBR149W	8
YBR150C	9
YBR151W	14
YBR152W	32
YBR153W	2
YBR154C	25
YBR155W	13
YBR156C	16
YBR157C	2
YBR158W	11
YBR159W	47
YBR160W	64
YBR161W	4
YBR162C	20
YBR162W-A	2
YBR163W	4
YBR164C	9
YBR165W	0
YBR166C	14
YBR167C	11
YBR168W	3
YBR169C	267
YBR170C	16
YBR171W	19
YBR172C	22
YBR173C	1
YBR175W	45
YBR176W	0
YBR177C	3
YBR179C	6
YBR180W	0
YBR181C	2
YBR182C	1
YBR182C-A	0
YBR183W	1
YBR184W	1
YBR185C	8
YBR186W	2
YBR187W	1
YBR188C	19
YBR189W	45
YBR191W	7
YBR192W	0
YBR193C	16
YBR194W	16
YBR195C	13
YBR196C	23
YBR196C-A	0
YBR196C-B	0
YBR197C	3
YBR198C	635
YBR199W	2
YBR200W	25
YBR200W-A	0
YBR201C-A	0
YBR201W	7
YBR202W	7
YBR203W	2
YBR204C	2
YBR205W	5
YBR207W	39
YBR208C	6
YBR209W	0
YBR210W	0
YBR211C	13
YBR212W	8
YBR213W	1
YBR214W	13
YBR215W	23
YBR216C	19
YBR217W	12
YBR218C	8
YBR219C	4
YBR220C	1
YBR221C	35
YBR221W-A	0
YBR222C	9
YBR223C	7
YBR225W	16
YBR227C	48
YBR228W	0
YBR229C	13
YBR230C	0
YBR230W-A	0
YBR231C	33
YBR233W	8
YBR233W-A	0
YBR234C	25
YBR235W	0
YBR236C	9
YBR237W	6
YBR238C	19
YBR239C	3
YBR240C	1
YBR241C	2
YBR242W	2
YBR243C	0
YBR244W	2
YBR245C	118
YBR246W	6
YBR247C	186
YBR248C	4
YBR249C	10
YBR250W	4
YBR251W	61
YBR252W	0
YBR253W	84
YBR254C	30
YBR255C-A	0
YBR255W	5
YBR256C	1
YBR257W	19
YBR258C	17
YBR259W	2
YBR260C	21
YBR261C	6
YBR262C	2
YBR263W	8
YBR264C	2
YBR265W	6
YBR266C	1
YBR267W	22
YBR268W	2
YBR269C	0
YBR270C	4
YBR271W	0
YBR272C	88
YBR273C	0
YBR274W	11
YBR275C	14
YBR276C	3
YBR278W	14
YBR279W	45
YBR280C	10
YBR281C	5
YBR282W	5
YBR283C	11
YBR284W	8
YBR285W	0
YBR286W	4
YBR287W	8
YBR288C	13
YBR289W	53
YBR290W	6
YBR291C	9
YBR292C	0
YBR293W	0
YBR294W	1
YBR295W	2
YBR296C	0
YBR296C-A	0
YBR297W	1
YBR298C	1
YBR298C-A	0
YBR299W	8
YBR301W	0
YBR302C	0
YCL001W	0
YCL001W-A	0
YCL001W-B	0
YCL002C	0
YCL004W	1
YCL005W	0
YCL005W-A	0
YCL008C	7
YCL009C	17
YCL010C	212
YCL011C	52
YCL012C	0
YCL014W	15
YCL016C	4
YCL017C	14
YCL018W	0
YCL019W	3
YCL020W	1
YCL021W-A	0
YCL024W	9
YCL025C	8
YCL026C-A	0
YCL026C-B	0
YCL027W	4
YCL028W	2
YCL029C	4
YCL030C	22
YCL031C	12
YCL032W	9
YCL033C	2
YCL034W	8
YCL035C	5
YCL036W	0
YCL037C	44
YCL038C	1
YCL039W	9
YCL040W	7
YCL042W	0
YCL043C	10
YCL044C	4
YCL045C	0
YCL047C	2
YCL048W	2
YCL048W-A	0
YCL049C	3
YCL050C	67
YCL051W	5
YCL052C	2
YCL054W	11
YCL054W-A	0
YCL055W	1
YCL056C	0
YCL057C-A	3
YCL057W	4
YCL058C	0
YCL058W-A	0
YCL059C	98
YCL061C	14
YCL063W	1
YCL064C	8
YCL066W	0
YCL067C	0
YCL068C	0
YCL069W	0
YCL073C	4
YCR001W	0
YCR002C	16
YCR003W	5
YCR004C	32
YCR005C	5
YCR006C	1
YCR007C	0
YCR008W	11
YCR009C	30
YCR010C	0
YCR011C	2
YCR012W	60
YCR014C	3
YCR015C	5
YCR016W	10
YCR017C	3
YCR018C	1
YCR019W	1
YCR020C	3
YCR020C-A	5
YCR020W-B	31
YCR021C	0
YCR022C	0
YCR023C	1
YCR024C	1
YCR024C-A	21
YCR024C-B	0
YCR025C	0
YCR026C	1
YCR027C	1
YCR028C	0
YCR028C-A	17
YCR030C	10
YCR031C	27
YCR032W	9
YCR033W	34
YCR034W	3
YCR035C	31
YCR036W	4
YCR037C	3
YCR038C	0
YCR039C	4
YCR040W	1
YCR041W	0
YCR042C	36
YCR043C	16
YCR044C	1
YCR045C	1
YCR046C	34
YCR047C	2
YCR048W	2
YCR050C	0
YCR051W	0
YCR052W	99
YCR053W	5
YCR054C	8
YCR057C	250
YCR059C	6
YCR060W	26
YCR061W	3
YCR063W	18
YCR065W	12
YCR066W	6
YCR067C	1
YCR068W	2
YCR069W	8
YCR071C	11
YCR072C	29
YCR073C	9
YCR073W-A	4
YCR075C	0
YCR075W-A	0
YCR076C	3
YCR077C	33
YCR079W	5
YCR081W	17
YCR082W	45
YCR083W	1
YCR084C	12
YCR085W	0
YCR086W	20
YCR087C-A	6
YCR088W	29
YCR089W	6
YCR090C	1
YCR091W	8
YCR092C	32
YCR093W	46
YCR094W	5
YCR095C	14
YCR095W-A	0
YCR096C	0
YCR097W	0
YCR098C	0
YCR099C	0
YCR100C	0
YCR101C	0
YCR102C	0
YCR104W	0
YCR105W	8
YCR106W	0
YCR107W	1
YCR108C	0
YDL001W	2
YDL002C	44
YDL003W	56
YDL004W	0
YDL005C	56
YDL006W	2
YDL007C-A	0
YDL007W	53
YDL008W	26
YDL009C	0
YDL010W	0
YDL012C	0
YDL013W	12
YDL014W	84
YDL015C	29
YDL017W	49
YDL018C	7
YDL019C	19
YDL020C	9
YDL021W	2
YDL022C-A	0
YDL022W	2
YDL024C	5
YDL025C	10
YDL027C	5
YDL028C	8
YDL029W	26
YDL030W	25
YDL031W	38
YDL033C	7
YDL035C	3
YDL036C	5
YDL037C	0
YDL039C	2
YDL040C	37
YDL042C	42
YDL043C	23
YDL044C	10
YDL045C	4
YDL045W-A	2
YDL046W	2
YDL047W	49
YDL048C	2
YDL049C	0
YDL051W	21
YDL052C	31
YDL053C	6
YDL054C	6
YDL055C	483
YDL056W	39
YDL057W	1
YDL058W	27
YDL059C	3
YDL060W	41
YDL061C	8
YDL063C	4
YDL064W	4
YDL065C	4
YDL066W	17
YDL067C	7
YDL069C	0
YDL070W	10
YDL072C	0
YDL073W	11
YDL074C	104
YDL075W	1
YDL076C	30
YDL077C	9
YDL078C	9
YDL079C	4
YDL080C	13
YDL081C	20
YDL082W	21
YDL083C	3
YDL084W	36
YDL085C-A	1
YDL085W	3
YDL086W	10
YDL087C	44
YDL088C	6
YDL089W	3
YDL090C	8
YDL091C	15
YDL092W	29
YDL093W	3
YDL095W	18
YDL097C	59
YDL098C	14
YDL099W	5
YDL100C	32
YDL101C	6
YDL102W	12
YDL103C	7
YDL104C	9
YDL105W	13
YDL106C	22
YDL107W	6
YDL108W	11
YDL109C	7
YDL110C	6
YDL111C	37
YDL112W	12
YDL113C	13
YDL114W	0
YDL115C	32
YDL116W	21
YDL117W	11
YDL119C	0
YDL120W	5
YDL121C	0
YDL122W	43
YDL123W	5
YDL124W	3
YDL125C	6
YDL126C	98
YDL127W	3
YDL128W	0
YDL129W	3
YDL130W	23
YDL130W-A	0
YDL131W	20
YDL132W	77
YDL133C-A	0
YDL133W	1
YDL134C	19
YDL135C	10
YDL136W	2
YDL137W	21
YDL138W	7
YDL139C	9
YDL140C	56
YDL141W	4
YDL142C	20
YDL143W	208
YDL144C	10
YDL145C	46
YDL146W	2
YDL147W	73
YDL148C	94
YDL149W	8
YDL150W	28
YDL153C	19
YDL154W	1
YDL155W	5
YDL156W	22
YDL157C	1
YDL159W	9
YDL159W-A	0
