#id: 474
#name: E.coli - Whole organism, EmPAI (Arike,J_Proteomics,2012)
#score: 4.35
#weight: 50%
#description: abundance based on MAPPED_BY_AUTHORS, emPAI, from<a href="http://www.mcponline.org/content/11/10/933.abstract" target="_blank">Arike, J_Proteomics,2012</a><br/><b>Interaction consistency score</b>: 4.35&nbsp<b>Coverage</b>: 98
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 98
#publication_year: 2012
#filename: Ecoli_emPAI_arike_2012.txt
#
internal_id	string_external_id	abundance
6884372	511145.b3820	118
6884373	511145.b3821	0
6883204	511145.b2519	0
6884375	511145.b3823	0
6883945	511145.b3352	0
6884377	511145.b3825	0
6884378	511145.b3826	0
6883944	511145.b3351	0
6883198	511145.b2513	494
6883197	511145.b2512	284
6883196	511145.b2511	339
6883195	511145.b2510	0
6883202	511145.b2517	29.3
6883201	511145.b2516	180
6883200	511145.b2515	197
6883199	511145.b2514	464
6883203	511145.b2518	2603
6884376	511145.b3824	0
6883946	511145.b3353	0
6883950	511145.b3357	1228
6883943	511145.b3350	18.1
6882901	511145.b2199	0
6882900	511145.b2198	0
6882899	511145.b2197	0
6882898	511145.b2196	0
6882897	511145.b2195	0
6882896	511145.b2194	29.3
6882895	511145.b2193	81.1
6882894	511145.b2192	0
6884543	511145.b4016	18.1
6880995	511145.b0118	3779
6884306	511145.b3734	2721
6884307	511145.b3735	1074
6884308	511145.b3736	946
6884309	511145.b3737	0
6884302	511145.b3730	65.9
6884303	511145.b3731	905
6883289	511145.b2609	2295
6883288	511145.b2608	359
6883287	511145.b2607	0
6883286	511145.b2606	1555
6883285	511145.b2605	0
6883284	511145.b2604	0
6883047	511145.b2351	0
6883282	511145.b2602	0
6883281	511145.b2601	29.3
6883280	511145.b2600	30.3
6882880	511145.b2175	0
6882879	511145.b2174	0
6882882	511145.b2177	0
6882881	511145.b2176	0
6882876	511145.b2171	200
6882875	511145.b2170	0
6882878	511145.b2173	0
6882877	511145.b2172	0
6884040	511145.b3455	209
6882884	511145.b2179	0
6882883	511145.b2178	0
6884039	511145.b3454	98.6
6883623	511145.b2997	0
6883622	511145.b2996	0
6883621	511145.b2995	0
6883620	511145.b2994	0
6883619	511145.b2993	0
6884460	511145.b3919	2152
6883617	511145.b2991	0
6883616	511145.b2990	0
6882638	511145.b1897	65.4
6882637	511145.b1896	130
6882636	511145.b1895	0
6882635	511145.b1894	0
6884453	511145.b3910	104
6882633	511145.b1892	0
6884455	511145.b3912	654
6883624	511145.b2998	0
6883948	511145.b3355	80.6
6884057	511145.b3472	355
6884402	511145.b3858	403
6880928	511145.b0046	62.0
6882778	511145.b2063	0
6881888	511145.b1097	0
6881887	511145.b1096	0
6881886	511145.b1095	149
6881885	511145.b1094	2476
6881884	511145.b1093	2306
