#id: 358
#name: S.cerevisiae - Whole organism, Immunodetection of tagged proteins, normalized data (Ghaemmaghami,Nature,2003)
#score: 4.71
#weight: 80%
#description: abundance based on normalized data, immunodetection of tagged proteins, from<a href="http://www.ncbi.nlm.nih.gov/pubmed/14562106" target="_blank">Ghaemmaghami,Nature,2003</a><br/><b>Interaction consistency score</b>: 4.71&nbsp<b>Coverage</b>: 58
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 58
#publication_year: 2003
#filename: Ghaemmaghami_et_al_yeast_data.txt
#
internal_id	string_external_id	abundance
629238	4932.YBR177C	56.6
631959	4932.YIL140W	8.78
633163	4932.YLR268W	8.78
632207	4932.YJL155C	37.3
631621	4932.YHR067W	17.7
628802	4932.YAL008W	42.7
629327	4932.YBR255W	8.78
632170	4932.YJL122W	106
629544	4932.YCR093W	95.4
631318	4932.YGR148C	819
632406	4932.YJR122W	65.7
632258	4932.YJL204C	59.9
633136	4932.YLR244C	435
633899	4932.YNL003C	11.6
632366	4932.YJR084W	33.6
629194	4932.YBR135W	195
629220	4932.YBR160W	148
629119	4932.YBR070C	7.52
633214	4932.YLR313C	14.9
629811	4932.YDL238C	6.2
632130	4932.YJL082W	110
631548	4932.YHR007C	1625
631999	4932.YIR004W	199
635138	4932.YPL191C	45.4
633071	4932.YLR182W	74.0
630974	4932.YGL084C	14.9
630160	4932.YDR312W	30.0
633251	4932.YLR348C	75.2
629319	4932.YBR248C	263
634323	4932.YNR067C	1.43
633288	4932.YLR382C	47.1
632517	4932.YKL063C	48.7
630796	4932.YFL045C	77.6
630753	4932.YFL010C	134
629974	4932.YDR141C	59.9
632181	4932.YJL131C	7.09
629742	4932.YDL170W	26.6
629172	4932.YBR117C	3.3
631942	4932.YIL124W	81.5
632327	4932.YJR044C	51.9
632294	4932.YJR011C	56.8
631032	4932.YGL141W	69.2
629913	4932.YDR083W	61.7
634646	4932.YOR123C	24.7
632232	4932.YJL179W	16.0
632648	4932.YKL183W	132
630217	4932.YDR363W	41.9
630770	4932.YFL021W	26.3
633266	4932.YLR362W	16.3
632586	4932.YKL126W	65.4
633845	4932.YMR283C	5.75
634964	4932.YPL024W	33.3
632594	4932.YKL134C	59.7
631925	4932.YIL108W	4.32
635111	4932.YPL166W	16.7
632505	4932.YKL052C	62.9
629345	4932.YBR273C	48.7
630824	4932.YFR005C	3.71
630627	4932.YER093C-A	40.7
628823	4932.YAL026C	13.5
634371	4932.YOL034W	19.8
630765	4932.YFL017W-A	31.2
630877	4932.YFR050C	376
628925	4932.YBL008W	18.8
632948	4932.YLR079W	17.0
633360	4932.YLR447C	36.2
634397	4932.YOL058W	41.6
631874	4932.YIL062C	67.9
634206	4932.YNL295W	11.2
629841	4932.YDR016C	17.7
629521	4932.YCR071C	37.9
628890	4932.YAR019C	5.28
630147	4932.YDR299W	342
634461	4932.YOL116W	10.9
629799	4932.YDL226C	212
630961	4932.YGL071W	60.7
631151	4932.YGL257C	26.0
630035	4932.YDR196C	36.8
629269	4932.YBR202W	3.69
630534	4932.YER023W	966
634147	4932.YNL239W	11.6
630272	4932.YDR410C	59.7
634163	4932.YNL255C	2145
631178	4932.YGR020C	89.9
634301	4932.YNR045W	10.0
634615	4932.YOR093C	0.912
634199	4932.YNL288W	418
631905	4932.YIL091C	3.82
634859	4932.YOR322C	6.54
629256	4932.YBR193C	20.8
635046	4932.YPL104W	34.4
634005	4932.YNL103W	28.7
628851	4932.YAL046C	5.75
630037	4932.YDR198C	17.0
628842	4932.YAL039C	85.9
634272	4932.YNR018W	267
635088	4932.YPL144W	49.0
629486	4932.YCR034W	77.9
630874	4932.YFR047C	59.1
629282	4932.YBR215W	5.28
631923	4932.YIL106W	111
635202	4932.YPL252C	328
629219	4932.YBR159W	931
629415	4932.YCL039W	26.6
633525	4932.YML127W	57.9
629406	4932.YCL030C	11.6
633077	4932.YLR188W	23.1
631249	4932.YGR084C	356
633255	4932.YLR352W	2.76
630840	4932.YFR018C	88.1
629449	4932.YCR002C	313
631188	4932.YGR028W	78.5
631707	4932.YHR141C	86.3
633258	4932.YLR355C	19596
632266	4932.YJL212C	63.7
631048	4932.YGL157W	65.4
