#Table S10- Log2 ratio (Gal versus Glu) of all genes on the b-FLEX at 20generations of growth.		
Probe ID	Log2 Ratio (20Gen)	gene
YPL137C::BFLEX	-6.156	GIP3
YGR140W::BFLEX	-6.08	CBF2
YLL003W::BFLEX	-6.06	SFI1
YLR341W::BFLEX	-5.925	SPO77
YDR227W::BFLEX	-5.353	SIR4
YER110C::BFLEX	-5.323	KAP123
YDR303C::BFLEX	-5.293	RSC3
YMR219W::BFLEX	-5.214	ESC1
YHR084W::BFLEX	-5.198	STE12
YJL092W::BFLEX	-5.141	HPR5
YDR293C::BFLEX	-5.103	SSD1
YML010W::BFLEX	-5.08	SPT5
YIL056W::BFLEX	-5.065	VHR1
YDR470C::BFLEX	-5.049	UGO1
YOR032C::BFLEX	-5.047	HMS1
YHR046C::BFLEX	-5.027	INM1
YOR359W::BFLEX	-5.016	VTS1
YJL128C::BFLEX	-4.962	PBS2
YLR057W::BFLEX	-4.936	YLR057W
YNL188W::BFLEX	-4.895	KAR1
YDL155W::BFLEX	-4.878	CLB3
YOR227W::BFLEX	-4.845	YOR227W
YDR103W::BFLEX	-4.823	STE5
YDR251W::BFLEX	-4.812	PAM1
YOL104C::BFLEX	-4.8	NDJ1
YGL216W::BFLEX	-4.79	KIP3
YKR096W::BFLEX	-4.777	YKR096W
YIR013C::BFLEX	-4.707	GAT4
YNL233W::BFLEX	-4.705	BNI4
YIL131C::BFLEX	-4.685	FKH1
YER133W::BFLEX	-4.666	GLC7
YPL128C::BFLEX	-4.65	TBF1
YOR360C::BFLEX	-4.636	PDE2
YKL166C::BFLEX	-4.615	TPK3
YNL167C::BFLEX	-4.538	SKO1
YML031W::BFLEX	-4.519	NDC1
YPL190C::BFLEX	-4.513	NAB3
YDL224C::BFLEX	-4.502	WHI4
YER016W::BFLEX	-4.468	BIM1
YFL037W::BFLEX	-4.462	TUB2
YDR436W::BFLEX	-4.459	PPZ2
YGR162W::BFLEX	-4.415	TIF4631
YER169W::BFLEX	-4.393	RPH1
YDR306C::BFLEX	-4.372	YDR306C
YIL119C::BFLEX	-4.346	RPI1
YOR326W::BFLEX	-4.337	MYO2
YBR250W::BFLEX	-4.327	YBR250W
YIL031W::BFLEX	-4.282	ULP2
YOR058C::BFLEX	-4.262	ASE1
YPL269W::BFLEX	-4.236	KAR9
YBR059C::BFLEX	-4.215	AKL1
YCL048W::BFLEX	-4.14	SPS22
YOL027C::BFLEX	-4.1	MDM38
YDR096W::BFLEX	-4.088	GIS1
YNL298W::BFLEX	-4.074	CLA4
YKL165C::BFLEX	-4.067	MCD4
YHR172W::BFLEX	-4.066	SPC97
YER032W::BFLEX	-4.008	FIR1
YMR001C::BFLEX	-3.989	CDC5
YOR156C::BFLEX	-3.958	NFI1
YCR073C::BFLEX	-3.906	SSK22
YLR153C::BFLEX	-3.902	ACS2
YGR249W::BFLEX	-3.901	MGA1
YHR082C::BFLEX	-3.864	KSP1
YDR395W::BFLEX	-3.849	SXM1
YDR393W::BFLEX	-3.819	SHE9
YDR356W::BFLEX	-3.817	SPC110
YDR159W::BFLEX	-3.806	SAC3
YGL016W::BFLEX	-3.784	KAP122
YDR151C::BFLEX	-3.783	CTH1
YDR458C::BFLEX	-3.746	YDR458C
YBR212W::BFLEX	-3.745	NGR1
YOL123W::BFLEX	-3.721	HRP1
YDR310C::BFLEX	-3.713	SUM1
YPL070W::BFLEX	-3.664	MUK1
YPL021W::BFLEX	-3.649	ECM23
YBR074W::BFLEX	-3.578	YBR074W
YBL097W::BFLEX	-3.482	BRN1
YOL124C::BFLEX	-3.47	TRM11
YMR257C::BFLEX	-3.464	PET111
YOR188W::BFLEX	-3.444	MSB1
YNR031C::BFLEX	-3.433	SSK2
YKL043W::BFLEX	-3.408	PHD1
YAL010C::BFLEX	-3.407	MDM10
YIL055C::BFLEX	-3.406	YIL055C
YBL063W::BFLEX	-3.405	KIP1
YGL003C::BFLEX	-3.392	CDH1
YLR026C::BFLEX	-3.344	SED5
YML117W::BFLEX	-3.324	NAB6
YLR136C::BFLEX	-3.289	TIS11
YAL031C::BFLEX	-3.273	GIP4
YHR070W::BFLEX	-3.248	TRM5
YBR083W::BFLEX	-3.246	TEC1
YER167W::BFLEX	-3.215	BCK2
YPL202C::BFLEX	-3.207	AFT2
YMR239C::BFLEX	-3.162	RNT1
YML027W::BFLEX	-3.146	YOX1
YBR156C::BFLEX	-3.129	SLI15
YBR157C::BFLEX	-3.091	ICS2
YKR004C::BFLEX	-3.064	ECM9
YBR182C::BFLEX	-3.059	SMP1
YML016C::BFLEX	-3.039	PPZ1
YOR212W::BFLEX	-2.979	STE4
YOR329C::BFLEX	-2.978	SCD5
YDR113C::BFLEX	-2.964	PDS1
YPL270W::BFLEX	-2.944	MDL2
YDR505C::BFLEX	-2.941	PSP1
YIL036W::BFLEX	-2.938	CST6
YGL085W::BFLEX	-2.937	YGL085W
YPL169C::BFLEX	-2.924	MEX67
YDL189W::BFLEX	-2.924	RBS1
YOR113W::BFLEX	-2.901	AZF1
YLR228C::BFLEX	-2.888	ECM22
YPR104C::BFLEX	-2.88	FHL1
YGR109C::BFLEX	-2.869	CLB6
YKL020C::BFLEX	-2.818	SPT23
YJL194W::BFLEX	-2.808	CDC6
YDL195W::BFLEX	-2.764	SEC31
YBR179C::BFLEX	-2.743	FZO1
YBL054W::BFLEX	-2.721	YBL054W
YNL076W::BFLEX	-2.706	MKS1
YPL153C::BFLEX	-2.701	RAD53
YDR511W::BFLEX	-2.669	ACN9
YPL132W::BFLEX	-2.665	COX11
YGL162W::BFLEX	-2.663	SUT1
YKL089W::BFLEX	-2.658	MIF2
YHR098C::BFLEX	-2.656	SFB3
YGL049C::BFLEX	-2.653	TIF4632
YPR125W::BFLEX	-2.625	YLH47
YDR110W::BFLEX	-2.623	FOB1
YPL145C::BFLEX	-2.588	KES1
YLR253W::BFLEX	-2.581	YLR253W
YAR042W::BFLEX	-2.553	SWH1
YKL068W::BFLEX	-2.55	NUP100
YNL047C::BFLEX	-2.544	SLM2
YDR430C::BFLEX	-2.523	CYM1
YOL006C::BFLEX	-2.518	TOP1
YNL183C::BFLEX	-2.515	NPR1
YIL105C::BFLEX	-2.515	SLM1
YGR116W::BFLEX	-2.505	SPT6
YPR181C::BFLEX	-2.475	SEC23
YGR052W::BFLEX	-2.473	FMP48
YMR166C::BFLEX	-2.448	YMR166C
YHR050W::BFLEX	-2.444	SMF2
YMR179W::BFLEX	-2.436	SPT21
YOR083W::BFLEX	-2.426	WHI5
