oln	length
b0002	820
b0003	310
b0004	428
b0005	75
b0006	258
b0007	476
b0008	316
b0009	195
b0010	188
b0011	237
b0012	161
b0013	111
b0014	637
b0015	375
b0016	370
b0018	69
b0019	388
b0020	301
b0021	167
b0022	91
b0023	86
b0024	72
b0025	313
b0026	937
b0027	164
b0028	148
b0029	316
b0030	304
b0031	273
b0032	382
b0033	1072
b0034	131
b0035	196
b0036	260
b0037	517
b0038	405
b0039	380
b0040	504
b0041	256
b0042	313
b0043	428
b0044	95
b0045	443
b0046	176
b0047	620
b0048	159
b0049	280
b0050	125
b0051	272
b0052	329
b0053	408
b0054	760
b0055	271
b0057	52
b0058	218
b0059	967
b0060	782
b0061	231
b0062	500
b0063	565
b0064	292
b0065	254
b0066	232
b0067	536
b0068	309
b0069	551
b0070	392
b0071	200
b0072	465
b0073	362
b0074	522
b0076	314
b0077	574
b0078	163
b0080	334
b0081	152
b0082	313
b0083	121
b0084	577
b0085	494
b0086	452
b0087	360
b0088	437
b0089	414
b0090	354
b0091	491
b0092	305
b0093	276
b0094	420
b0095	383
b0096	305
b0097	133
b0098	901
b0099	129
b0101	65
b0102	247
b0103	206
b0104	347
b0106	400
b0107	461
b0108	140
b0109	296
b0110	183
b0111	284
b0112	457
b0113	254
b0114	886
b0115	629
b0116	473
b0117	617
b0118	865
b0119	120
b0120	111
b0121	287
b0122	95
b0123	488
b0124	796
b0125	178
b0126	220
b0127	308
b0128	256
b0129	146
b0130	390
b0131	24
b0132	300
b0133	283
b0134	264
b0135	390
b0136	170
b0137	173
b0138	166
b0139	836
b0140	221
b0141	171
b0142	158
b0143	455
b0144	308
b0145	151
b0146	234
b0147	175
b0148	809
b0149	844
b0150	714
b0151	265
b0152	266
b0153	660
b0154	426
b0155	473
b0156	114
b0157	207
b0158	244
b0159	232
b0160	504
b0161	448
b0162	385
b0163	128
b0164	270
b0166	274
b0167	890
b0168	263
b0169	240
b0170	282
b0171	240
b0172	185
b0173	398
b0174	253
b0175	285
b0176	450
b0177	790
b0178	141
b0179	340
b0180	151
b0181	262
b0182	382
b0183	198
b0184	1160
b0185	318
b0186	713
b0187	129
b0188	432
b0189	84
b0190	181
b0191	140
b0192	216
b0193	254
b0194	572
b0195	235
b0196	119
b0197	249
b0198	217
b0199	343
b0200	191
b0207	267
b0208	304
b0209	266
b0210	207
b0211	437
b0212	251
b0213	240
b0214	155
b0215	243
b0217	243
b0218	112
b0219	256
b0220	129
b0221	814
b0222	192
b0223	254
b0224	227
b0225	92
b0226	86
b0227	232
b0228	165
b0229	579
b0230	211
b0231	351
b0232	97
b0233	132
b0234	150
b0235	88
b0236	166
b0237	484
b0238	152
b0239	414
b0240	132
b0241	330
b0242	367
b0243	417
b0245	113
b0246	105
b0247	158
b0248	152
b0249	79
b0250	132
b0251	127
b0252	273
b0253	287
b0254	297
b0255	134
b0256	383
b0257	141
b0258	376
b0259	338
b0260	467
b0261	310
b0262	348
b0263	120
b0264	167
b0265	91
b0266	116
b0267	384
b0268	302
b0269	655
b0270	460
b0271	536
b0272	252
b0273	333
b0274	167
b0275	91
b0276	243
b0277	208
b0278	232
b0279	284
b0280	146
b0281	466
b0283	318
b0284	732
b0285	318
b0286	176
b0287	204
b0288	109
b0289	209
b0290	524
b0291	812
b0292	202
b0293	173
b0294	196
b0295	75
b0296	87
b0297	270
b0298	99
b0299	288
b0300	239
b0301	197
b0303	56
b0304	441
b0305	284
b0306	239
b0307	475
b0308	231
b0309	70
b0310	222
b0311	556
b0312	489
b0313	195
b0314	677
b0315	362
b0316	310
b0317	165
b0318	201
b0319	287
b0320	515
b0321	472
b0322	106
b0323	316
b0324	427
b0325	349
b0326	271
b0327	81
b0328	223
b0329	70
b0330	528
b0331	295
b0333	389
b0334	482
b0335	628
b0336	419
b0337	426
b0338	299
b0339	219
b0340	156
b0341	384
b0342	203
b0343	417
b0344	1023
b0345	360
b0346	277
