oln	evolutionary_rate
ENST00000000412	0.0072
ENST00000001146	0.1135
ENST00000002596	0.0163
ENST00000003084	0.0162
ENST00000003302	0.0084
ENST00000004982	0.0062
ENST00000005178	0.0195
ENST00000005257	0.0000
ENST00000005284	0.0000
ENST00000005340	0.0109
ENST00000005386	0.0286
ENST00000005558	0.0089
ENST00000005995	0.4257
ENST00000006275	0.0347
ENST00000006658	0.0150
ENST00000007414	0.0384
ENST00000007516	0.0641
ENST00000007969	0.0437
ENST00000008527	0.0051
ENST00000009041	0.0000
ENST00000009180	0.0132
ENST00000010132	0.1173
ENST00000010404	0.0710
ENST00000011473	0.0386
ENST00000011653	0.0808
ENST00000012443	0.0060
ENST00000013070	0.0188
ENST00000013222	0.0608
ENST00000014930	0.0106
ENST00000014935	0.0331
ENST00000019317	0.0076
ENST00000020945	0.0000
ENST00000023064	0.0493
ENST00000023897	0.0022
ENST00000025008	0.0157
ENST00000029410	0.0367
ENST00000033079	0.0131
ENST00000035307	0.0052
ENST00000035383	0.0072
ENST00000037243	0.0000
ENST00000037869	0.0072
ENST00000043402	0.0172
ENST00000044462	0.0000
ENST00000046794	0.0281
ENST00000053243	0.0765
ENST00000053468	0.0348
ENST00000055077	0.0142
ENST00000055682	0.0205
ENST00000062104	0.0000
ENST00000064571	0.0050
ENST00000064724	0.0242
ENST00000074304	0.0041
ENST00000075120	0.0685
ENST00000075503	0.0641
ENST00000078429	0.0084
ENST00000081029	0.0681
ENST00000083182	0.0017
ENST00000084798	0.0152
ENST00000085068	0.0452
ENST00000156084	0.0088
ENST00000157812	0.0000
ENST00000158009	0.0617
ENST00000158771	0.0000
ENST00000160373	0.0205
ENST00000160827	0.0376
ENST00000161863	0.0273
ENST00000162044	0.0293
ENST00000163416	0.0315
ENST00000164024	0.0206
ENST00000164139	0.0036
ENST00000166345	0.0139
ENST00000166534	0.0093
ENST00000167106	0.0164
ENST00000168216	0.0268
ENST00000169298	0.0246
ENST00000169551	0.0605
ENST00000171757	0.0177
ENST00000174618	0.0275
ENST00000175091	0.0086
ENST00000176183	0.0482
ENST00000178638	0.0395
ENST00000178640	0.0091
ENST00000182377	0.0447
ENST00000182527	0.0000
ENST00000184266	0.1641
ENST00000185150	0.0124
ENST00000192788	0.0236
ENST00000193322	0.0090
ENST00000194152	0.0428
ENST00000194530	0.0144
ENST00000194900	0.0047
ENST00000196371	0.0212
ENST00000196482	0.0652
ENST00000196489	0.0471
ENST00000196551	0.0000
ENST00000198767	0.0230
ENST00000199280	0.0074
ENST00000199389	0.0540
ENST00000199448	0.0357
ENST00000199814	0.0000
ENST00000200457	0.0168
ENST00000200691	0.0294
ENST00000201031	0.0111
ENST00000202017	0.0000
ENST00000202677	0.0133
ENST00000202773	0.0139
ENST00000202816	0.0507
ENST00000203001	0.0141
ENST00000203407	0.0187
ENST00000203556	0.0320
ENST00000203630	0.0000
ENST00000204566	0.0032
ENST00000204604	0.0325
ENST00000204726	0.0294
ENST00000204961	0.0231
ENST00000205402	0.0098
ENST00000205636	0.0492
ENST00000205948	0.0464
ENST00000206249	0.0118
ENST00000206380	0.0078
ENST00000206513	0.0107
ENST00000206542	0.0030
