#Table S3. Evolutionary rates based on five methods of heuristic counting and maximum-likelihood approaches
#Note: See online supplementary information for the details.
#1. NG: Nei, M. and Gojobori, T. (1986)
#2. LWL: Li, W.H., et al. (1985)
#3. LPB: Li, W.H. (1993) and Pamilo, P. and Bianchi, N.O. (1993)
#4. MLWL (Modified LWL): Tzeng, Y.H., et al. (2004)
#5. MLPB (Modified LPB): Tzeng, Y.H., et al. (2004)
#6. YN: Yang, Z. and Nielsen, R. (2000)
#7. MYN (Modified YN): Zhang, Z., et al. (2006)
gene	ecoli	salmonella	dN_NG	dS_NG	dNdS_NG	dN_LWL	dS_LWL	dNdS_LWL	dN_MLWL	dS_MLWL	dNdS_MLWL	dN_LPB	dS_LPB	dNdS_LPB	dN_MLPB	dS_MLPB	dNdS_MLPB	dN_YN	dS_YN	dNdS_YN	kappa_MYN	t_MYN	S_MYN	N_MYN	dNdS_MYN	dN_MYN	dS_MYN
thrL	b0001	STM0001	0.0677828	0.205201	0.330323	0.0687457	0.318371	0.215929	0.0740158	0.260673	0.283941	0.0723723	0.244085	0.296505	0.0723723	0.244085	0.296505	0.068918	0.200947	0.342966	6.54949	0.3949	19.3	43.7	0.316	0.0791	0.2504
thrA	b0002	STM0002	0.0333903	1.28554	0.0259738	0.0333479	1.16587	0.0286035	0.0343739	1.02448	0.0335526	0.0337509	0.997867	0.0338231	0.0332866	0.999803	0.0332931	0.03147	1.90978	0.0164783	2.43488	1.0153	687.7	1772.3	0.0285	0.0322	1.1278
thrB	b0003	STM0003	0.0405327	1.21753	0.0332908	0.0409854	1.0715	0.0382503	0.0408943	0.996757	0.0410274	0.0410067	0.976007	0.0420148	0.0399607	0.980787	0.0407435	0.0356806	2.01668	0.0176927	1.84588	1.0496	248.7	678.3	0.0305	0.0367	1.2042
thrC	b0004	STM0004	0.0407845	1.62231	0.0251397	0.0413489	1.30284	0.0317374	0.0425365	1.10482	0.0385008	0.0417957	1.06913	0.0390931	0.0406176	1.07533	0.0377721	0.0389652	1.23836	0.031465	2.87007	1.2925	353.9	930.1	0.0271	0.0396	1.4592
yaaA	b0006	STM0005	0.0823242	1.00125	0.0822217	0.0820782	0.928268	0.0884208	0.0829135	0.856825	0.0967683	0.0815994	0.895138	0.0911584	0.0804498	0.899431	0.0894452	0.0725017	3.13432	0.0231316	0.99347	0.9277	164.3	606.7	0.0614	0.0727	1.1828
yaaJ	b0007	STM0006	0.343543	0.518305	0.662819	0.343494	0.549365	0.625256	0.345562	0.536824	0.643715	0.363301	0.490808	0.74021	0.361759	0.494657	0.731333	0.368125	0.452609	0.813339	2.651	1.2212	306.5	743.5	0.7758	0.3754	0.4839
talB	b0008	STM0007	0.158568	0.0308901	5.1333	0.157458	0.0377541	4.17063	0.162528	0.0381116	4.26454	0.170984	0.0343116	4.98326	0.169442	0.0377124	4.49302	0.174834	0.0256827	6.80747	3.58114	0.3916	275.8	585.2	8.1704	0.1816	0.0222
mog	b0009	STM0008	0.0466419	1.91971	0.0242963	0.0505392	1.64143	0.0307897	0.0475882	1.48315	0.0320859	0.0504682	1.35695	0.0371923	0.045884	1.38222	0.0331959	0.0414748	1.28924	0.0321699	2.25455	1.4907	166.5	406.5	0.0257	0.0413	1.6093
satP	b0010	STM0009	0.0458433	0.605714	0.0756849	0.0452365	0.609727	0.0741913	0.0483736	0.510292	0.0947959	0.0489366	0.515874	0.0948616	0.0489366	0.515874	0.0948616	0.048135	0.540506	0.0890555	3.72416	0.6205	163.5	400.5	0.082	0.0487	0.5941
yaaW	b0011	STM0010	0.0846218	2.3173	0.0365175	0.0890432	1.47658	0.0603035	0.0850523	1.42829	0.0595484	0.0904075	1.40257	0.0644582	0.0849897	1.44062	0.0589953	0.0740301	2.65411	0.0278927	1.55591	1.4227	185.2	525.8	0.0475	0.0761	1.6047
