#Proteome data from UniProt
#Taxonomy	9606-Homo sapiens
#Last modified	June 2019
Entry	Gene names  (ordered locus )
A0A024RBG1	ENST00000322209
A0A075B6H9	ENST00000390282
A0A075B6I0	ENST00000390283
A0A075B6I1	ENST00000390284
A0A075B6I4	ENST00000390287
A0A075B6I9	ENST00000390295
A0A075B6J1	ENST00000390300
A0A075B6J6	ENST00000390307
A0A075B6J9	ENST00000390310
A0A075B6K0	ENST00000390311
A0A075B6K2	ENST00000390313
A0A075B6K4	ENST00000390315
A0A075B6K5	ENST00000390316
A0A075B6K6	ENST00000390318
A0A075B6N1	ENST00000390393
A0A075B6N2	ENST00000390394
A0A075B6N3	ENST00000390397
A0A075B6N4	ENST00000390398
A0A075B6P5	ENST00000482769
A0A075B6Q5	ENST00000454421
A0A075B6R0	ENST00000426402
A0A075B6R2	ENST00000455737
A0A075B6S0	ENST00000390337
A0A075B6S2	ENST00000491977
A0A075B6S4	ENST00000483379
A0A075B6S5	ENST00000498435
A0A075B6S6	ENST00000474213
A0A075B6T6	ENST00000390437
A0A075B6T7	ENST00000390428
A0A075B6T8	ENST00000390431
A0A075B6U4	ENST00000390429
A0A075B6V5	ENST00000390463
A0A075B6W5	ENST00000390451
A0A075B6X5	ENST00000390446
A0A075B6Y3	ENST00000390534
A0A075B6Y9	ENST00000390495
A0A075B706	ENST00000390473
A0A075B759	ENST00000581164
A0A075B767	ENST00000584068
A0A087WSX0	ENST00000390296
A0A087WSY6	ENST00000417279
A0A087WSZ0	ENST00000471857
A0A087WSZ9	ENST00000557168
A0A087WT01	ENST00000390457
A0A087WT02	ENST00000390441
A0A087WT03	ENST00000390455
A0A087WTH1	ENST00000615541
A0A087WTH5	ENST00000618699
A0A087WUL8	ENST00000651566
A0A087WV62	ENST00000620773
A0A087WVF3	ENST00000616101
A0A087WW87	ENST00000620613
A0A087WWA1	ENST00000506599
A0A087WXM9	ENST00000442687
A0A087WXS9	ENST00000618421
A0A087X0M5	ENST00000611520
A0A087X179	ENST00000621587
A0A087X1C5	ENST00000612115
A0A087X1G2	ENST00000620247
A0A096LNP1	ENST00000530210
A0A096LP01	ENST00000411646
A0A096LP49	ENST00000569961
A0A096LP55	ENST00000483273
A0A096LPI5	ENST00000641401
A0A0A0MRZ7	ENST00000390268
A0A0A0MRZ8	ENST00000390277
A0A0A0MRZ9	ENST00000390289
A0A0A0MS14	ENST00000390621
A0A0A0MS15	ENST00000390625
A0A0A0MT36	ENST00000436451
A0A0A0MT76	ENST00000390320
A0A0A0MT78	ENST00000390419
A0A0A0MT89	ENST00000390242
A0A0A0MTA7	ENST00000390412
A0A0A6YYC5	ENST00000390440
A0A0A6YYD4	ENST00000614171
A0A0A6YYG2	ENST00000390371
A0A0A6YYG3	ENST00000390376
A0A0A6YYJ7	ENST00000390435
A0A0A6YYK1	ENST00000390430
A0A0A6YYK6	ENST00000390444
A0A0A6YYK7	ENST00000390447
A0A0A6YYL3	ENST00000439682
A0A0B4J1U3	ENST00000390301
A0A0B4J1U4	ENST00000390344
A0A0B4J1U6	ENST00000390363
A0A0B4J1U7	ENST00000390593
A0A0B4J1V0	ENST00000390603
A0A0B4J1V1	ENST00000390607
A0A0B4J1V2	ENST00000390611
A0A0B4J1V6	ENST00000390636
A0A0B4J1X5	ENST00000424969
A0A0B4J1X8	ENST00000434710
A0A0B4J1Y8	ENST00000427632
A0A0B4J1Y9	ENST00000433072
A0A0B4J1Z2	ENST00000468879
A0A0B4J234	ENST00000390424
A0A0B4J235	ENST00000390439
A0A0B4J237	ENST00000390434
A0A0B4J238	ENST00000390423
A0A0B4J240	ENST00000390432
A0A0B4J241	ENST00000390436
A0A0B4J244	ENST00000390425
A0A0B4J245	ENST00000390433
A0A0B4J248	ENST00000542354
A0A0B4J249	ENST00000390427
A0A0B4J262	ENST00000390443
A0A0B4J263	ENST00000390466
A0A0B4J264	ENST00000390464
A0A0B4J265	ENST00000390460
A0A0B4J266	ENST00000390468
A0A0B4J268	ENST00000390426
A0A0B4J271	ENST00000390442
A0A0B4J272	ENST00000390453
A0A0B4J273	ENST00000390461
A0A0B4J274	ENST00000390448
A0A0B4J275	ENST00000390445
A0A0B4J276	ENST00000390454
A0A0B4J277	ENST00000390450
A0A0B4J279	ENST00000390449
A0A0B4J280	ENST00000390467
A0A0B4J2A2	ENST00000585245
A0A0B4J2D5	ENST00000620528
A0A0B4J2D9	ENST00000611391
A0A0B4J2E0	ENST00000617347
A0A0B4J2F0	ENST00000436697
A0A0B4J2F2	ENST00000613488
A0A0B4J2H0	ENST00000624687
A0A0C4DH24	ENST00000390256
A0A0C4DH25	ENST00000390270
A0A0C4DH27	ENST00000390343
A0A0C4DH28	ENST00000390345
A0A0C4DH29	ENST00000390595
A0A0C4DH31	ENST00000390605
A0A0C4DH32	ENST00000390606
A0A0C4DH33	ENST00000390610
A0A0C4DH34	ENST00000390612
A0A0C4DH38	ENST00000390626
A0A0C4DH39	ENST00000390628
A0A0C4DH41	ENST00000390630
A0A0C4DH42	ENST00000390632
A0A0C4DH43	ENST00000390634
A0A0C4DH55	ENST00000443397
A0A0C4DH59	ENST00000454561
A0A0C4DH62	ENST00000390565
A0A0C4DH67	ENST00000495489
A0A0C4DH68	ENST00000484817
A0A0C4DH69	ENST00000493819
A0A0C4DH72	ENST00000464162
A0A0C4DH73	ENST00000480492
A0A0D9SF12	ENST00000629482
A0A0G2JMD5	ENST00000437300
A0A0G2JMI3	ENST00000615784
A0A0J9YVY3	ENST00000631943
