id,domain,uniprot,genes,details,function1,function2,invis,obsolete,species
0,1A1D,P20436,RPB8 YOR224C YOR50-14,,"DNA-dependent RNA polymerases catalyze the transcription. of DNA into RNA using the four ribonucleoside triphosphates as substrates. Common component of RNA polymerases I, II and III which synthesize ribosomal RNA precursors, mRNA precursors and many functional non-coding RNAs, and small RNAs, such as 5S rRNA and tRNAs, respectively. {ECO:0000269|PubMed:18160037, ECO:0000269|PubMed:24153182, ECO:0000269|PubMed:24153184}.",,1,,0
1,1A3W,P00549,CDC19 PYK1 YAL038W,,,,1,,0
2,1A4E,P15202,CTA1 YDR256C YD9320A.06C,,Occurs in almost all aerobically respiring organisms and serves to protect cells from the toxic effects of hydrogen peroxide.,,1,,0
3,1AFW,P27796,POT1 FOX3 POX3 YIL160C,,,,1,,0
4,1AKY,P07170,ADK1 AKY AKY1 AKY2 YDR226W YD9934.11,,"Catalyzes the reversible transfer of the terminal phosphate group between ATP and AMP. Plays an important role in cellular energy homeostasis and in adenine nucleotide metabolism. Adenylate kinase activity is critical for regulation of the phosphate utilization and the AMP de novo biosynthesis pathways. {ECO:0000255|HAMAP-Rule:MF_03168, ECO:0000269|PubMed:18433446, ECO:0000269|PubMed:2848829, ECO:0000269|PubMed:2850178}.",,1,,0
5,1AP8,P07260,CDC33 TIF45 YOL139C,,Recognizes and binds the 7-methylguanosine-containing mRNA cap during an early step in the initiation of protein synthesis and facilitates ribosome binding by inducing the unwinding of the mRNAs secondary structures.,,1,,0
6,1ASY,P04802,DPS1 APS APS1 YLL018C L1295,,,,1,,0
7,1AUA,P24280,SEC14 PIT1 YMR079W YM9582.04,,Required for transport of secretory proteins from the Golgi complex. Catalyzes the transfer of phosphatidylinositol and phosphatidylcholine between membranes in vitro. Essential for viability and secretion.,,1,,0
8,1B54,P38197,YBL036C YBL0413,,"Pyridoxal 5'-phosphate (PLP)-binding protein, which may be involved in intracellular homeostatic regulation of pyridoxal 5'-phosphate (PLP), the active form of vitamin B6. {ECO:0000255|HAMAP-Rule:MF_03225}.",,1,,0
9,1BOB,Q12341,HAT1 YPL001W LPA16W YP8132.12,,"Catalytic component of the histone acetylase B (HAT-B) complex. Acetylates 'Lys-12' of free histone H4 in the cytoplasm. The complex is also found in the nucleus, however it is not certain that it modifies histone H4 when packaged in chromatin. Histone H4 'Lys-12' acetylation is required for telomeric silencing. Has intrinsic substrate specificity that modifies lysine in recognition sequence GXGKXG. Involved in DNA double-strand break repair. {ECO:0000269|PubMed:10982821, ECO:0000269|PubMed:12417736, ECO:0000269|PubMed:14761951, ECO:0000269|PubMed:15099519, ECO:0000269|PubMed:24835250, ECO:0000269|PubMed:7559580}.",,1,,0
