uniprot	pdb	oln	pdb_length
O13516	4v88.AJ	YPL081W	185
O13563	5mpd.X	YLR421C	127
O60200	5jqm.A	YKL053C-A	235
O75012	5mrc.ZZ	YDL045W-A	87
P00044	5t7h.A	YJR048W	106
P00045	1ytc.A	YEL039C	112
P00128	2ibz.F	YDR529C	125
P00163	3cx5.C	Q0105	385
P00175	1kbi.A	YML054C	504
P00330	4w6z.A	YOL086C	347
P00359	3pym.A	YGR192C	332
P00401	6giq.a	Q0045	522
P00410	6giq.b	Q0250	235
P00420	6giq.c	Q0275	262
P00427	6giq.f	YHR051W	99
P00431	1cca.A	YKR066C	291
P00445	1f1g.A	YJR104C	153
P00447	3rn4.A	YHR008C	205
P00549	1a3w.A	YAL038W	492
P00560	1qpg.A	YCR012W	415
P00572	3tmk.A	YJR057W	216
P00724	4eqv.A	YIL162W	509
P00729	1cpy.A	YMR297W	421
P00817	1m38.A	YBR011C	282
P00830	2xok.D	YJR121W	471
P00854	6b2z.M	Q0085	249
P00856	6b2z.A	Q0080	48
P00924	2al1.A	YGR254W	436
P00942	4ff7.A	YDR050C	247
P00950	5pgm.A	YKL152C	234
P01123	2bcg.Y	YFL038C	195
P02309	4kud.B	YNL030W	88
P02381	5mrc.CC	Q0140	339
P02406	4v88.Ba	YGL103W	124
P02407	4u4r.C7	YML024W	120
P02557	4u3j.B	YFL037W	418
P02829	2cg9.A	YPL240C	609
P02994	1f60.A	YPR080W	440
P03870	1m6x.A	R0010W	399
P03882	3c0w.A	Q0160	223
P03962	3gdm.A	YEL021W	261
P04050	1twf.A	YDL140C	1419
P04051	6eu3.A	YOR116C	1402
P04385	2aj4.A	YBR020W	509
P04387	3btv.A	YML051W	390
P04397	1z45.A	YBR019C	674
P04449	4u4r.N4	YGL031C	188
P04456	4v88.BX	YOL127W	185
P04650	4v88.Bl	YJL189W	144
P04802	1asy.A	YLL018C	490
P04806	3b8a.X	YFR053C	470
P04807	1ig8.A	YGL253W	469
P05318	5dge.p1	YDL081C	206
P05319	4v6i.Bv	YOL039W	145
P05373	1h7n.A	YGL040C	340
P05738	4u4r.L9	YGL147C	185
P05740	4v88.BP	YKL180W	214
P05744	4v88.Bf	YPL143W	120
P05745	4v88.Bi	YMR194W	107
P05747	4v88.Bb	YFR032C-A	150
P05749	4v88.BU	YLR061W	226
P05756	4v88.AN	YDR064W	150
P05759	4v88.Af	YLR167W	71
P06100	4by6.B	YDL165W	166
P06103	6fyx.p	YOR361C	647
P06104	4r62.A	YGL058W	149
P06169	2vk8.A	YLR044C	562
P06367	4v88.AO	YCR031C	127
P06633	6ezm.A	YOR202W	212
P06704	3fwb.A	YOR257W	153
P06738	1ygp.A	YPR160W	858
P06780	3a58.B	YPR165W	178
P06787	1lkj.A	YBR109C	146
P06839	5oqj.0	YER171W	698
P07143	6giq.D	YOR065W	248
P07149	2uv8.G	YKL182W	2033
P07170	1aky.A	YDR226W	218
P07236	3uh0.A	YKL194C	420
P07251	2xok.A	YBL099W	483
P07255	6giq.i	YDL067C	49
P07256	6giq.A	YBL045C	431
P07257	6giq.B	YPR191W	352
P07260	1ap8.A	YOL139C	213
P07267	1dpj.A	YPL154C	329
P07274	1ypr.A	YOR122C	125
P07275	4oe6.A	YHR037W	485
P07280	4v88.AT	YOL121C	143
P07342	6bd9.A	YMR108W	542
P07347	4xnh.B	YHR013C	197
P07560	3cph.A	YFL005W	176
P07703	4c2m.C	YPR110C	305
P07884	3eph.A	YOR274W	402
P08067	6giq.E	YEL024W	185
P08417	1yfm.A	YPL262W	450
P08518	1twf.B	YOR151C	1094
P08525	2ibz.G	YJL166W	93
P08536	1g8f.A	YJR010W	510
P09457	6b8h.O	YDR298C	161
P09624	1v59.A	YFL018C	478
P09733	4u3j.A	YML085C	432
P09938	1jk0.A	YJL026W	334
P09950	5txr.A	YDR232W	479
P0C074	5zwm.6	YNL138W-A	84
P0C0V8	4u4r.D1	YKR057W	87
P0C0W1	4v88.AW	YJL190C	129
P0C0W9	4v88.BJ	YPR102C	155
P0C0X0	6eml.L	YLR264W	62
P0C2H6	4v88.BZ	YHR010W	155
P0C2H8	4v88.Bd	YDL075W	124
P0C5R9	6c6l.O	YPR170W-B	76
P0CG63	2kdi.A	YLL039C	114
P0CH08	4v88.Bm	YIL148W	134
P0CX23	4u4r.N0	YMR242C	260
P0CX24	4v8y.BS	YOR312C	172
P0CX25	4v88.Bp	YPR043W	81
P0CX26	4v7r.Bg	YJR094W-A	83
P0CX27	4v88.Bo	YNL162W	97
P0CX29	4v88.AX	YGR118W	144
P0CX31	4v88.AY	YER074W	134
P0CX33	4v88.Ae	YLR287C-A	60
P0CX35	4v88.AE	YJR145C	260
P0CX37	4u4r.S6	YPL090C	226
P0CX39	4u4r.S8	YBL072C	188
P0CX41	4v88.BV	YBL087C	184
P0CX44	5fl8.I	YGL135W	217
P0CX45	4v88.BA	YFR031C-A	217
P0CX46	4v8t.A	YIL018W	252
P0CX47	4v88.AL	YDR025W	155
P0CX49	4v88.BQ	YOL120C	217
P0CX51	4v88.AQ	YMR143W	141
P0CX53	5dge.m2	YEL054C	214
P0CX55	4v88.AS	YDR450W	145
P0CX56	4v7r.AL	YML026C	120
P0CX82	4v88.BR	YBR084C-A	223
P0CX84	4v88.Bh	YDL191W	143
P0CX86	4u4r.Q1	YDL184C	70
P0CX87	5on6.AO	YDL133C-A	25
P0CY11	1mh3.A	YCR097W	421
P10081	2vso.A	YKR059W	366
P10363	4mm2.A	YIR008C	396
P10507	1hr6.B	YLR163C	439
P10614	4lxj.A	YHR007C	530
P10662	5mrc.44	YDR347W	270
P10663	5mrc.NN	YPR166C	115
P10964	4c2m.A	YOR341W	1521
P11076	5nzr.F	YDL192W	159
P11632	1cg7.A	YPR052C	93
P11914	1hr6.A	YHR024C	457
P11986	1p1j.A	YJL153C	525
P12385	4crn.X	YBR143C	422
P12612	4v81.A	YDR212W	544
P12687	3j6b.R	YNL005C	318
P12904	3t4n.C	YGL115W	311
P12945	4xnh.A	YDL040C	786
P13045	3v2u.C	YDR009W	516
P13298	2ps1.A	YML106W	224
P14063	3j6b.c	YKL138C	118
P14120	4v88.Bc	YGL030W	127
P14306	1wpx.B	YLR178C	204
P14743	2p6e.A	YLR195C	442
P14832	1vdn.A	YDR155C	161
P14904	5jh9.A	YKL103C	475
P14908	1i4w.A	YMR228W	322
P15202	1a4e.A	YDR256C	488
P15303	1m2o.A	YPR181C	718
P15436	3iay.A	YDL102W	885
P15454	4f4j.A	YDR454C	189
P15700	1ukz.A	YKL024C	196
P15731	1qcq.A	YBR082C	148
P15790	4jr7.A	YIL035C	367
P15807	1kyq.A	YBR213W	262
P15873	5v7m.A	YBR088C	255
P16120	1kl7.A	YCR053W	509
P16140	5d80.D	YBR127C	457
P16370	1twf.C	YIL021W	266
P16521	2iw3.A	YLR249W	973
P16603	2bpo.A	YHR042W	641
P16622	1lbq.A	YOR176W	356
P16892	2b9h.A	YBL016W	337
P17122	6bzg.A	YHR153C	189
P17157	4krd.A	YPL031C	294
P17255	5d80.A	YDL185W	591
P17695	3ctg.A	YDR513W	108
P17883	4buj.B	YPR189W	1367
P17967	2b5e.A	YCL043C	483
P18238	4c9q.A	YBR085W	286
P18239	4c9g.A	YBL030C	265
P18408	2oq2.A	YPR167C	252
P19097	2uv8.A	YPL231W	1614
P19146	1mr3.F	YDL137W	177
P19658	5yfp.G	YJL085W	615
P19735	5zwm.N	YBR055C	728
P19736	5zwm.u	YDL030W	461
P20053	5zwm.K	YPR178W	429
P20081	1yat.A	YNL135C	113
P20084	3j6b.U	YMR286W	82
P20433	4by7.D	YJL140W	178
P20434	1dzf.A	YBR154C	211
P20436	1a1d.A	YOR224C	146
P20449	3pey.A	YOR046C	391
P20459	6fyx.j	YJR007W	249
P20606	1m2o.B	YPL218W	164
P21242	4r17.F	YOR362C	243
P21243	4r17.G	YGL011C	241
P21306	3zia.I	YPL271W	58
P21375	5zyn.B	YJR051W	471
P21734	1tte.A	YDR177W	215
P21771	5mrc.OO	YDR337W	238
P21827	5t94.A	YGL097W	454
P21954	2qfy.A	YDL066W	411
P22108	4i5t.A	YDR530C	306
P22138	4c2m.B	YPR010C	1182
P22139	1twf.J	YOR210W	65
P22141	1ryp.K	YER012W	198
P22203	4efa.E	YOR332W	225
P22213	1mqs.A	YDR189W	588
