oln	contact_order
b0004	0.1116
b0006	0.1298
b0008	0.1223
b0009	0.1258
b0010	0.0980
b0014	0.0461
b0019	0.1005
b0028	0.2097
b0029	0.1304
b0031	0.1122
b0032	0.0989
b0033	0.0548
b0038	0.0989
b0040	0.1274
b0048	0.2083
b0051	0.0812
b0052	0.1256
b0053	0.0800
b0058	0.1339
b0059	0.0673
b0060	0.0516
b0061	0.1126
b0062	0.0653
b0068	0.1427
b0073	0.1205
b0078	0.1513
b0080	0.0955
b0082	0.0960
b0085	0.0627
b0086	0.0551
b0088	0.0625
b0090	0.0875
b0091	0.0569
b0092	0.1073
b0096	0.1496
b0099	0.2350
b0101	0.1233
b0102	0.1215
b0103	0.1603
b0114	0.0609
b0116	0.0765
b0118	0.0563
b0121	0.0992
b0123	0.1068
b0125	0.1737
b0126	0.0925
b0133	0.0830
b0134	0.1053
b0140	0.1332
b0142	0.1606
b0144	0.1189
b0145	0.0919
b0146	0.1120
b0147	0.2097
b0148	0.0360
b0149	0.0561
b0150	0.1062
b0152	0.0968
b0155	0.0882
b0158	0.0883
b0159	0.1643
b0160	0.0862
b0168	0.1395
b0169	0.1411
b0171	0.1231
b0172	0.1120
b0173	0.0820
b0174	0.1282
b0177	0.0448
b0179	0.0394
b0180	0.1481
b0181	0.0569
b0182	0.0492
b0185	0.0882
b0186	0.0199
b0188	0.0529
b0189	0.2101
b0190	0.1253
b0191	0.1017
b0192	0.0669
b0197	0.1552
b0198	0.0887
b0199	0.0847
b0200	0.1281
b0214	0.1755
b0215	0.0664
b0220	0.1324
b0222	0.1291
b0225	0.1777
b0226	0.0419
b0228	0.1637
b0231	0.0770
b0238	0.1592
b0241	0.1042
b0242	0.0779
b0249	0.1718
b0261	0.0985
b0268	0.0894
b0284	0.1079
b0285	0.0966
b0286	0.0742
b0292	0.1393
b0325	0.1233
b0331	0.0865
b0334	0.0983
b0337	0.1101
b0340	0.0783
b0342	0.0736
b0343	0.0827
b0344	0.0549
b0345	0.0834
b0349	0.1177
b0350	0.1559
b0368	0.1894
b0369	0.0998
b0383	0.1289
b0389	0.1586
b0393	0.1075
b0409	0.1015
b0411	0.1181
b0412	0.1591
b0414	0.0999
b0416	0.1160
b0420	0.0586
b0421	0.0787
b0424	0.1184
b0425	0.0801
b0430	0.0918
b0432	0.0928
b0435	0.1292
b0436	0.0690
b0437	0.0864
