oln	evolutionary_rate
b3356	0.0597
b2922	0.1138
b2519	0.1844
b2518	0.0350
b3352	0.0678
b3353	0.1534
b3350	0.0649
b3351	0.1093
b2513	0.1068
b2512	0.0893
b2511	0.0265
b2510	0.3662
b2517	0.0339
b2516	0.1796
b2515	0.0134
b2514	0.0472
b3355	0.0277
b3824	0.1117
b3825	0.1834
b3357	0.0048
b2924	0.0874
b2199	0.1388
b2197	0.1698
b2196	0.1431
b2194	0.2536
b2193	0.1163
b3734	0.0136
b3451	0.0890
b3736	0.0256
b3737	0.0000
b3730	0.0899
b3731	0.0288
b2609	0.0244
b2608	0.0604
b2607	0.0353
b2354	0.5241
b2604	0.2512
b2351	0.1111
b2350	0.1833
b2601	0.0365
b2600	0.0483
b2174	0.1857
b2177	0.1364
b2176	0.2954
b2170	0.0992
b2173	0.1250
b3987	0.0134
b2179	0.0850
b2178	0.0385
b3986	0.0248
b2997	0.0323
b2996	0.0457
b2995	0.0357
b2994	0.0600
b2993	0.0610
b2992	0.1975
b2991	0.1504
b2990	0.0610
b1897	0.2669
b1896	0.1121
b1895	0.2324
b3359	0.0840
b3910	0.2232
b1892	0.0796
b1891	0.0625
b2998	0.2211
b3408	0.0400
b1097	0.1441
b1096	0.3011
b1095	0.0557
b1094	0.0000
b1093	0.0410
b1092	0.0680
b1091	0.0536
b1090	0.0562
b1099	0.2096
b1098	0.0986
b3409	0.0738
b3207	0.2286
b4012	0.1931
b1176	0.1429
b2777	0.0404
b2779	0.0139
b1273	0.0723
b1272	0.1207
b1271	0.1071
b1270	0.1071
b1277	0.0459
b1276	0.0718
b1275	0.0494
b1274	0.0358
b1279	0.0686
b1278	0.1732
b4359	0.0800
b4358	0.4510
b4353	0.0597
b4352	0.0881
b4351	0.2270
b4350	0.0898
b1675	0.1304
b4355	0.1307
b4354	0.0363
b1178	0.1955
b1179	0.1340
b0708	0.2076
b0709	0.1176
b1652	0.1163
b1871	0.0712
b1870	0.0607
b0878	0.1752
b0879	0.1667
b0876	0.1033
b0877	0.4317
b0874	0.1104
b1879	0.0477
b0870	0.1141
b0871	0.0577
b4137	0.0804
b4136	0.1188
b4135	0.1152
b4133	0.4067
b4131	0.0756
b4389	0.0217
b4139	0.0293
b4138	0.0531
b1479	0.0743
b1478	0.0744
b1321	0.0624
b1473	0.1460
b1475	0.0680
b1474	0.0661
b1476	0.0184
b1323	0.0780
b3735	0.0508
b0109	0.1380
b0674	0.0560
b0676	0.0567
b0677	0.0785
b0678	0.0451
b0679	0.0710
b2948	0.0749
b0296	0.2558
b4483	0.1846
b3733	0.0348
b4003	0.2745
b4001	0.2261
b4000	0.0111
b0058	0.0457
b0059	0.0692
b4005	0.0676
b2606	0.0261
b0054	0.0867
b0055	0.0407
b0050	0.0560
b0051	0.0549
b0052	0.0729
b0053	0.0864
b2603	0.3488
b3739	0.0873
b0906	0.1391
b0907	0.1050
b0904	0.0421
b0905	0.0683
b0902	0.0325
b0903	0.0395
b0457	0.3256
b0458	0.1987
b0459	0.2077
b0908	0.1054
b0909	0.2976
b4245	0.0482
b3358	0.1338
b4226	0.0568
b4366	0.3795
b3039	0.1298
b3038	0.0596
b3037	0.0314
b3035	0.0961
b0585	0.2757
b3033	0.0500
b3032	0.0764
b3031	0.0777
b3030	0.0333
b3918	0.2048
b3919	0.0392
b2938	0.0243
b3580	0.1426
b3589	0.5393
b3412	0.1992
b3915	0.0833
b3916	0.0406
b3917	0.0608
b4222	0.0708
b3858	0.0562
b0611	0.2687
b3912	0.0259
b3103	0.1240
b3102	0.0762
b3101	0.0923
b3100	0.1111
b1226	0.1144
b3105	0.0302
b3363	0.0421
b3362	0.2000
b3361	0.1350
b3360	0.1497
b3367	0.0746
b3366	0.0648
b3365	0.0460
b3364	0.0941
b3547	0.7062
b3369	0.2000
b3368	0.0963
b3418	0.0866
b3546	0.1137
b3693	0.1815
b3691	0.0860
b3697	0.0630
b3699	0.0336
b3544	0.0673
b2188	0.1280
b2180	0.1342
b2181	0.0877
b2182	0.0606
b2183	0.0563
b2184	0.0461
b2185	0.0851
b2186	0.0388
b2187	0.0933
b2618	0.1250
b2619	0.1139
b3215	0.5000
b3742	0.1224
b3213	0.0466
b3212	0.0444
b3211	0.0615
b3746	0.1365
b2346	0.0598
b2347	0.1452
b2344	0.0621
b2342	0.0688
b2343	0.0638
b2340	0.1056
b2341	0.1387
b2167	0.0694
b2168	0.0160
b2169	0.0931
b1888	0.1315
b1889	0.0909
b3344	0.1525
b2988	0.0987
b1881	0.0701
b1882	0.0233
b3962	0.0300
b3965	0.0628
b3964	0.0924
b3967	0.0848
b1887	0.0778
b2504	0.1587
b2507	0.0152
b2500	0.1226
b2501	0.0378
b2502	0.0780
b2503	0.2687
b2508	0.0184
b2509	0.1292
b1080	0.0767
b1082	0.1960
b1083	0.1767
b1084	0.1624
b1086	0.0251
b1087	0.1289
b1088	0.0347
b1089	0.0000
b4069	0.0475
b4068	0.1250
b2761	0.6667
b2762	0.0615
b0039	0.0237
b2764	0.0918
b2765	0.0583
b1246	0.0716
b4170	0.1277
b4347	0.2091
b1269	0.0241
b1264	0.1000
b1266	0.0934
b1267	0.0680
b1260	0.1493
b1261	0.0327
b1262	0.1217
b1263	0.0301
b4061	0.3504
b4060	0.1613
b0030	0.2072
b4177	0.0046
b1528	0.1237
b4065	0.0474
b0037	0.1509
b1866	0.0559
b1867	0.1915
b1864	0.0163
b1865	0.1067
b1862	0.2161
b1863	0.0173
b1644	0.1579
b1645	0.1522
b0842	0.1024
b0841	0.2020
b0840	0.1667
b0847	0.0357
b1868	0.1728
b0844	0.1697
b4120	0.1459
b4122	0.0712
b4123	0.0224
b0119	0.1500
b0118	0.0335
b0115	0.0652
b0114	0.0372
b0116	0.0148
b0111	0.1514
b0110	0.1038
b0113	0.0315
b0112	0.0788
b1463	0.2562
b1466	0.1775
b1467	0.0584
b1464	0.1886
b0591	0.1039
b0590	0.1168
b0593	0.1535
b0592	0.2044
b0595	0.1158
b0594	0.1399
b0597	0.0876
b0596	0.0968
b0599	0.1823
b0598	0.0271
b0601	0.2293
b0600	0.1451
b0603	0.4600
b0602	0.1773
b0605	0.0160
b0604	0.2016
b0607	0.1056
b0606	0.0461
b0608	0.0874
b4216	0.1522
b1516	0.1471
b1517	0.1065
b1512	0.2342
b4019	0.0407
b1511	0.1736
b4014	0.0919
b0020	0.0803
b0023	0.0230
b0025	0.1090
b0024	0.2958
b0027	0.0854
b0026	0.1207
b0932	0.0563
b0931	0.0900
b0930	0.0558
b0938	0.5899
b2947	0.1048
b3247	0.0327
b3712	0.2249
b4093	0.2292
b0337	0.1690
b0336	0.1687
b3710	0.2174
b3243	0.0485
b3349	0.0255
b3219	0.6502
b0927	0.0837
b3348	0.0556
b3028	0.0777
b3029	0.0962
b1647	0.1040
b3024	0.1077
b3025	0.1279
b3026	0.2071
b1235	0.0950
b3590	0.1482
b3591	0.1382
b3592	0.1337
b3599	0.0440
b4032	0.0642
b3114	0.0641
b3115	0.1716
b3116	0.0519
b3117	0.0486
b3110	0.0384
b3118	0.1122
b4033	0.0895
b3983	0.0000
b3399	0.1441
b3379	0.7000
b3374	0.6973
b3375	0.7215
b3371	0.7252
b4211	0.2092
b3688	0.1818
b3689	0.2005
b3685	0.1175
b3686	0.1127
b3687	0.0219
b3200	0.0761
b3201	0.0166
b2379	0.0413
b2378	0.0915
b3204	0.0491
b3205	0.0141
b3206	0.0333
b1373	0.3564
b3208	0.1653
b3209	0.1060
b2377	0.3250
b4218	0.0828
b2153	0.0405
b2152	0.1605
b2151	0.1118
b2150	0.0602
b2157	0.0871
b2156	0.0552
b2155	0.1192
b2405	0.1939
b2159	0.1158
b2158	0.1117
b2400	0.0488
b3972	0.1784
b3973	0.0875
b3668	0.0860
b3974	0.0443
b2081	0.0375
b2082	0.5000
b2086	0.1472
b2949	0.0435
b2571	0.1069
b2570	0.1824
b2573	0.0052
b2572	0.0833
b2574	0.1019
b2577	0.2218
b2576	0.0698
b2578	0.1590
b3433	0.0381
b1322	0.1190
b1078	0.0077
b3432	0.0673
b1075	0.1558
b1074	0.0597
b1077	0.1315
b1076	0.1122
b1071	0.1959
b1070	0.1884
b1073	0.1884
b1072	0.2877
b1981	0.5915
b1983	0.0462
b1982	0.0950
b1985	0.1835
b2889	0.2983
b2829	0.0508
b3985	0.0182
b2828	0.0722
b2827	0.0379
b2799	0.0890
b2798	0.1036
b2826	0.3462
b2795	0.0573
b2794	0.1277
b2797	0.0593
b2796	0.0443
b2791	0.1231
b2790	0.1141
b2793	0.1547
b2792	0.1927
b1219	0.0769
b4333	0.6454
b2536	0.1266
b4337	0.1390
b4336	0.1017
b1211	0.0306
b1210	0.0550
b1213	0.2713
b1212	0.2347
b1215	0.0704
b1214	0.1413
b1217	0.1711
b1216	0.0628
b1189	0.0995
b1188	0.0333
b2821	0.1102
b1181	0.0784
b1180	0.1507
b1183	0.2734
b2820	0.1525
b1185	0.1477
b1184	0.1635
b1187	0.0293
b1186	0.0799
b0854	0.0595
b0855	0.0637
b0856	0.0757
b0857	0.0534
b0850	0.4000
b0851	0.1208
b0852	0.0967
b0853	0.1519
b0858	0.2038
b0859	0.1280
b1853	0.0761
b1852	0.0265
b1851	0.0597
b1850	0.0329
b1857	0.1194
b1855	0.0681
b1854	0.0146
b1677	0.0385
b1676	0.0426
b1859	0.0383
b1858	0.0478
b1670	0.4198
b1325	0.1464
b1324	0.1190
b1326	0.0909
b1453	0.0825
b1452	0.1048
b1451	0.1471
b1450	0.4163
b0106	0.3225
b0107	0.3037
b0104	0.0490
b4484	0.1084
b1329	0.0726
b0103	0.1117
b4480	0.1331
b1695	0.0470
b1694	0.0677
b1696	0.1993
b4248	0.1705
b1693	0.1984
b1692	0.0903
b4200	0.0076
b4244	0.0588
b4241	0.1175
b1698	0.2701
b4242	0.1002
b1875	0.1543
b0580	0.1463
b0581	0.1559
b0586	0.2080
b0587	0.2660
b0584	0.1712
b1650	0.0795
b0588	0.0833
b0589	0.1307
b0610	0.0882
b1876	0.0416
b4203	0.0470
b1654	0.0261
b2835	0.1134
b1657	0.5885
b1656	0.0518
b1523	0.2017
b1974	0.3409
b0038	0.0494
b1520	0.1513
b4202	0.0133
b1526	0.1759
b1525	0.1861
b1658	0.0411
b0032	0.0524
b0033	0.0177
