uniprot	pdb	oln	pdb_length
A5A616	5oqt.C	b4599	27
O32583	1f0z.A	b4407	66
P00350	2zyd.A	b2029	464
P00363	1kf6.A	b4154	577
P00370	4bht.A	b1761	442
P00448	1ix9.A	b3908	205
P00452	2xap.A	b2234	728
P00490	1ahp.A	b3417	796
P00509	2q7w.A	b0928	379
P00634	5jtl.E	b0383	471
P00722	6drv.A	b0344	1024
P00805	5mq5.A	b2957	317
P00811	2ffy.A	b4150	358
P00816	1dw9.A	b0340	156
P00861	1knw.A	b2838	421
P00864	1jqn.A	b3956	875
P00894	2f1f.A	b0078	163
P00909	1pii.A	b1262	452
P00914	1dnp.A	b0708	469
P00926	3ss7.X	b2366	437
P00934	1vb3.A	b0004	428
P00935	1cs1.A	b3939	384
P00959	1pfv.A	b2114	548
P00962	1qtq.A	b0680	529
P00963	12as.A	b3744	328
P00968	1a9x.A	b0033	1059
P02358	4v9o.BF	b4200	201
P02359	4v9o.BG	b3341	177
P02916	3rlf.F	b4033	490
P02919	3vma.A	b0149	708
P02920	2cfq.A	b0343	417
P02924	8abp.A	b1901	305
P02925	2dri.A	b3751	271
P02930	1tqq.A	b3035	428
P02931	2zfg.A	b0929	339
P02932	1pho.A	b0241	330
P02943	1af6.A	b4036	421
P03007	5m1s.D	b0215	229
P03018	2is6.A	b3813	654
P03023	3edc.A	b0345	300
P03817	2hna.A	b3742	147
P03959	5mrw.A	b0698	557
P03960	5mrw.B	b0697	674
P03961	5mrw.C	b0696	187
P04036	1dih.A	b0031	272
P04079	1gpm.A	b2507	501
P04128	2jty.A	b4314	184
P04391	1duv.G	b4254	333
P04395	1mpg.A	b2068	282
P04425	1gsa.A	b2947	314
P04693	3fsl.A	b4054	397
P04816	1usg.A	b3458	346
P04825	3b34.A	b0932	867
P04951	3k8d.A	b0918	246
P04968	1tdj.A	b3772	494
P04993	1w36.D	b2819	539
P04995	2qxf.A	b2011	433
P05020	2z26.A	b1062	344
P05041	1k0e.A	b1812	438
P05042	1fur.A	b1611	456
P05050	3khc.A	b2212	207
P05100	1lmz.A	b3549	187
P05458	1q2l.A	b2821	937
P05523	1k82.A	b3635	260
P05719	2y7c.A	b4348	464
P05793	3ulk.A	b3774	489
P05804	3lpf.A	b1617	603
P05825	1fep.A	b0584	680
P05852	4wq4.A	b3064	336
P06129	2guf.A	b3966	551
P06149	1f0x.A	b2133	502
P06609	2qi9.A	b1711	324
P06611	2qi9.C	b1709	248
P06612	4rul.A	b1274	823
P06616	1ega.A	b2566	292
P06709	1bia.A	b3973	292
P06715	1ges.A	b3500	448
P06721	4itx.A	b3008	391
P06722	1azo.A	b2831	214
P06968	1euw.A	b3640	136
P06971	1qfg.A	b0150	707
P06983	1gtk.A	b3805	294
P06986	1fg7.A	b2021	354
P06988	1kae.A	b2020	435
P06992	3tpz.A	b0051	253
P06996	2j1n.A	b2215	346
P06999	3umo.A	b1723	309
P07003	3ey9.A	b0871	571
P07012	1gqe.A	b2891	362
P07013	5wqv.A	b4201	94
P07014	2wdq.B	b0724	238
P07024	1ush.A	b0480	515
P07026	4lfu.A	b1916	236
P07102	1dkq.A	b0980	410
P07395	3pco.B	b1713	795
P07464	1krr.A	b0342	200
P07648	1w36.C	b2822	1122
P07649	2nqp.A	b2318	264
P07650	2tpt.A	b4382	440
P07658	2iv2.X	b4079	697
P07762	1m7x.A	b3432	587
P07813	4arc.A	b0642	814
P07822	1efd.N	b0152	262
P07862	4c5c.A	b0092	308
P08178	1cli.A	b2499	341
P08179	1jkx.A	b2500	209
P08189	2jmr.A	b4318	179
P08190	3jwn.G	b4319	144
P08191	4xo9.A	b4320	279
P08192	1w78.A	b2315	414
P08194	1pw4.A	b2240	434
P08200	1pb1.A	b1136	416
P08202	4f2d.A	b0062	498
P08203	1k0w.A	b0061	223
P08244	1eix.A	b1281	231
P08337	1mut.A	b0099	129
P08373	1mbb.A	b3972	340
P08394	1w36.B	b2820	1158
P08506	3ita.A	b0839	348
P08660	2j0w.A	b4024	448
P08839	2n5t.A	b2416	573
P08957	2y7c.B	b4349	529
P08997	3cuz.A	b4014	529
P09029	3eth.A	b0522	355
P09030	1ako.A	b1749	268
P09099	2itm.A	b3564	476
P09147	5gy7.A	b0759	339
P09148	1gup.A	b0758	347
P09152	1q16.A	b1224	1244
P09155	1yt3.A	b1804	375
P09158	3o4f.A	b0121	282
P09163	2kcw.A	b4012	147
P09169	1i78.A	b0565	297
P09184	1cw0.A	b1960	155
P09372	1dkg.A	b2614	158
P09373	1h16.A	b0903	759
P09394	1t8q.A	b2239	328
P09980	1uaa.A	b3778	636
P0A6A8	1l0i.A	b1094	77
P0A6B4	4wr3.A	b4053	359
P0A6C1	1qtw.A	b2159	285
P0A6C8	1gs5.A	b3959	258
P0A6D3	1g6s.A	b0908	427
P0A6E4	1k92.A	b3172	444
P0A6E6	5t4o.H	b3731	136
P0A6F1	1c30.B	b0032	379
P0A6F3	1bu6.O	b3926	497
P0A6F5	1grl.A	b4143	518
P0A6F9	1pcq.O	b4142	97
P0A6G7	3mt6.A	b0437	192
P0A6H5	1g4a.E	b3931	356
P0A6I0	1cke.A	b0910	212
P0A6I3	1esm.A	b3974	311
P0A6I6	5jbn.A	b3634	160
P0A6I9	1n3b.A	b0103	176
P0A6K1	4ijz.A	b3809	274
P0A6K3	3k6l.A	b3287	164
P0A6L0	1p1x.A	b4381	250
P0A6L2	2ojp.A	b2478	292
P0A6L4	3lbm.A	b3225	295
P0A6L9	1fpo.A	b2527	171
P0A6M2	2k73.A	b1185	183
P0A6M4	1jke.A	b3887	145
P0A6P1	3mmp.A	b0170	643
P0A6P5	3j8g.X	b2511	418
P0A6P7	1pui.A	b3865	169
P0A6P9	3h8a.A	b2779	430
P0A6Q3	4keh.A	b0954	166
P0A6R0	1hnj.A	b1091	317
P0A6R3	1eto.A	b3261	87
P0A6T1	3nbu.A	b4025	545
P0A6T5	1a8r.A	b2153	222
P0A6T9	3ab9.A	b2904	127
P0A6U3	3ces.A	b3741	531
P0A6U5	1jsx.A	b3740	193
P0A6U8	2qzs.A	b3429	477
P0A6V1	5l6v.A	b3430	422
P0A6V5	1gmx.A	b3425	108
P0A6W5	1grj.A	b3181	151
P0A6W9	1va6.A	b2688	507
P0A6X7	1owf.A	b1712	96
P0A6Y1	1owf.B	b0912	94
P0A6Y8	2kho.A	b0014	600
P0A6Z3	2ioq.A	b0473	567
P0A6Z6	2hza.A	b3481	131
P0A715	1phw.A	b1215	272
P0A717	4s2u.A	b1207	308
P0A720	4tmk.A	b1098	210
P0A722	2qia.A	b0181	262
P0A725	4mqy.A	b0096	302
P0A729	4jhc.A	b1087	192
P0A731	1b93.A	b0963	148
P0A744	2gt3.A	b4219	211
P0A749	3kqj.A	b3189	419
P0A752	1k4m.A	b0639	213
P0A754	3l9w.A	b0046	338
P0A759	1fs5.A	b0678	266
P0A763	2hur.A	b2518	142
P0A772	3n3a.C	b2674	131
P0A776	2kdv.A	b2830	164
P0A780	1ey1.A	b0416	139
P0A784	2igi.A	b4162	180
P0A786	1ekx.A	b4245	310
P0A790	1pqh.A	b0131	119
P0A794	1m5w.A	b2564	242
P0A796	1pfk.A	b3916	320
P0A799	1zmr.A	b2926	386
P0A7A5	3lbf.A	b2743	208
P0A7A9	4um4.A	b4226	175
P0A7B1	1xdp.A	b2501	687
P0A7B5	2j5v.A	b0242	324
P0A7B8	5ji3.A	b3932	174
P0A7C2	1jhf.A	b4043	197
P0A7D1	3vjr.A	b1204	193
P0A7D4	1kjx.A	b4177	431
P0A7D7	2gqr.A	b2476	237
P0A7E1	1f76.A	b0945	336
P0A7E3	1oro.A	b3642	213
P0A7E5	1s1m.A	b2780	534
P0A7E9	2bne.A	b0171	234
P0A7F3	4fyy.B	b4244	147
P0A7G2	1kkg.A	b3167	108
P0A7G6	2rec.A	b2699	303
P0A7H3	3q8d.A	b2565	231
P0A7I0	2b3t.B	b1211	300
P0A7I4	2h5e.A	b4375	489
P0A7I7	2bz1.A	b1277	174
P0A7J0	1iez.A	b3041	217
P0A7J3	4v9o.A5	b3985	148
P0A7J7	4v9o.AI	b3983	141
P0A7K6	4v9o.AP	b2606	114
P0A7L0	3jce.5	b3984	234
P0A7L3	4v9o.AQ	b1716	117
P0A7L8	4v9o.AW	b3185	79
P0A7M2	4v9o.AX	b3637	77
P0A7M6	4u26.BY	b3312	63
P0A7M9	5afi.6	b3936	66
P0A7N4	4v9o.A0	b1089	56
P0A7N9	4v9o.A1	b3636	50
P0A7P5	4ybb.C3	b3703	46
P0A7Q1	4v9o.A3	b1717	64
P0A7Q6	4ybb.C5	b3299	38
P0A7R5	3w1y.C	b3321	90
P0A7R9	4v9o.BK	b3297	142
P0A7S3	4v9o.BL	b3342	122
P0A7S9	4v9o.BM	b3298	143
P0A7T3	4ybb.AP	b2609	82
P0A7T7	4v9o.BR	b4202	117
P0A7U3	4v9o.BS	b3316	103
P0A7U7	4v9o.BT	b0023	110
P0A7V0	4v9o.BB	b0169	218
P0A7V3	4v9o.BC	b3314	271
P0A7W1	4v9o.BE	b3303	209
P0A7W7	4v9o.BH	b3306	176
P0A7Y4	1rch.A	b0214	155
P0A7Y8	2ljp.A	b3704	119
P0A7Z4	6gh5.A	b3295	309
P0A800	6gh5.E	b3649	75
P0A805	1ise.A	b0172	184
P0A809	1cuk.A	b1861	190
P0A814	1hjr.A	b1863	158
P0A817	1p7l.A	b2942	384
P0A823	4dap.A	b0146	232
P0A825	1dfo.A	b2551	416
