EG1	Gene name2	b-name3	Protein description4	Mol. weight [Da]5	Protein length (amino acids)6	Oi7	Index8	FPER9	pi10	ni11	Relative APEX12	APEX copies/cell13	Index	FPER	pi	ni	Relative APEX	APEX copies/cell 	Average APEX copies/cell	Average APEX cost in ATP	Average total number of redundant MS/MS scans	CV	ID14	Peptides (seq)15	Sequence coverage [%]16	PEP17	Intensity18	iBAQ, fmol/ml19	iBAQ copies/cell20	ID	Peptides (seq)	Sequence coverage [%]	PEP	Intensity	iBAQ, fmol/ml	iBAQ copies/cell	Average iBAQ copies/cell	Average iBAQ cost in ATP	Average of sequenced peptides	CV	Query21	Score22	Matches23	Sequences24	emPAI25	Relative emPAI26	emPAI copies/cell27	Query	Score	Matches	Sequences	emPAI	Relative emPAI	emPAI copies/cell	Average emPAI copies/cell	Average emPAI cost in ATP	Average of sequenced peptides	CV 	COG assignment28	COG class29	Arg count30	Lys count31	Pro count32	Theoretical peptide count33	CAI 0.5% cut-off34	kcat35, s-1	Main metabolic network36
eg11036	tufa	b3339	protein chain elongation factor ef-tu (duplicate of tufb) (tufa) {escherichia coli k12-mg1655}	43233.604	394	23.77366667	304	0	1	857	0.014787536	30013	299	0	1	745	0.014134665	28848	29430	49803779	801	3%	959	40	91.4	0	13082000000	570800	37977	949	41	91.9	0	8590700000	549946.6667	40475	39226	66380318	41	5%	2	21628	1415 (977)	52 (29)	86.77	0.031973616	64895	1	16771	1098 (758)	52 (29)	63.77	0.024130807	49249	57072	96579944	52(29)	19%	cog0050;gtpases - translation elongation factors	[J]	23	23	20	38	0.514428968		
eg10035	alda	b1415	aldehyde dehydrogenase, nad-linked (alda) [1.2.1.22] {escherichia coli k12-mg1655}                                                         	52254.919	479	44.08895238	10	0	1	437	0.004065957	8252	11	0	1	352	0.003601126	7350	7801	16056497	395	8%	417	38	75.4	0	5949500000	256360	17056	410	41	76	0	3394800000	223440	16445	16751	34477049	40	3%	6	12496	837 (457)	59 (34)	33.37	0.012296411	24957	6	11971	783 (419)	61 (33)	33.37	0.012627333	25771	25364	52206278	60(34)	2%	cog1012;nad-dependent aldehyde dehydrogenases	[C]	25	22	21	39	0.288802976		
eg10022	acea	b4015	isocitrate lyase (acea) [4.1.3.1] {escherichia coli k12-mg1655}                                                          	47503.637	434	35.5625	4	0	1	666	0.007682333	15592	2	0	1	667	0.008459778	17266	16429	30631744	667	7%	1167	34	80	0	9859500000	472040	31406	1157	33	80	0	6360700000	449493.3333	33082	32244	60118734	34	4%	5	14102	1139 (634)	44 (29)	27.26	0.010044955	20388	4	14935	1120 (620)	44 (30)	29.21	0.011053173	22559	21473	40036389	44(30)	7%	cog2224;isocitrate lyase	[C]	16	21	17	30	0.375383434		
eg10701	pflb	b0903	formate acetyltransferase 1 (pflb) [2.3.1.54] {escherichia coli k12-mg1655};b3114 probable formate acetyltransferase 3 (tdce) [2.3.1.54] {escherichia coli k12-mg1655}                                                	85339.381	760	50.73230952	582	0	1	336	0.002716851	5514	568	0	1	314	0.002791711	5698	5606	18321538	325	2%	270	62	86.8	0	3746100000	127264	8467	264	64	82.4	0	1906800000	102300	7529	7998	26139953	63	8%	11.1	10436	944 (378)	101 (49)	14.54	0.005357801	10874	11.1	9612	848 (353)	99 (45)	12.37	0.004680854	9553	10214	33381182	100(47)	9%	cog1882;pyruvate-formate lyase	[C]	38	50	30	71	0.504960103		
eg10576	mdh	b3236	malate dehydrogenase (mdh) [1.1.1.37] {escherichia coli k12-mg1655}                                                          	32319.378	312	16.79242857	150	0	1	363	0.008867563	17998	144	0	1	381	0.010233799	20886	19442	26036126	372	11%	916	23	89.7	0	3269600000	282666.6667	18807	907	24	89.7	0	2209100000	280426.6667	20639	19723	26411956	24	7%	3	16453	577 (402)	34 (22)	29.05	0.010704547	21726	3	14948	567 (392)	31 (23)	29.05	0.010992629	22435	22081	29569580	33(23)	2%	cog0039;malate/lactate dehydrogenases	[C]	8	21	13	20	0.402199029	2.408095964	yes
eg10539	livj	b3460	high-affinity amino acid transport system; periplasmic binding protein (livj) {escherichia coli k12-mg1655}                                                     	39058.451	367	17.5832381	136	0	1	189	0.004409345	8949	130	0	1	213	0.005463943	11151	10050	15839335	201	15%	1004	23	77.5	0	3250600000	256680	17078	991	23	77.5	0	2105300000	246720	18158	17618	27765645	23	4%	16.1	8262	519 (310)	36 (23)	24.61	0.009068465	18406	13.1	9151	591 (376)	37 (24)	24.61	0.009312516	19006	18706	29480261	37(24)	2%			7	31	15	29	0.374836319		
eg12316	acnb	b0118	aconitate hydrase b (acnb) [4.2.1.3] {escherichia coli k12-mg1655}                                                         	93448.32	865	49.02778175	602	0	1	293	0.002451526	4976	586	0	1	316	0.002907169	5933	5454	20292723	305	12%	47	60	77.8	0	2904200000	93137.33333	6197	47	63	83.7	0	1987300000	94382.66667	6946	6572	24448578	62	8%	14	9522	751 (357)	91 (47)	8.26	0.003043703	6178	7	10838	814 (380)	92 (48)	12.04	0.004555981	9298	7738	28788184	92(48)	29%	cog1049;aconitase b	[C]	39	49	54	70	0.413197502	7.754928019	yes
eg10367	gapa	b1779	glyceraldehyde-3-phosphate dehydrogenase a (gapa) [1.2.1.12] {escherichia coli k12-mg1655};con__p10096;ipi:con_00713814.2                                                         	35514.565	331	23.73095238	571	0	1	300	0.005185818	10525	555	0	1	328	0.006234248	12724	11624	16518047	314	13%	527	33	83.1	0	2681200000	176493.3333	11743	518	33	83.1	0	1588400000	158973.3333	11700	11721	16655783	33	0%	29	6252	608 (306)	49 (26)	23.59	0.008692608	17643	23	6492	676 (352)	51 (28)	25.88	0.009793089	19987	18815	26735418	50(27)	9%	cog0057;glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase	[G]	12	27	9	34	0.504781981	7.860252832	yes
eg10599	grol	b4143	groel, chaperone hsp60, peptide-dependent atpase, heat shock protein (mopa) {escherichia coli k12-mg1655}                                                     	57311.073	548	36.48411111	161	0	1	355	0.003991497	8101	155	0	1	278	0.003436896	7014	7558	17801553	317	10%	1202	36	77.4	0	2651600000	133346.6667	8872	1189	36	78.3	0	1598100000	122065.3333	8984	8928	21028450	36	1%	10	11010	828 (353)	80 (30)	12.68	0.004672415	9483	15	8785	659 (301)	74 (30)	16.09	0.006088516	12426	10955	25802459	77(30)	19%	cog0459;chaperonin groel (hsp60 family)	[O]	22	40	14	50	0.488760462		
eg10593	mglb	b2150	galactose-binding transport protein; receptor for galactose taxis (mglb) {escherichia coli k12-mg1655}                                                      	35694.645	332	28.23047619	158	0	1	208	0.00302243	6134	152	0	1	219	0.003499059	7141	6638	9460813	214	11%	627	29	84.6	0	2794500000	176573.3333	11748	620	30	84.6	0	1766200000	167186.6667	12305	12026	17140839	30	3%	40	5000	341 (197)	37 (25)	17.66	0.00650748	13208	32	5457	366 (213)	43 (27)	28.08	0.010625577	21686	17447	24866669	40(26)	34%	cog1879;abc-type sugar transport system, periplasmic component	[G]	6	33	10	33	0.394625354		yes
