oln	contact_density
b3459	4.1016
b3357	3.5000
b3822	3.8203
b0004	4.0514
b2926	3.9093
b0550	3.3750
b2696	2.7377
b0006	3.8429
b0414	3.5989
b2699	0.0759
b0416	4.5036
b3980	3.7668
b2517	3.9159
b0411	3.4582
b0009	3.6339
b2514	4.0777
b4173	3.2606
b4171	3.7311
b2518	3.6127
b1538	4.0804
b1430	3.8141
b1535	3.5365
b4070	3.8503
b4071	3.0563
b1530	3.2985
b1531	4.3643
b2927	3.7191
b2214	4.6151
b2215	3.6127
b2924	3.3788
b2212	3.6618
b0891	3.5141
b2195	3.5490
b2925	3.8982
b0051	3.7312
b3734	3.7254
b3983	2.5603
b0522	3.7775
b0523	3.5399
b3730	3.6659
b0525	4.5061
b0526	3.9275
b2512	3.9107
b2607	3.4153
b0529	3.7108
b0481	3.5570
b0480	3.9612
b0487	3.2541
b2511	3.3373
b0485	4.1359
b0956	3.0403
b3011	3.8658
b2510	3.4930
b3992	3.7350
b0555	3.6121
b2385	3.9694
b3465	3.6667
b3857	3.6223
b0412	3.7202
b3774	4.1656
b1896	4.0155
b3916	3.8031
b3984	3.0684
b3910	3.7385
b1892	2.8776
b1891	3.4359
b4477	3.8592
b4475	3.8244
b0852	3.6271
b0242	3.7593
b4079	4.1277
b2456	3.1458
b2457	3.3542
b2458	3.8602
b0710	3.8421
b4259	3.6301
b1096	3.7212
b1095	4.0657
b1094	3.4675
b1093	3.6708
b1092	3.9770
b1091	3.9022
b1099	4.1944
b4407	4.2727
b1804	3.7333
b1807	3.6955
b2565	3.6104
b1476	3.5880
b1023	3.9240
b3453	4.0287
b3300	3.5589
b3499	3.8029
b2779	4.1023
b1171	4.0119
b1271	4.6000
b1379	4.2222
b1277	3.5345
b0778	3.6741
b1274	3.3949
b0775	3.7436
b0774	3.9159
b3575	3.8976
b0773	3.6101
b0772	3.7783
b3307	3.1618
b4352	3.6814
b3703	2.5217
b3172	3.7117
b3177	3.7730
b1916	3.6356
b3179	3.6500
b2552	3.7348
b0708	3.9190
b0709	3.9451
b1652	3.6089
b1871	3.8781
b2551	3.9062
b0878	3.0735
b1656	3.7708
b3073	3.9249
b1658	3.7294
b0875	3.9528
b1970	3.4054
b1971	3.7490
b1796	3.3833
b1797	3.1651
b3253	3.8281
b0518	3.7472
b3318	3.0108
b3256	3.9327
b4131	3.9213
b1324	3.5829
b3312	3.2381
b0803	2.7841
b4306	3.6245
b0512	4.0536
b0515	3.4959
b3317	3.1328
b4139	3.7778
b0516	3.9927
b1478	3.8601
b1774	3.8012
b0953	3.0377
b1772	3.7231
b0678	3.8985
b3041	4.6820
b0680	3.8223
b1475	3.3599
b1474	4.1996
b0687	3.3210
b1779	3.7667
b3381	4.0285
b2259	4.1705
b2312	3.9329
b2315	3.9420
b3387	3.8980
b2316	3.6809
b2318	3.7311
b4193	5.2483
b2255	4.6305
b3778	3.7516
b0675	3.8560
b3673	3.7760
b3737	4.0253
b4187	3.9944
b1482	3.1127
b3770	3.7270
b3772	3.6741
b0174	3.5631
b0173	3.9598
b0172	3.5652
b0171	3.7137
b0170	3.8087
b3406	3.0449
b2813	3.6746
b2810	3.8997
b2811	4.3624
b0421	4.0736
b3403	3.9327
b3956	3.9966
b0350	3.8779
b2131	3.9573
b3959	3.7907
b2421	3.9660
b2819	3.5622
b0292	3.3730
b3408	3.1205
b3234	0.1747
b0528	3.6582
b1507	3.9116
b4000	2.9342
b0058	3.5945
b0190	3.4802
b4005	3.7733
b0192	2.8053
b2951	3.7293
b3732	2.6052
b2957	3.8297
b1508	2.9859
b0052	3.8237
b3816	3.8327
b1388	3.8849
b3203	4.2000
b0222	3.7240
b0325	3.8559
b0907	3.7833
b0452	3.6035
b0905	3.9278
b0902	3.6748
b0903	4.2635
b2559	3.8333
b2224	3.8320
b2553	2.9286
b2659	3.6961
b0908	4.1382
b2222	4.1643
b4513	2.5556
b3590	3.3762
b1059	3.8275
b2728	3.9556
b1651	3.1641
b1056	3.2189
b3925	3.8879
b3924	3.8238
b3927	3.9528
b3926	4.0262
b0226	2.3571
b0225	3.3333
b4244	3.3605
b0228	3.6242
b3929	3.7375
b3928	2.8861
b0755	3.9190
b4226	3.4571
b0140	3.4030
b0684	4.7216
b4192	3.6809
b2036	3.7902
b0657	4.0239
b2039	3.7897
b3641	3.7062
b1870	3.7860
b4319	2.9931
b4318	4.1732
b4317	3.4075
b4316	4.2732
b4314	4.2989
b4311	3.5024
b4310	3.7251
b0798	4.3571
b2834	3.8468
b1930	3.2474
b1931	3.7952
b1281	3.7662
b1286	3.5267
b0837	4.0057
b3039	3.8197
b4100	3.6529
b1288	3.6667
b0839	3.8333
b1114	3.6876
b1830	3.6698
b1832	3.8113
b1835	3.7429
b2992	4.0185
b2938	3.6911
b0762	2.3913
b1308	4.3412
b3190	3.8660
b0640	3.5769
b3620	3.7976
b3621	3.8571
b4381	4.0800
b1738	4.4906
b3416	3.9032
b4384	3.7300
b4386	3.6626
b3915	3.3357
b1732	3.7121
b3222	3.7889
b4260	3.9682
b1736	4.4854
b2804	3.5290
b0763	3.8745
b3859	3.6462
b2806	3.8627
b0610	3.6296
b0639	3.5915
b0885	3.7904
b0884	4.0704
b0882	3.5724
b0881	3.4124
b0736	3.4884
b0631	4.4828
b0632	3.7803
b3006	3.4635
b3106	3.6740
b0636	3.5882
b0888	3.6772
b3363	4.3494
b3362	2.6471
b4045	4.1739
b0545	3.6061
b4043	3.3503
b3366	4.3182
b2919	3.7148
b2918	3.6225
b0393	3.5464
b0460	3.9722
b2667	3.2551
b0462	3.8966
b2661	4.0478
b3447	4.1411
b0611	3.7388
b2662	3.9482
b1549	4.5591
