#Table S1. Protein copies per cell		
oln	SP_id	description	copies per cell
ENST00000229239	P04406	Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens GN=GAPDH PE=1 SV=3	>2e7
ENST00000491306	P61513	60S ribosomal protein L37a OS=Homo sapiens GN=RPL37A PE=1 SV=2	>2e7
ENST00000308162	P23528	Cofilin-1 OS=Homo sapiens GN=CFL1 PE=1 SV=3	>2e7
ENST00000468812	P62937	Peptidyl-prolyl cis-trans isomerase A OS=Homo sapiens GN=PPIA PE=1 SV=2	>2e7
ENST00000215909	P09382	Galectin-1 OS=Homo sapiens GN=LGALS1 PE=1 SV=2	>2e7
ENST00000568459	P14618	Pyruvate kinase isozymes M1/M2 OS=Homo sapiens GN=PKM2 PE=1 SV=4	>2e7
ENST00000331523	P68104	Elongation factor 1-alpha 1 OS=Homo sapiens GN=EEF1A1 PE=1 SV=1	>2e7
ENST00000646539	P06733	Alpha-enolase OS=Homo sapiens GN=ENO1 PE=1 SV=2	>2e7
ENST00000224237	P08670	Vimentin OS=Homo sapiens GN=VIM PE=1 SV=4	>2e7
ENST00000331789	P60709	Actin, cytoplasmic 1 OS=Homo sapiens GN=ACTB PE=1 SV=1	>2e7
ENST00000229270	P60174	Triosephosphate isomerase OS=Homo sapiens GN=TPI1 PE=1 SV=2	>2e7
ENST00000319248	Q06830	Peroxiredoxin-1 OS=Homo sapiens GN=PRDX1 PE=1 SV=1	1.78E+07
ENST00000451270	P07355	Annexin A2 OS=Homo sapiens GN=ANXA2 PE=1 SV=2	1.72E+07
ENST00000225655	P07737	Profilin-1 OS=Homo sapiens GN=PFN1 PE=1 SV=2	1.65E+07
ENST00000368097	P37802	Transgelin-2 OS=Homo sapiens GN=TAGLN2 PE=1 SV=3	1.58E+07
ENST00000301072	Q9BQE3	Tubulin alpha-1C chain OS=Homo sapiens GN=TUBA1C PE=1 SV=1	1.42E+07
ENST00000356950	O60814	Histone H2B type 1-K OS=Homo sapiens GN=HIST1H2BK PE=1 SV=3, Histone H2B type F-S OS=Homo sapiens GN=H2BFS PE=1 SV=2, Histone H2B type 1-D OS=Homo sapiens GN=HIST1H2BD PE=1 SV=2, Histone H2B type 1-C/E/F/G/I OS=Homo sapiens GN=HIST1H2BC PE=1 SV=3, Histone H2B type 2-F OS=Homo sapiens GN=HIST2H2BF PE=1 SV=3, Histone H2B type 1-H OS=Homo sapiens GN=HIST1H2BH PE=1 SV=3, Histone H2B type 1-N OS=Homo sapiens GN=HIST1H2BN PE=1 SV=3, Histone H2B type 1-M OS=Homo sapiens GN=HIST1H2BM PE=1 SV=3, Histone H2B type 1-L OS=Homo sapiens GN=HIST1H2BL PE=1 SV=3	1.32E+07
ENST00000344777	Q13268	Dehydrogenase/reductase SDR family member 2 OS=Homo sapiens GN=DHRS2 PE=1 SV=3	1.19E+07
ENST00000613839	P14174	Macrophage migration inhibitory factor OS=Homo sapiens GN=MIF PE=1 SV=4	1.18E+07
ENST00000547276	P09651	Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens GN=HNRNPA1 PE=1 SV=4	1.17E+07
ENST00000564546	P04075	Fructose-bisphosphate aldolase A OS=Homo sapiens GN=ALDOA PE=1 SV=2	1.07E+07
ENST00000534624	P11142	Heat shock cognate 71 kDa protein OS=Homo sapiens GN=HSPA8 PE=1 SV=1	1.05E+07
ENST00000620073	P08238	Heat shock protein HSP 90-beta OS=Homo sapiens GN=HSP90AB1 PE=1 SV=4	1.05E+07
ENST00000248553	P04792	Heat shock protein beta-1 OS=Homo sapiens GN=HSPB1 PE=1 SV=2	1.00E+07
ENST00000354667	P22626	Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens GN=HNRNPA2B1 PE=1 SV=2	9.27E+06
ENST00000351986	P06748	Nucleophosmin OS=Homo sapiens GN=NPM1 PE=1 SV=2	8.95E+06
ENST00000573542	P63241	Eukaryotic translation initiation factor 5A-1 OS=Homo sapiens GN=EIF5A PE=1 SV=2	8.02E+06
ENST00000233893	P61604	10 kDa heat shock protein, mitochondrial OS=Homo sapiens GN=HSPE1 PE=1 SV=2	7.38E+06
ENST00000543146	P78371	T-complex protein 1 subunit beta OS=Homo sapiens GN=CCT2 PE=1 SV=4	7.27E+06
ENST00000271638	P31949	Protein S100-A11 OS=Homo sapiens GN=S100A11 PE=1 SV=2	7.08E+06
ENST00000373316	P00558	Phosphoglycerate kinase 1 OS=Homo sapiens GN=PGK1 PE=1 SV=3	6.96E+06
ENST00000572008	P62244	40S ribosomal protein S15a OS=Homo sapiens GN=RPS15A PE=1 SV=2	6.79E+06
ENST00000402849	P62318	Small nuclear ribonucleoprotein Sm D3 OS=Homo sapiens GN=SNRPD3 PE=1 SV=1	6.53E+06
ENST00000398606	P09211	Glutathione S-transferase P OS=Homo sapiens GN=GSTP1 PE=1 SV=2	5.30E+06
ENST00000345042	P10809	60 kDa heat shock protein, mitochondrial OS=Homo sapiens GN=HSPD1 PE=1 SV=2	5.28E+06
ENST00000296511	P08758	Annexin A5 OS=Homo sapiens GN=ANXA5 PE=1 SV=2	5.27E+06
ENST00000542179	P00338	L-lactate dehydrogenase A chain OS=Homo sapiens GN=LDHA PE=1 SV=2	4.99E+06
ENST00000530797	P05387	60S acidic ribosomal protein P2 OS=Homo sapiens GN=RPLP2 PE=1 SV=1	4.69E+06
ENST00000309311	P13639	Elongation factor 2 OS=Homo sapiens GN=EEF2 PE=1 SV=4	4.42E+06
ENST00000297258	Q01469	Fatty acid-binding protein, epidermal OS=Homo sapiens GN=FABP5 PE=1 SV=3	4.09E+06
ENST00000548293	P60660	Myosin light polypeptide 6 OS=Homo sapiens GN=MYL6 PE=1 SV=2	4.06E+06
ENST00000615353	P62805	Histone H4 OS=Homo sapiens GN=HIST1H4A PE=1 SV=2	4.01E+06
ENST00000382361	Q16658	Fascin OS=Homo sapiens GN=FSCN1 PE=1 SV=3	3.76E+06
ENST00000323997	P13929	Beta-enolase OS=Homo sapiens GN=ENO3 PE=1 SV=4	3.75E+06
---	P62158	Calmodulin OS=Homo sapiens GN=CALM1 PE=1 SV=2	3.60E+06
ENST00000479035	P62829	60S ribosomal protein L23 OS=Homo sapiens GN=RPL23 PE=1 SV=1	3.56E+06
ENST00000361436	P30050	60S ribosomal protein L12 OS=Homo sapiens GN=RPL12 PE=1 SV=1	3.27E+06
ENST00000323345	P62424	60S ribosomal protein L7a OS=Homo sapiens GN=RPL7A PE=1 SV=2	3.21E+06
ENST00000257497	P04083	Annexin A1 OS=Homo sapiens GN=ANXA1 PE=1 SV=2	3.00E+06
ENST00000393196	P15531	Nucleoside diphosphate kinase A OS=Homo sapiens GN=NME1 PE=1 SV=1	2.89E+06
ENST00000422514	P62750	60S ribosomal protein L23a OS=Homo sapiens GN=RPL23A PE=1 SV=1	2.88E+06
ENST00000304043	P49773	Histidine triad nucleotide-binding protein 1 OS=Homo sapiens GN=HINT1 PE=1 SV=2	2.80E+06
ENST00000275603	P40227	T-complex protein 1 subunit zeta OS=Homo sapiens GN=CCT6A PE=1 SV=3	2.60E+06
