oln	contact_density
Q0080	2.7292
Q0085	3.3534
Q0105	3.7481
Q0130	3.2162
Q0140	3.3835
Q0160	3.5336
R0010W	3.6090
YAL012W	3.7455
YAL020C	4.9108
YAL036C	3.5337
YAL038W	3.8008
YAL054C	3.8683
YAR015W	3.9269
YBL001C	3.1154
YBL016W	3.7033
YBL026W	2.9457
YBL027W	3.0319
YBL030C	3.7887
YBL036C	3.8565
YBL038W	3.7795
YBL041W	3.5045
YBL045C	3.8283
YBL050W	3.8470
YBL071W-A	3.8415
YBL072C	3.1862
YBL074C	3.8600
YBL078C	3.5126
YBL087C	3.0761
YBL092W	3.3688
YBL099W	3.8489
YBR009C	2.8068
YBR011C	3.8369
YBR019C	3.9659
YBR020W	4.0884
YBR034C	3.6646
YBR035C	3.4732
YBR039W	3.6128
YBR046C	3.9182
YBR055C	3.4170
YBR077C	3.3544
YBR082C	3.4392
YBR084C-A	3.0538
YBR085W	3.7273
YBR087W	3.4385
YBR088C	3.6124
YBR097W	2.3154
YBR107C	3.7671
YBR109C	3.8904
YBR111W-A	3.2088
YBR118W	3.6886
YBR127C	2.4836
YBR136W	3.1052
YBR137W	3.6686
YBR143C	3.1635
YBR146W	3.2478
YBR149W	3.9177
YBR153W	3.4389
YBR154C	3.4502
YBR164C	3.6145
YBR191W	3.3786
YBR193C	2.3261
YBR199W	3.9924
YBR213W	3.4198
YBR248C	3.9497
YBR249C	3.9174
YBR251W	2.9931
YBR252W	3.1024
YBR253W	2.4628
YBR272C	3.9344
YBR282W	2.1508
YBR283C	3.2102
YCL010C	3.8858
YCL016C	3.3396
YCL026C-A	3.2291
YCL035C	3.5273
YCL043C	3.5528
YCR003W	2.7232
YCR012W	3.7904
YCR031C	3.0157
YCR046C	3.5629
YCR053W	3.9745
YCR060W	3.9369
YCR063W	3.1019
YCR071C	3.6887
YCR072C	3.7462
YCR075W-A	3.2239
YCR083W	3.4811
YCR097W	3.9026
YDL004W	2.7479
YDL007W	3.1688
YDL022W	3.9547
YDL030W	3.4524
YDL040C	4.6323
YDL045C	4.6175
YDL045W-A	2.2414
YDL060W	3.3776
YDL064W	3.6194
YDL066W	3.8054
YDL075W	2.9435
YDL081C	3.3883
YDL084W	3.7112
YDL097C	3.5000
YDL100C	3.7508
YDL102W	3.8576
YDL104C	3.6620
YDL111C	3.5352
YDL128W	4.0348
YDL133C-A	2.5484
YDL137W	3.5876
YDL140C	3.5849
YDL143W	3.1609
YDL147W	3.4084
YDL160C-A	3.0000
YDL165W	2.7048
YDL184C	2.9429
YDL185W	2.5347
YDL190C	3.8817
YDL191W	3.2867
YDL192W	2.2893
YDL232W	2.4444
YDL235C	3.6446
YDR001C	3.9226
YDR009W	3.9632
YDR013W	3.0337
YDR025W	2.8387
YDR032C	3.6853
YDR036C	3.8540
YDR041W	2.8441
YDR050C	3.7611
YDR064W	3.0200
YDR078C	3.4634
YDR079C-A	3.0317
YDR091C	3.2388
YDR092W	3.4865
YDR101C	3.4167
YDR142C	3.8631
YDR155C	3.7516
YDR165W	3.7647
YDR175C	2.7732
YDR177W	3.8465
YDR188W	3.2702
YDR189W	3.6718
YDR212W	3.1526
YDR226W	4.0917
YDR235W	3.6883
YDR237W	3.7190
YDR256C	3.5676
YDR267C	3.8409
YDR280W	3.5552
YDR296W	4.3971
YDR301W	4.0706
YDR308C	2.9496
YDR322W	4.3855
YDR337W	3.2647
YDR339C	3.0172
YDR341C	3.9506
YDR347W	3.4481
YDR353W	3.7098
YDR372C	3.6277
YDR373W	4.1000
YDR378C	3.1429
YDR385W	3.8364
YDR394W	3.2828
YDR399W	3.5473
