oln	contact_order
Q0045	0.0672
Q0080	0.0625
Q0085	0.0836
Q0105	0.0878
Q0130	0.1072
Q0140	0.0895
Q0160	0.0975
Q0250	0.1050
Q0275	0.0607
R0010W	0.0717
YAL012W	0.0887
YAL020C	0.1047
YAL023C	0.0757
YAL026C	0.0669
YAL033W	0.1608
YAL036C	0.0793
YAL038W	0.0743
YAL054C	0.0620
YAR003W	0.0905
YAR015W	0.1206
YBL001C	0.1729
YBL016W	0.1090
YBL018C	0.1586
YBL026W	0.1644
YBL030C	0.0850
YBL036C	0.1072
YBL038W	0.1357
YBL041W	0.1899
YBL045C	0.1012
YBL050W	0.0374
YBL064C	0.1036
YBL071W-A	0.1741
YBL072C	0.1118
YBL074C	0.0772
YBL078C	0.1464
YBL088C	0.0092
YBL092W	0.1301
YBL099W	0.0751
YBR011C	0.1496
YBR019C	0.0651
YBR020W	0.1151
YBR034C	0.0992
YBR035C	0.1290
YBR039W	0.1197
YBR046C	0.1163
YBR055C	0.0068
YBR065C	0.0658
YBR077C	0.1211
YBR082C	0.1136
YBR084C-A	0.0697
YBR085W	0.0850
YBR087W	0.0635
YBR088C	0.1440
YBR097W	0.0097
YBR107C	0.1576
YBR109C	0.0832
YBR111W-A	0.0931
YBR127C	0.0489
YBR136W	0.0111
YBR137W	0.1524
YBR143C	0.0727
YBR146W	0.0616
YBR149W	0.0998
YBR153W	0.1685
YBR154C	0.0885
YBR155W	0.0447
YBR164C	0.1349
YBR170C	0.0708
YBR175W	0.0931
YBR193C	0.0190
YBR199W	0.1140
YBR213W	0.0612
YBR248C	0.0766
YBR249C	0.1065
YBR251W	0.0523
YBR252W	0.2021
YBR253W	0.0338
YBR257W	0.0524
YBR272C	0.0285
YBR282W	0.0552
YBR283C	0.0693
YCL005W-A	0.0961
YCL016C	0.0528
YCL026C-A	0.1350
YCL035C	0.1379
YCL043C	0.0385
YCR003W	0.0491
YCR012W	0.0880
YCR031C	0.1372
YCR046C	0.1218
YCR053W	0.1026
YCR059C	0.0885
YCR060W	0.0771
YCR063W	0.0819
YCR071C	0.1016
YCR072C	0.0794
YCR075W-A	0.2073
YCR083W	0.1823
YCR094W	0.1426
YDL004W	0.0991
YDL007W	0.0461
YDL022W	0.0709
YDL030W	0.0515
YDL040C	0.0286
YDL045C	0.1261
YDL045W-A	0.1019
YDL046W	0.1548
YDL060W	0.0841
YDL064W	0.1261
YDL066W	0.1149
YDL067C	0.0553
YDL075W	0.0936
YDL078C	0.0948
YDL083C	0.0921
YDL084W	0.0665
YDL095W	0.0821
YDL097C	0.0226
YDL100C	0.1240
YDL102W	0.0476
YDL104C	0.1097
YDL111C	0.1261
YDL128W	0.1263
YDL133C-A	0.1183
