oln	length
ENST00000000233	179
ENST00000000412	251
ENST00000000442	423
ENST00000001008	459
ENST00000001146	512
ENST00000002125	395
ENST00000002165	439
ENST00000002501	158
ENST00000002596	287
ENST00000002829	767
ENST00000003084	1480
ENST00000003100	488
ENST00000003302	1077
ENST00000003583	334
ENST00000003912	406
ENST00000004103	235
ENST00000004531	658
ENST00000004982	160
ENST00000005082	629
ENST00000005178	411
ENST00000005180	71
ENST00000005226	552
ENST00000005257	203
ENST00000005259	241
ENST00000005260	511
ENST00000005284	315
ENST00000005286	988
ENST00000005340	736
ENST00000005374	188
ENST00000005386	664
ENST00000005558	451
ENST00000005756	317
ENST00000005995	247
ENST00000006015	313
ENST00000006053	373
ENST00000006251	388
ENST00000006275	159
ENST00000006658	764
ENST00000006724	207
ENST00000006750	201
ENST00000006777	364
ENST00000007264	312
ENST00000007390	312
ENST00000007414	842
ENST00000007516	88
ENST00000007699	364
ENST00000007708	407
ENST00000007722	1019
ENST00000007735	404
ENST00000007969	343
ENST00000008180	204
ENST00000008391	452
ENST00000008440	489
ENST00000008527	586
ENST00000008938	175
ENST00000009041	234
ENST00000009105	476
ENST00000009180	227
ENST00000009530	296
ENST00000009589	118
ENST00000010132	520
ENST00000010299	307
ENST00000010404	155
ENST00000011292	309
ENST00000011473	259
ENST00000011619	729
ENST00000011653	433
ENST00000011684	790
ENST00000011691	77
ENST00000011898	239
ENST00000011989	504
ENST00000012049	382
ENST00000012134	2446
ENST00000012443	498
ENST00000013034	152
ENST00000013070	425
ENST00000013125	846
ENST00000013222	263
ENST00000013807	297
ENST00000014914	357
ENST00000014930	189
ENST00000014935	284
ENST00000016171	410
ENST00000016913	267
ENST00000016946	1765
ENST00000017003	865
ENST00000019019	329
ENST00000019103	418
ENST00000019317	654
ENST00000020673	1024
ENST00000020926	426
ENST00000020945	268
ENST00000022615	282
ENST00000023064	487
ENST00000023897	429
ENST00000024061	768
ENST00000025008	1594
ENST00000025301	1901
ENST00000025399	350
ENST00000026218	759
ENST00000027335	810
ENST00000028008	47
ENST00000029410	327
ENST00000033079	915
ENST00000034275	566
ENST00000035307	772
ENST00000035383	1537
ENST00000037243	116
ENST00000037502	472
ENST00000037869	137
ENST00000038176	917
ENST00000039007	322
ENST00000039989	1141
ENST00000040584	242
ENST00000040663	369
ENST00000040738	3051
ENST00000040877	1621
ENST00000042381	1223
ENST00000042931	509
ENST00000043402	421
ENST00000044462	261
ENST00000045083	946
ENST00000045347	599
ENST00000046087	307
ENST00000046640	367
ENST00000046794	533
ENST00000052569	461
ENST00000052754	329
ENST00000053243	184
ENST00000053468	201
ENST00000053469	200
ENST00000053867	576
ENST00000054650	239
ENST00000054666	99
ENST00000054950	302
ENST00000055077	354
ENST00000055335	799
ENST00000055682	1516
ENST00000056217	1597
ENST00000056233	694
ENST00000057513	325
ENST00000060969	207
ENST00000061240	866
ENST00000062104	81
ENST00000064571	174
ENST00000064724	207
ENST00000064778	244
ENST00000064780	405
ENST00000066544	824
ENST00000070846	881
ENST00000072516	550
ENST00000072644	306
ENST00000072869	626
ENST00000074304	977
ENST00000075120	496
ENST00000075322	828
ENST00000075430	961
ENST00000075503	422
ENST00000078429	359
ENST00000078445	461
ENST00000078527	493
ENST00000080059	952
ENST00000081029	323
ENST00000083182	585
ENST00000084798	305
ENST00000085068	205
ENST00000085079	576
ENST00000085219	828
ENST00000086933	205
ENST00000155093	801
ENST00000155674	400
ENST00000155840	676
ENST00000155858	1165
ENST00000155926	343
ENST00000156084	571
ENST00000156109	475
ENST00000156471	1485
ENST00000156476	78
ENST00000156499	227
ENST00000156626	600
ENST00000156825	291
ENST00000157600	365
ENST00000157812	418
ENST00000158009	324
ENST00000158166	505
ENST00000158762	740
ENST00000158771	239
ENST00000159060	568
ENST00000159087	1231
ENST00000159647	677
ENST00000160262	518
ENST00000160298	1249
ENST00000160373	1663
ENST00000160382	426
ENST00000160827	665
ENST00000161006	285
ENST00000161559	492
ENST00000161863	1430
ENST00000162044	451
ENST00000162330	870
ENST00000162391	573
ENST00000162749	426
ENST00000163416	730
ENST00000163678	404
ENST00000164024	3280
ENST00000164133	497
ENST00000164139	841
ENST00000164227	454
ENST00000164247	367
ENST00000164305	554
ENST00000164640	769
ENST00000165698	201
ENST00000166139	237
ENST00000166244	978
ENST00000166345	432
ENST00000166534	514
ENST00000167106	365
ENST00000167462	1020
ENST00000167586	472
ENST00000167588	424
ENST00000167825	1279
ENST00000168148	182
ENST00000168216	260
ENST00000168712	176
ENST00000168977	230
ENST00000169293	680
ENST00000169298	406
ENST00000169551	230
ENST00000170150	438
ENST00000170168	1221
ENST00000170447	416
ENST00000170564	930
ENST00000170630	800
ENST00000171111	624
ENST00000171214	311
ENST00000171757	339
ENST00000171887	1735
ENST00000172229	399
ENST00000172853	6669
ENST00000173229	580
ENST00000173527	298
ENST00000173898	1431
ENST00000174618	581
ENST00000174653	418
ENST00000175091	233
ENST00000175238	578
ENST00000175506	560
ENST00000175756	460
ENST00000176183	467
ENST00000176643	485
ENST00000176763	968
ENST00000177648	1244
ENST00000177694	535
ENST00000178638	330
ENST00000178640	448
ENST00000179259	270
ENST00000180166	211
ENST00000180173	660
ENST00000181383	309
ENST00000181796	130
ENST00000181839	1512
ENST00000182290	320
ENST00000182377	515
ENST00000182527	370
ENST00000183605	261
ENST00000184183	212
ENST00000184266	128
ENST00000184956	1181
ENST00000185150	450
ENST00000185206	410
ENST00000186436	1883
ENST00000187397	811
ENST00000187608	259
ENST00000187762	299
ENST00000187830	17
ENST00000187879	451
ENST00000187910	401
ENST00000188312	395
ENST00000188376	313
ENST00000188403	486
ENST00000188790	760
ENST00000189444	900
ENST00000189978	846
ENST00000190165	472
ENST00000190611	933
ENST00000190983	227
ENST00000191018	452
ENST00000191063	361
ENST00000192314	398
ENST00000192788	1440
ENST00000193322	303
ENST00000193391	1219
ENST00000193403	892
ENST00000194097	1403
ENST00000194118	414
ENST00000194130	595
ENST00000194152	768
ENST00000194155	768
ENST00000194214	144
ENST00000194530	418
ENST00000195173	1031
ENST00000196061	709
ENST00000196169	651
ENST00000196371	481
ENST00000196482	553
ENST00000196489	594
ENST00000196551	204
ENST00000197268	622
ENST00000198536	284
ENST00000198767	651
ENST00000198801	334
ENST00000199280	271
ENST00000199320	313
ENST00000199389	630
ENST00000199447	588
ENST00000199448	187
ENST00000199706	201
ENST00000199708	142
ENST00000199764	286
ENST00000199814	419
ENST00000199936	387
ENST00000199940	1827
ENST00000200135	778
ENST00000200181	1795
ENST00000200453	674
ENST00000200457	476
ENST00000200557	544
ENST00000200639	382
ENST00000200652	551
ENST00000200676	476
ENST00000200691	68
ENST00000201015	141
ENST00000201031	450
ENST00000201586	365
ENST00000201647	723
ENST00000201943	520
ENST00000201963	853
ENST00000201979	298
ENST00000202017	133
ENST00000202028	881
ENST00000202556	1090
ENST00000202625	706
ENST00000202677	1873
ENST00000202773	287
ENST00000202816	850
ENST00000202831	558
ENST00000202834	120
ENST00000202917	400
ENST00000202967	286
ENST00000203001	497
ENST00000203166	633
ENST00000203407	446
ENST00000203556	970
ENST00000203629	497
ENST00000203630	248
ENST00000203664	234
ENST00000204517	338
ENST00000204549	485
ENST00000204566	308
ENST00000204604	929
ENST00000204615	332
ENST00000204637	209
ENST00000204679	281
ENST00000204726	1498
ENST00000204801	404
ENST00000204961	319
ENST00000205061	1150
ENST00000205143	592
ENST00000205194	206
ENST00000205214	1098
ENST00000205386	1742
ENST00000205402	474
ENST00000205557	1503
ENST00000205636	183
ENST00000205890	3530
ENST00000205948	326
ENST00000206020	226
ENST00000206249	595
ENST00000206262	210
ENST00000206380	257
ENST00000206423	929
ENST00000206446	226
ENST00000206451	249
ENST00000206474	363
ENST00000206513	281
ENST00000206542	335
ENST00000206595	706
ENST00000206765	817
ENST00000207157	602
ENST00000207457	430
ENST00000207549	1090
ENST00000207870	536
ENST00000209540	355
ENST00000209665	386
ENST00000209668	374
ENST00000209718	422
ENST00000209728	560
ENST00000209873	545
ENST00000209875	191
ENST00000209884	609
ENST00000209929	470
ENST00000210060	369
ENST00000210187	256
ENST00000210313	503
ENST00000210444	358
ENST00000210633	821
ENST00000211076	205
ENST00000211122	221
ENST00000211287	365
ENST00000211314	99
ENST00000211372	151
ENST00000211377	356
ENST00000211379	1132
ENST00000211402	1263
ENST00000211413	306
ENST00000211936	751
ENST00000211998	1134
ENST00000212015	746
ENST00000212355	831
ENST00000214869	204
ENST00000215057	734
ENST00000215061	264
ENST00000215071	350
ENST00000215095	288
ENST00000215115	217
ENST00000215368	164
ENST00000215375	146
ENST00000215473	1312
ENST00000215479	190
ENST00000215530	148
ENST00000215531	110
ENST00000215539	578
ENST00000215555	246
ENST00000215565	136
ENST00000215567	308
ENST00000215570	95
ENST00000215574	236
ENST00000215582	679
ENST00000215631	160
ENST00000215637	364
ENST00000215659	367
ENST00000215727	480
ENST00000215730	258
ENST00000215739	839
ENST00000215742	309
ENST00000215743	391
ENST00000215754	114
ENST00000215770	134
ENST00000215780	243
ENST00000215781	196
ENST00000215790	508
ENST00000215793	792
ENST00000215794	372
ENST00000215812	400
ENST00000215829	125
ENST00000215832	359
ENST00000215838	409
ENST00000215855	211
ENST00000215862	1031
ENST00000215882	298
ENST00000215885	490
ENST00000215886	132
ENST00000215904	296
ENST00000215906	369
ENST00000215909	134
ENST00000215912	242
ENST00000215917	339
ENST00000215919	687
ENST00000215939	251
ENST00000215941	299
ENST00000215956	128
ENST00000215957	863
ENST00000215980	180
ENST00000216014	214
ENST00000216024	340
ENST00000216027	206
ENST00000216029	126
ENST00000216034	141
ENST00000216036	348
ENST00000216037	261
ENST00000216038	505
ENST00000216039	202
ENST00000216044	669
ENST00000216061	966
ENST00000216068	105
ENST00000216071	290
ENST00000216075	285
ENST00000216080	707
ENST00000216085	386
ENST00000216099	386
ENST00000216101	200
ENST00000216106	601
ENST00000216115	160
ENST00000216117	288
ENST00000216121	284
ENST00000216122	733
ENST00000216124	489
ENST00000216127	263
ENST00000216129	644
ENST00000216133	251
ENST00000216139	402
ENST00000216144	215
ENST00000216146	402
ENST00000216160	504
ENST00000216177	429
ENST00000216180	481
ENST00000216181	1959
ENST00000216185	107
ENST00000216187	658
ENST00000216190	548
ENST00000216200	109
ENST00000216211	269
ENST00000216214	357
ENST00000216218	369
ENST00000216223	525
ENST00000216225	108
ENST00000216237	705
ENST00000216241	732
ENST00000216252	109
ENST00000216254	753
ENST00000216259	261
ENST00000216264	537
ENST00000216267	1058
ENST00000216268	1171
ENST00000216271	669
ENST00000216274	518
ENST00000216277	744
ENST00000216281	731
ENST00000216286	1345
ENST00000216288	753
ENST00000216294	368
ENST00000216297	1046
ENST00000216330	223
ENST00000216336	235
ENST00000216338	226
ENST00000216341	227
ENST00000216350	637
ENST00000216361	591
ENST00000216366	144
ENST00000216367	527
ENST00000216373	1332
ENST00000216392	846
ENST00000216410	184
ENST00000216416	144
ENST00000216420	332
ENST00000216442	247
ENST00000216445	296
ENST00000216446	353
ENST00000216452	188
ENST00000216455	254
ENST00000216468	325
ENST00000216471	674
ENST00000216479	338
ENST00000216481	545
ENST00000216484	562
ENST00000216487	985
ENST00000216489	389
ENST00000216492	439
ENST00000216500	311
ENST00000216513	780
ENST00000216517	1094
ENST00000216540	349
ENST00000216554	431
ENST00000216568	897
ENST00000216602	234
ENST00000216605	935
ENST00000216629	353
ENST00000216639	396
ENST00000216658	789
ENST00000216714	317
ENST00000216727	305
ENST00000216733	561
ENST00000216756	212
ENST00000216774	504
ENST00000216780	608
ENST00000216797	317
ENST00000216799	208
ENST00000216802	238
ENST00000216807	323
ENST00000216832	716
ENST00000216840	567
ENST00000216862	479
ENST00000216877	783
ENST00000216879	370
ENST00000216923	681
ENST00000216927	359
ENST00000216951	473
ENST00000216962	842
ENST00000216968	221
ENST00000217026	700
ENST00000217043	197
ENST00000217073	614
ENST00000217086	1053
ENST00000217109	431
ENST00000217121	206
ENST00000217131	242
ENST00000217133	451
ENST00000217159	722
ENST00000217169	298
ENST00000217173	541
ENST00000217182	462
ENST00000217185	451
ENST00000217188	488
ENST00000217195	173
ENST00000217233	358
ENST00000217244	391
ENST00000217246	425
ENST00000217254	469
ENST00000217260	215
ENST00000217270	384
ENST00000217289	677
ENST00000217320	215
ENST00000217381	505
ENST00000217386	94
ENST00000217402	223
ENST00000217407	456
ENST00000217420	525
ENST00000217423	121
ENST00000217425	94
ENST00000217426	431
ENST00000217428	65
ENST00000217446	434
ENST00000217455	319
ENST00000217456	415
ENST00000217515	288
ENST00000217652	171
ENST00000217740	231
ENST00000217885	564
ENST00000217893	264
ENST00000217901	354
ENST00000217909	341
ENST00000217926	175
ENST00000217939	2802
ENST00000217957	366
ENST00000217958	226
ENST00000217961	562
ENST00000217964	577
ENST00000217971	195
ENST00000217999	184
ENST00000218004	142
ENST00000218006	1058
ENST00000218008	357
ENST00000218032	1015
ENST00000218056	485
ENST00000218068	102
ENST00000218075	425
ENST00000218089	1231
ENST00000218099	415
ENST00000218104	745
ENST00000218147	1711
ENST00000218176	647
ENST00000218197	325
ENST00000218200	632
ENST00000218224	264
ENST00000218230	227
ENST00000218249	278
ENST00000218316	617
ENST00000218340	349
ENST00000218348	963
ENST00000218364	754
ENST00000218388	184
ENST00000218436	1290
ENST00000218439	605
ENST00000218516	398
ENST00000218548	1039
ENST00000218652	336
ENST00000218721	412
ENST00000218758	304
ENST00000218867	291
ENST00000218981	317
ENST00000219022	490
ENST00000219054	531
ENST00000219066	282
ENST00000219069	683
ENST00000219070	551
ENST00000219091	554
ENST00000219097	252
ENST00000219139	422
ENST00000219150	460
ENST00000219162	62
ENST00000219168	122
ENST00000219169	127
ENST00000219197	172
ENST00000219204	163
ENST00000219207	182
ENST00000219235	69
ENST00000219240	395
ENST00000219244	71
ENST00000219251	544
ENST00000219252	274
ENST00000219255	346
ENST00000219271	538
ENST00000219281	265
ENST00000219299	377
ENST00000219301	365
ENST00000219302	169
ENST00000219313	324
ENST00000219315	473
ENST00000219320	462
ENST00000219322	553
ENST00000219334	655
ENST00000219343	515
ENST00000219345	379
ENST00000219368	372
ENST00000219400	79
ENST00000219406	504
ENST00000219409	225
ENST00000219431	281
ENST00000219439	329
ENST00000219454	189
ENST00000219473	797
ENST00000219476	1807
ENST00000219478	480
ENST00000219479	159
ENST00000219481	291
ENST00000219548	303
ENST00000219551	438
ENST00000219596	781
ENST00000219599	314
ENST00000219611	1086
ENST00000219660	261
ENST00000219689	1352
ENST00000219700	315
ENST00000219746	576
ENST00000219782	477
ENST00000219789	213
ENST00000219794	382
ENST00000219797	457
ENST00000219821	1006
ENST00000219833	617
ENST00000219837	458
ENST00000219905	3026
ENST00000219919	295
ENST00000220003	449
ENST00000220058	389
ENST00000220062	266
ENST00000220166	220
ENST00000220244	1331
ENST00000220325	541
ENST00000220420	719
ENST00000220429	394
ENST00000220478	449
ENST00000220496	304
ENST00000220507	236
ENST00000220509	972
ENST00000220514	229
ENST00000220531	172
ENST00000220562	919
ENST00000220584	417
ENST00000220592	859
ENST00000220597	432
ENST00000220616	2749
ENST00000220659	419
ENST00000220669	268
ENST00000220676	2156
ENST00000220751	540
ENST00000220763	428
ENST00000220764	301
ENST00000220772	283
ENST00000220809	527
ENST00000220812	206
ENST00000220822	358
ENST00000220849	444
ENST00000220853	296
ENST00000220856	345
ENST00000220876	179
ENST00000220888	1281
ENST00000220913	130
ENST00000220931	192
ENST00000220940	141
ENST00000220959	2798
ENST00000221086	549
ENST00000221114	190
ENST00000221130	479
ENST00000221132	445
ENST00000221138	309
