uniprot	pdb	oln
D6VTK4	2k9p.A	YFL026W
O13297	1d8h.A	YPL228W
O13516	4v88.AJ	YPL081W
O13563	5mpd.X	YLR421C
O14455	6em3.i	YPL249C-A
O14464	3j6b.0	YPL183W-A
O60200	5jqm.A	YKL053C-A
O74700	3dxr.A	YEL020W-A
O75012	5mrc.ZZ	YDL045W-A
O94742	5ubp.C	YDR363W-A
P00044	5t7h.A	YJR048W
P00045	1ytc.A	YEL039C
P00127	6giq.F	YFR033C
P00128	2ibz.F	YDR529C
P00163	3cx5.C	Q0105
P00175	1kbi.A	YML054C
P00330	4w6z.A	YOL086C
P00359	3pym.A	YGR192C
P00401	6giq.a	Q0045
P00410	6giq.b	Q0250
P00420	6giq.c	Q0275
P00424	6giq.e	YNL052W
P00427	6giq.f	YHR051W
P00431	1cca.A	YKR066C
P00445	1f1g.A	YJR104C
P00447	3rn4.A	YHR008C
P00549	1a3w.A	YAL038W
P00560	1qpg.A	YCR012W
P00572	3tmk.A	YJR057W
P00724	4eqv.A	YIL162W
P00729	1cpy.A	YMR297W
P00817	1m38.A	YBR011C
P00830	2xok.D	YJR121W
P00854	6b2z.M	Q0085
P00856	6b2z.A	Q0080
P00924	2al1.A	YGR254W
P00942	4ff7.A	YDR050C
P00950	5pgm.A	YKL152C
P00958	2hsn.A	YGR264C
P01094	1dp5.B	YMR174C
P01097	3zia.J	YDL181W
P01123	2bcg.Y	YFL038C
P02293	5bt1.D	YDR224C
P02294	4jjn.D	YBL002W
P02309	4kud.B	YNL030W
P02381	5mrc.CC	Q0140
P02400	3n3x.B	YDR382W
P02406	4v88.Ba	YGL103W
P02407	4u4r.C7	YML024W
P02557	4u3j.B	YFL037W
P02829	2cg9.A	YPL240C
P02994	1f60.A	YPR080W
P03069	2dgc.A	YEL009C
P03870	1m6x.A	R0010W
P03882	3c0w.A	Q0160
P03962	3gdm.A	YEL021W
P04037	6giq.d	YGL187C
P04039	6giq.h	YLR395C
P04050	1twf.A	YDL140C
P04051	6eu3.A	YOR116C
P04147	1ifw.A	YER165W
P04385	2aj4.A	YBR020W
P04386	3coq.A	YPL248C
P04387	3btv.A	YML051W
P04397	1z45.A	YBR019C
P04449	4u4r.N4	YGL031C
P04456	4v88.BX	YOL127W
P04650	4v88.Bl	YJL189W
P04786	1ois.A	YOL006C
P04802	1asy.A	YLL018C
P04806	3b8a.X	YFR053C
P04807	1ig8.A	YGL253W
P04911	4wnn.A	YDR225W
P04912	4kud.C	YBL003C
P05317	4v88.Dq	YLR340W
P05318	5dge.p1	YDL081C
P05319	4v6i.Bv	YOL039W
P05373	1h7n.A	YGL040C
P05453	4crn.P	YDR172W
P05626	6b2z.N	YPL078C
P05737	4v88.BF	YGL076C
P05738	4u4r.L9	YGL147C
P05740	4v88.BP	YKL180W
P05743	4v88.BY	YLR344W
P05744	4v88.Bf	YPL143W
P05745	4v88.Bi	YMR194W
P05747	4v88.Bb	YFR032C-A
P05748	4v88.BN	YLR029C
P05749	4v88.BU	YLR061W
P05750	4bsz.A	YNL178W
P05756	4v88.AN	YDR064W
P05759	4v88.Af	YLR167W
P06100	4by6.B	YDL165W
P06103	6fyx.p	YOR361C
P06104	4r62.A	YGL058W
P06169	2vk8.A	YLR044C
P06243	5t2s.B	YDL017W
P06244	1fot.A	YJL164C
P06367	4v88.AO	YCR031C
P06633	6ezm.A	YOR202W
P06700	4iao.A	YDL042C
P06701	4jjn.K	YLR442C
P06704	3fwb.A	YOR257W
P06738	1ygp.A	YPR160W
P06779	5zb2.A	YJR052W
P06780	3a58.B	YPR165W
P06782	3hyh.A	YDR477W
P06786	4gfh.A	YNL088W
P06787	1lkj.A	YBR109C
P06839	5oqj.0	YER171W
P07143	6giq.D	YOR065W
P07149	2uv8.G	YKL182W
P07170	1aky.A	YDR226W
P07213	2gw1.A	YNL121C
P07236	3uh0.A	YKL194C
P07248	2adr.A	YDR216W
P07250	2iew.A	YDR173C
P07251	2xok.A	YBL099W
P07255	6giq.i	YDL067C
P07256	6giq.A	YBL045C
P07257	6giq.B	YPR191W
P07260	1ap8.A	YOL139C
P07267	1dpj.A	YPL154C
P07270	1a0a.A	YFR034C
P07271	5o6b.A	YML061C
P07272	1pyi.A	YLR014C
P07273	1pqv.S	YGL043W
P07274	1ypr.A	YOR122C
P07275	4oe6.A	YHR037W
P07276	4q0w.A	YGR258C
P07278	3of1.A	YIL033C
P07280	4v88.AT	YOL121C
P07342	6bd9.A	YMR108W
P07347	4xnh.B	YHR013C
P07560	3cph.A	YFL005W
P07703	4c2m.C	YPR110C
P07834	3v7d.B	YFL009W
P07884	3eph.A	YOR274W
P08018	2vkn.C	YJL128C
P08067	6giq.E	YEL024W
P08153	1ncs.A	YDR146C
P08417	1yfm.A	YPL262W
P08518	1twf.B	YOR151C
P08525	2ibz.G	YJL166W
P08536	1g8f.A	YJR010W
P08638	2er8.A	YLR451W
P08640	4uyr.A	YIR019C
P09064	6fyx.l	YPL237W
P09119	5udb.9	YJL194W
P09457	6b8h.O	YDR298C
P09547	2li6.A	YPL016W
P09620	1ac5.A	YGL203C
P09624	1v59.A	YFL018C
P09733	4u3j.A	YML085C
P09938	1jk0.A	YJL026W
P09950	5txr.A	YDR232W
P09959	1sw6.A	YLR182W
P0C074	5zwm.6	YNL138W-A
P0C0V8	4u4r.D1	YKR057W
P0C0W1	4v88.AW	YJL190C
P0C0W9	4v88.BJ	YPR102C
P0C0X0	6eml.L	YLR264W
P0C2H6	4v88.BZ	YHR010W
P0C2H8	4v88.Bd	YDL075W
P0C2H9	4v4b.BW	YLR406C
P0C5R9	6c6l.O	YPR170W-B
P0CG63	2kdi.A	YLL039C
P0CH08	4v88.Bm	YIL148W
P0CX23	4u4r.N0	YMR242C
P0CX24	4v8y.BS	YOR312C
P0CX25	4v88.Bp	YPR043W
P0CX26	5m1j.p5	YJR094W-A
P0CX27	4v88.Bo	YNL162W
P0CX28	4v7r.Bf	YHR141C
P0CX29	4v88.AX	YGR118W
P0CX31	4v88.AY	YER074W
P0CX33	4v88.Ae	YLR287C-A
P0CX35	4v88.AE	YJR145C
P0CX36	4v6i.AD	YHR203C
P0CX37	4u4r.S6	YPL090C
P0CX39	4u4r.S8	YBL072C
P0CX41	4v88.BV	YBL087C
P0CX43	5jup.E	YPL220W
P0CX44	4v7r.BA	YGL135W
P0CX45	4v88.BA	YFR031C-A
P0CX46	4v7r.BB	YIL018W
P0CX47	4v88.AL	YDR025W
P0CX49	4v88.BQ	YOL120C
P0CX50	4v7r.BR	YNL301C
P0CX51	4v88.AQ	YMR143W
P0CX53	5dge.m2	YEL054C
P0CX54	4v7r.DL	YDR418W
P0CX55	4v88.AS	YDR450W
P0CX56	4v7r.AL	YML026C
P0CX81	1aqs.A	YHR055C
P0CX82	4v88.BR	YBR084C-A
P0CX83	4v8t.R	YBL027W
P0CX84	4v88.Bh	YDL191W
P0CX85	4v7r.Bc	YDL136W
P0CX86	4u4r.Q1	YDL184C
P0CX87	6hhq.AO	YDL133C-A
P0CY08	1mnm.C	YCR039C
P0CY11	1mh3.A	YCR097W
P10081	2vso.A	YKR059W
P10174	6giq.g	YMR256C
P10363	4mm2.A	YIR008C
P10507	1hr6.B	YLR163C
P10591	5z8i.A	YAL005C
P10614	4lxj.A	YHR007C
P10662	5mrc.44	YDR347W
P10663	5mrc.NN	YPR166C
P10664	4v88.BC	YBR031W
P10962	6em3.3	YAL025C
P10964	4c2m.A	YOR341W
