oln	contact_density
YAL012W	3.7455
YDR050C	3.7611
YMR288W	3.8114
YDR513W	3.6019
YGL047W	4.2438
YKR070W	3.9205
YER172C	3.7325
YJR032W	3.7526
YER131W	2.1939
YDL184C	2.9429
YPL144W	3.5669
YGL092W	3.3562
YBR111W-A	3.2088
YGL037C	3.8333
YHR007C	3.8887
YDR041W	2.8441
YBR248C	3.9497
YPR052C	3.2258
YBR087W	3.4385
Q0085	3.3534
YNL232W	3.0851
YPR190C	3.0891
YEL019C	3.1535
YJL125C	3.3386
YER126C	2.8565
YDL191W	3.2867
YLR312W-A	4.1795
YMR237W	3.5925
YDL064W	3.6194
YEL056W	3.8470
YPL129W	0.0950
YMR228W	3.8602
YIL076W	3.7031
YOL012C	4.7865
YPL262W	3.7867
YDR373W	4.1000
YDR322W	4.3855
YOR312C	2.9477
YMR099C	3.8194
YIL018W	3.0437
YFR050C	3.5150
YMR312W	3.6806
YLR447C	2.3043
YPR094W	3.3689
YDR540C	3.8750
YCR012W	3.7904
YIL021W	3.2068
YPR074C	4.0487
YNL045W	4.0384
YHR148W	3.1648
YHR191C	2.6970
YNL239W	3.8230
YGR118W	3.0556
YML085C	4.9190
YHR042W	3.8034
YOL120C	3.3779
YOR133W	3.8364
YMR143W	3.3688
YOR151C	3.6362
YML028W	3.7282
YCR063W	3.1019
YAL054C	3.8683
YDL128W	4.0348
YNL168C	3.7206
YFR047C	3.4906
YGR198W	3.8537
YML077W	3.1818
YBR252W	3.1024
YDR404C	3.3766
YKL053C-A	3.5574
YMR092C	3.9290
YLR043C	4.4563
YJL008C	3.1524
YKL006W	3.0200
YNL135C	3.5398
YJR101W	3.5738
YGL147C	3.2270
YGR099W	3.7972
YBR035C	3.4732
YPR160W	3.9091
YBL001C	3.1154
YPR073C	3.7862
YLR300W	4.0931
YDR454C	3.4550
YLR128W	3.6400
YDR424C	3.3488
YKR068C	3.2957
YLR287C-A	1.6667
YBR191W	3.3786
YPR032W	3.7863
YBR019C	3.9659
YGL100W	3.5162
YPR193C	3.1733
YHR072W-A	3.6724
YKL009W	2.9573
YDL192W	2.2893
R0010W	3.6090
YFL039C	3.8360
YOR210W	3.1385
YJR057W	3.7269
YJL126W	3.8882
YDL004W	2.7479
YIL133C	3.4417
YCR046C	3.5629
YOR391C	4.0651
YKL080W	3.6786
YPL152W	3.8938
YER094C	3.8627
YKL194C	3.7429
YER067W	3.4863
YPL271W	2.2931
YBR109C	3.8904
YLR061W	3.0088
YJL010C	3.8877
YBL078C	3.5126
YDR419W	3.6595
YPR103W	3.7736
YDR378C	3.1429
YMR223W	3.5275
YGR029W	3.1118
YPL046C	4.1818
YOL064C	4.0366
YOR274W	3.6940
YKL024C	3.7449
YDR435C	3.9421
YIL070C	3.4302
YEL039C	3.4911
YHL006C	3.3836
YKL130C	3.7054
YMR297W	3.8789
YPL007C	3.5877
YGR095C	3.7188
YMR146C	3.8142
YGL238W	3.9286
YDR226W	4.0917
YLR409C	3.5282
YHR029C	3.7449
YGR209C	4.1346
YCR060W	3.9369
YMR268C	3.5813
YOR065W	3.1815
YIR029W	3.8522
YER009W	3.3802
YBL016W	3.7033
YKR049C	4.7218
YPL145C	3.5754
YNR036C	2.8548
YOR288C	3.7116
YJR145C	3.3538
YPL002C	3.5352
YJR102C	3.6000
YML079W	3.6183
YML054C	3.6151
YBR164C	3.6145
YMR168C	3.9154
YNR071C	3.9256
YNL092W	3.6658
Q0080	2.7292
YBR097W	2.3154
YMR242C	3.4154
YER177W	3.8528
YDL235C	3.6446
YGR063C	3.3385
YLR027C	3.7816
YLR351C	3.8856
YOL094C	3.6709
YPR036W	3.8993
YPR016C	3.6762
YNL317W	3.8376
YJL081C	3.6936
YBR146W	3.2478
YBR107C	3.7671
YMR096W	3.6797
YGL202W	3.6721
YLR147C	3.1220
YDR177W	3.8465
YBR154C	3.4502
YOR046C	3.8261
YML009C	3.1562
YLR293C	3.4826
YDR142C	3.8631
YDL147W	3.4084
YMR318C	3.9028
YBR251W	2.9931
YDR009W	3.9632
YDR025W	2.8387
YGR195W	3.6379
YKL173W	3.4892
YBL071W-A	3.8415
YEL021W	3.7893
YKL035W	3.3355
YLR388W	2.2264
YHL015W	2.8037
YKL069W	3.6648
YDR372C	3.6277
YKL145W	3.2410
YDR235W	3.6883
YJL191W	2.6419
YIR012W	3.9235
YMR079W	3.6385
YOL005C	3.0088
YBR046C	3.9182
YKL152C	3.7991
YJL014W	3.2393
YDR013W	3.0337
YOL072W	4.6154
YDL081C	3.3883
YGL224C	3.8097
YDR155C	3.7516
YHR041C	3.3902
YDR165W	3.7647
YFL018C	3.7259
YJR068W	3.4695
YOR084W	3.7251
YMR022W	3.3720
YGL058W	3.5705
YPL015C	3.6644
YKR006C	3.3681
YMR038C	3.3827
YOR096W	3.0761
YPR101W	2.5513
YMR293C	3.9753
YAL038W	3.8008
YGR091W	3.2120
YDL232W	2.4444
YOR253W	4.2075
YCR072C	3.7462
YMR158W	3.4805
YGR158C	3.3333
YGL031C	3.1862
YDR337W	3.2647
YER069W	3.6691
YER012W	3.7374
YIL035C	3.8338
YOL097C	3.9380
YJL096W	3.7881
YBR153W	3.4389
YHR039C-A	2.7158
YML121W	3.7705
YPL126W	2.4704
Q0160	3.5336
YBL026W	2.9457
YPL135W	3.1127
YKR059W	3.6721
YLR301W	3.5265
YGL135W	1.6774
YGR098C	3.9764
YPR062W	3.9231
YBL041W	3.5045
YNR032C-A	4.3288
YDR091C	3.2388
YER163C	3.6996
YMR289W	3.7670
YIR005W	3.2188
YPL047W	2.5161
YDL185W	2.5347
YDR399W	3.5473
YEL013W	3.9734
YDL007W	3.1688
YGL040C	3.8029
YDR385W	3.8364
YJR123W	3.3786
YIL051C	3.5120
YPR162C	3.1119
YLL009C	2.9565
YLR264W	2.6032
YNL002C	3.1568
YML081C-A	2.3390
YDL045C	4.6175
YLR163C	3.8952
YJL153C	3.6914
YDR450W	3.0828
YLR364W	4.0826
YKL058W	2.8515
YNR043W	3.8338
YKR043C	3.8077
YFR005C	4.5190
YDL143W	3.1609
YKL138C	3.5932
YDR428C	3.8966
YJL050W	3.3620
YPL093W	2.9253
YDR347W	3.4481
YAL036C	3.5337
YOL071W	4.0459
YNR053C	2.9745
YOL039W	2.3724
YDL100C	3.7508
YMR027W	4.0539
