uniprot	pdb	oln
A5A616	5oqt.C	b4599
A5A618	6rko.H	b4602
O32583	1f0z.A	b4407
P00350	2zyd.A	b2029
P00363	1kf6.A	b4154
P00370	4bht.A	b1761
P00448	1ix9.A	b3908
P00452	2xap.A	b2234
P00490	1ahp.A	b3417
P00509	2q7w.A	b0928
P00550	1j6t.A	b3599
P00561	6mx1.A	b0002
P00579	5uag.F	b3067
P00582	1d8y.A	b3863
P00634	5jtl.E	b0383
P00722	6drv.A	b0344
P00803	3s04.A	b2568
P00805	5mq5.A	b2957
P00811	2ffy.A	b4150
P00816	1dw9.A	b0340
P00861	1knw.A	b2838
P00864	1jqn.A	b3956
P00888	6agl.A	b2601
P00894	2f1f.A	b0078
P00909	1pii.A	b1262
P00914	1dnp.A	b0708
P00926	3ss7.X	b2366
P00934	1vb3.A	b0004
P00935	1cs1.A	b3939
P00957	3hy0.A	b2697
P00959	1pfv.A	b2114
P00962	1qtq.A	b0680
P00963	12as.A	b3744
P00968	1a9x.A	b0033
P02358	4v9o.BF	b4200
P02359	4v9o.BG	b3341
P02413	4ybb.CM	b3301
P02916	3rlf.F	b4033
P02919	3vma.A	b0149
P02920	2cfq.A	b0343
P02924	8abp.A	b1901
P02925	2dri.A	b3751
P02929	2grx.C	b1252
P02930	1tqq.A	b3035
P02931	2zfg.A	b0929
P02932	1pho.A	b0241
P02942	3zx6.A	b4355
P02943	1af6.A	b4036
P03004	2e0g.A	b3702
P03007	5m1s.D	b0215
P03018	2is6.A	b3813
P03023	3edc.A	b0345
P03817	2hna.A	b3742
P03819	3l9w.A	b0047
P03959	5mrw.A	b0698
P03960	6hra.B	b0697
P03961	6hra.C	b0696
P04036	1dih.A	b0031
P04079	1gpm.A	b2507
P04128	2jty.A	b4314
P04391	1duv.G	b4254
P04395	1mpg.A	b2068
P04425	1gsa.A	b2947
P04693	3fsl.A	b4054
P04816	1usg.A	b3458
P04825	3b34.A	b0932
P04951	3k8d.A	b0918
P04968	1tdj.A	b3772
P04993	1w36.D	b2819
P04995	2qxf.A	b2011
P05020	2z26.A	b1062
P05041	1k0e.A	b1812
P05042	6nzb.A	b1611
P05050	3khc.A	b2212
P05055	3cdi.A	b3164
P05100	1lmz.A	b3549
P05458	1q2l.A	b2821
P05523	1k82.A	b3635
P05719	2y7c.A	b4348
P05793	3ulk.A	b3774
P05804	3lpf.A	b1617
P05825	1fep.A	b0584
P05852	4wq4.A	b3064
P06129	2guf.A	b3966
P06134	1sfe.A	b2213
P06136	6h9n.A	b0093
P06149	1f0x.A	b2133
P06609	2qi9.A	b1711
P06611	2qi9.C	b1709
P06612	4rul.A	b1274
P06616	1ega.A	b2566
P06709	1bia.A	b3973
P06710	1jr3.A	b0470
P06715	1ges.A	b3500
P06721	4itx.A	b3008
P06722	1azo.A	b2831
P06959	2k7v.A	b0115
P06968	1seh.A	b3640
P06971	1qfg.A	b0150
P06974	1u8t.E	b1945
P06983	1gtk.A	b3805
P06986	1fg7.A	b2021
P06988	1kae.A	b2020
P06992	3tpz.A	b0051
P06993	1hz4.A	b3418
P06996	2j1n.A	b2215
P06999	3umo.A	b1723
P07001	2bru.A	b1603
P07003	3ey9.A	b0871
P07012	1gqe.A	b2891
P07013	5wqv.A	b4201
P07014	2wdq.B	b0724
P07017	4z9h.A	b1886
P07024	1ush.A	b0480
P07026	4lfu.A	b1916
P07102	1dkq.A	b0980
P07363	2lp4.A	b1888
P07395	3pco.B	b1713
P07464	1krr.A	b0342
P07604	2jhe.A	b1323
P07623	6mtg.A	b4013
P07648	1w36.C	b2822
P07649	2nqp.A	b2318
P07650	2tpt.A	b4382
P07658	2iv2.X	b4079
P07762	1m7x.A	b3432
P07813	4arc.A	b0642
P07822	1efd.N	b0152
P07862	4c5c.A	b0092
P08178	1cli.A	b2499
P08179	1jkx.A	b2500
P08189	6e14.F	b4318
P08190	3jwn.G	b4319
P08191	4xo9.A	b4320
P08192	1w78.A	b2315
P08194	1pw4.A	b2240
P08200	1pb1.A	b1136
P08202	4f2d.A	b0062
P08203	1k0w.A	b0061
P08244	1eix.A	b1281
P08245	1d1r.A	b1282
P08312	3pco.A	b1714
P08337	1mut.A	b0099
P08373	1mbb.A	b3972
P08394	1w36.B	b2820
P08395	3bf0.A	b1766
P08506	3ita.A	b0839
P08622	1xbl.A	b0015
P08660	2j0w.A	b4024
P08839	2n5t.A	b2416
P08957	2y7c.B	b4349
P08997	3cuz.A	b4014
P09029	3eth.A	b0522
P09030	1ako.A	b1749
P09099	2itm.A	b3564
P09147	5gy7.A	b0759
P09148	1gup.A	b0758
P09152	1q16.A	b1224
P09155	1yt3.A	b1804
P09158	3o4f.A	b0121
P09163	2kcw.A	b4012
P09169	1i78.A	b0565
P09184	1cw0.A	b1960
P09372	1dkg.A	b2614
P09373	1h16.A	b0903
P09391	5f5b.A	b3424
P09394	1t8q.A	b2239
P09546	4o8a.A	b1014
P09980	1uaa.A	b3778
P0A698	4dfc.B	b4058
P0A6A8	1l0i.A	b1094
P0A6B4	4wr3.A	b4053
P0A6B7	1p3w.A	b2530
P0A6C1	1qtw.A	b2159
P0A6C8	1gs5.A	b3959
P0A6D0	1aoy.A	b3237
P0A6D3	1g6s.A	b0908
P0A6D7	1kag.A	b3390
P0A6E4	1k92.A	b3172
P0A6E6	5t4o.H	b3731
P0A6F1	1c30.B	b0032
P0A6F3	1bu6.O	b3926
P0A6F5	1grl.A	b4143
P0A6F9	1pcq.O	b4142
P0A6G7	6nb1.A	b0437
P0A6H1	3hws.A	b0438
P0A6H5	1g4a.E	b3931
P0A6I0	1cke.A	b0910
P0A6I3	1esm.A	b3974
P0A6I6	5jbn.A	b3634
P0A6I9	1n3b.A	b0103
P0A6K1	4ijz.A	b3809
P0A6K3	3k6l.A	b3287
P0A6L0	1p1x.A	b4381
P0A6L2	2ojp.A	b2478
P0A6L4	3lbm.A	b3225
P0A6L9	1fpo.A	b2527
P0A6M2	2k73.A	b1185
P0A6M4	1jke.A	b3887
P0A6M8	4v9o.BV	b3340
P0A6N4	3a5z.B	b4147
P0A6P1	3mmp.A	b0170
P0A6P5	3j8g.X	b2511
P0A6P7	1pui.A	b3865
P0A6P9	6bfy.A	b2779
P0A6Q3	4keh.A	b0954
P0A6Q6	6n3p.A	b0180
P0A6R0	1hnj.A	b1091
P0A6R3	1eto.A	b3261
P0A6S5	6h9n.B	b2748
P0A6T1	3nbu.A	b4025
P0A6T5	1a8r.A	b2153
P0A6T9	3ab9.A	b2904
P0A6U3	3ces.A	b3741
P0A6U5	1jsx.A	b3740
P0A6U8	2qzs.A	b3429
P0A6V1	5l6v.A	b3430
P0A6V5	1gmx.A	b3425
P0A6W5	1grj.A	b3181
P0A6W9	1va6.A	b2688
P0A6X3	2y90.A	b4172
P0A6X7	1owf.A	b1712
P0A6Y1	1owf.B	b0912
P0A6Y5	1i7f.A	b3401
P0A6Y8	2kho.A	b0014
P0A6Z1	1u00.A	b2526
P0A6Z3	2ioq.A	b0473
P0A6Z6	2hza.A	b3481
P0A705	3jcj.f	b3168
P0A707	5me0.Z	b1718
P0A715	1phw.A	b1215
P0A717	4s2u.A	b1207
P0A720	4tmk.A	b1098
P0A722	6hy2.X	b0181
P0A725	4mqy.A	b0096
P0A729	4jhc.A	b1087
P0A731	1b93.A	b0963
P0A734	3r9j.C	b1174
P0A738	4pya.A	b0783
P0A742	4lku.A	b3291
P0A744	2gt3.A	b4219
P0A749	3kqj.A	b3189
P0A752	1k4m.A	b0639
P0A754	3l9w.A	b0046
P0A759	1fs5.A	b0678
P0A763	2hur.A	b2518
P0A772	3n3a.C	b2674
P0A776	2kdv.A	b2830
P0A780	1ey1.A	b0416
P0A784	2igi.A	b4162
P0A786	1ekx.A	b4245
P0A790	1pqh.A	b0131
P0A794	1m5w.A	b2564
P0A796	1pfk.A	b3916
P0A799	1zmr.A	b2926
P0A7A5	3lbf.A	b2743
P0A7A9	4um4.A	b4226
P0A7B1	1xdp.A	b2501
P0A7B5	2j5v.A	b0242
P0A7B8	5ji3.A	b3932
P0A7C2	1jhf.A	b4043
P0A7D1	3vjr.A	b1204
P0A7D4	1kjx.A	b4177
P0A7D7	2gqr.A	b2476
P0A7E1	1f76.A	b0945
P0A7E3	1oro.A	b3642
P0A7E5	1s1m.A	b2780
P0A7E9	2bne.A	b0171
P0A7F3	4fyy.B	b4244
P0A7G2	1kkg.A	b3167
P0A7G6	2rec.A	b2699
P0A7H3	3q8d.A	b2565
P0A7I0	5j3c.QY	b1211
P0A7I4	2h5e.A	b4375
P0A7I7	2bz1.A	b1277
P0A7J0	1iez.A	b3041
P0A7J3	4v9o.A5	b3985
P0A7J7	4v9o.AI	b3983
P0A7K2	4v9o.A6	b3986
