oln	length
Q0010	128
Q0017	53
Q0032	96
Q0045	534
Q0050	834
Q0055	854
Q0075	354
Q0080	48
Q0085	249
Q0092	46
Q0105	385
Q0110	423
Q0115	517
Q0130	76
Q0140	398
Q0142	58
Q0143	50
Q0144	109
Q0160	235
Q0182	134
Q0250	236
Q0255	472
Q0275	269
Q0297	51
R0010W	423
R0020C	373
R0030W	181
R0040C	296
YAL001C	1160
YAL002W	1274
YAL003W	205
YAL005C	641
YAL007C	190
YAL008W	198
YAL009W	259
YAL010C	493
YAL011W	625
YAL012W	393
YAL013W	405
YAL014C	255
YAL015C	373
YAL016W	635
YAL017W	1356
YAL018C	325
YAL019W	1131
YAL020C	333
YAL021C	837
YAL022C	517
YAL023C	758
YAL024C	1435
YAL025C	306
YAL026C	1355
YAL027W	261
YAL028W	528
YAL029C	1471
YAL030W	117
YAL031C	760
YAL032C	379
YAL033W	173
YAL034C	413
YAL034W-A	289
YAL035W	1002
YAL036C	368
YAL037C-A	30
YAL037W	267
YAL038W	499
YAL039C	269
YAL040C	580
YAL041W	854
YAL042W	415
YAL043C	785
YAL044C	123
YAL044W-A	110
YAL046C	118
YAL047C	622
YAL048C	662
YAL049C	246
YAL051W	1047
YAL053W	761
YAL054C	713
YAL055W	180
YAL056W	880
YAL058W	483
YAL059W	212
YAL060W	382
YAL061W	417
YAL062W	457
YAL063C	1275
YAL063C-A	96
YAL064C-A	126
YAL064W	94
YAL064W-B	126
YAL065C	128
YAL067C	593
YAL067W-A	75
YAL068C	100
YAR002C-A	197
YAR002W	539
YAR003W	426
YAR007C	620
YAR008W	275
YAR009C	1196
YAR010C	440
YAR014C	706
YAR015W	305
YAR018C	435
YAR019C	974
YAR020C	35
YAR023C	179
YAR027W	235
YAR028W	234
YAR029W	74
YAR031W	298
YAR033W	234
YAR035C-A	26
YAR035W	687
YAR042W	1188
YAR050W	1490
YAR064W	99
YAR066W	161
YAR068W	161
YAR071W	450
YBL001C	104
YBL002W	130
YBL003C	131
YBL004W	2493
YBL005W	976
YBL005W-A	440
YBL005W-B	1755
YBL006C	180
YBL007C	1244
YBL008W	840
YBL008W-A	55
YBL009W	676
YBL010C	280
YBL011W	759
YBL013W	375
YBL014C	894
YBL015W	525
YBL016W	353
YBL017C	1558
YBL018C	133
YBL019W	520
YBL020W	574
YBL021C	144
YBL022C	1035
YBL023C	868
YBL024W	684
YBL025W	145
YBL026W	95
YBL027W	188
YBL028C	106
YBL029C-A	94
YBL029W	376
YBL030C	318
YBL031W	338
YBL032W	381
YBL033C	345
YBL034C	1513
YBL035C	705
YBL036C	256
YBL037W	1025
YBL038W	191
YBL039C	579
YBL039C-A	27
YBL039W-B	59
YBL040C	219
YBL041W	222
YBL042C	639
YBL043W	257
YBL044W	122
YBL045C	431
YBL046W	441
YBL047C	1381
YBL048W	103
YBL049W	138
YBL050W	291
YBL051C	668
YBL052C	831
YBL054W	525
YBL055C	418
YBL056W	468
YBL057C	208
YBL058W	423
YBL059C-A	109
YBL059W	193
YBL060W	687
YBL061C	693
YBL063W	1111
YBL064C	248
YBL066C	1148
YBL067C	747
YBL068W	326
YBL069W	429
YBL071C	102
YBL071C-B	32
YBL071W-A	82
YBL072C	199
YBL074C	355
YBL075C	649
YBL076C	1072
YBL078C	116
YBL079W	1502
YBL080C	541
YBL081W	368
YBL082C	458
YBL084C	758
YBL085W	980
YBL086C	466
YBL087C	136
YBL088C	2787
YBL089W	459
YBL090W	160
YBL091C	421
YBL091C-A	175
YBL092W	129
YBL093C	220
YBL095W	258
YBL097W	754
YBL098W	460
YBL099W	510
YBL100W-A	438
YBL100W-B	1770
YBL100W-C	39
YBL101C	1117
YBL102W	214
YBL103C	486
YBL104C	1038
YBL105C	1151
YBL106C	1010
YBL107C	196
YBL108C-A	100
YBL111C	667
YBL112C	105
YBL113C	792
YBR001C	780
YBR002C	286
YBR003W	473
YBR004C	433
YBR005W	213
YBR006W	497
YBR007C	736
YBR008C	548
YBR011C	286
YBR012W-A	440
YBR012W-B	1756
YBR013C	109
YBR014C	171
YBR015C	597
YBR016W	127
YBR017C	918
YBR018C	365
YBR019C	699
YBR020W	527
YBR021W	633
YBR022W	177
YBR023C	1165
YBR024W	301
YBR025C	394
YBR026C	371
YBR027C	110
YBR028C	525
YBR029C	457
YBR030W	552
YBR031W	361
YBR032W	100
YBR033W	919
YBR034C	348
YBR035C	228
YBR036C	393
YBR037C	295
YBR038W	963
YBR039W	278
YBR040W	298
YBR041W	669
YBR042C	397
YBR043C	689
YBR044C	556
YBR045C	639
YBR046C	334
YBR047W	137
YBR048W	155
YBR049C	810
YBR050C	338
YBR052C	210
YBR053C	358
YBR054W	344
YBR055C	899
YBR056W	501
YBR056W-A	66
YBR057C	366
YBR058C	781
YBR058C-A	80
YBR059C	1107
YBR060C	620
YBR061C	310
YBR062C	179
YBR063C	404
YBR065C	364
YBR066C	220
YBR067C	167
YBR068C	609
YBR069C	619
YBR070C	237
YBR071W	211
YBR072C-A	53
YBR072W	213
YBR073W	958
YBR074W	976
YBR076W	354
YBR077C	162
YBR078W	387
YBR079C	964
YBR080C	758
YBR081C	1332
YBR082C	148
YBR083W	485
YBR084C-A	188
YBR084W	941
YBR085C-A	85
YBR085W	307
YBR086C	946
YBR087W	354
YBR088C	258
YBR089C-A	99
YBR090C	122
YBR091C	108
YBR092C	450
YBR093C	450
YBR094W	753
YBR095C	430
YBR096W	230
YBR097W	1453
YBR098W	690
YBR101C	290
YBR102C	753
YBR103W	535
YBR104W	296
YBR105C	362
YBR106W	188
YBR107C	245
YBR108W	947
YBR109C	147
YBR110W	449
YBR111C	231
YBR111W-A	96
YBR112C	966
YBR114W	790
YBR115C	1392
YBR117C	681
YBR119W	298
YBR120C	161
YBR121C	666
YBR121C-A	52
YBR122C	163
YBR123C	649
YBR125C	393
YBR126C	495
YBR126W-A	68
YBR127C	517
YBR128C	344
YBR129C	328
YBR130C	425
YBR131W	704
YBR132C	596
YBR133C	827
YBR135W	150
YBR136W	2368
YBR137W	179
YBR138C	524
YBR139W	508
YBR140C	3092
YBR141C	337
YBR142W	773
YBR143C	437
YBR144C	104
YBR145W	351
YBR146W	268
YBR147W	296
YBR148W	609
