pdb1	pdb2	TM	SID	TM1	TM2	sid	nal
1a1d.A	1a3w.A	0.1711	0.05063	0.1204	0.3035	4	79
1a1d.A	1a4e.A	0.1862	0.03896	0.129	0.3408	3	77
1a1d.A	1afw.A	0.1928	0.03571	0.1463	0.2851	3	84
1a1d.A	1aky.A	0.2535	0.075	0.224	0.2925	6	80
1a3w.A	1a4e.A	0.2296	0.06633	0.2303	0.229	13	196
1a3w.A	1afw.A	0.2634	0.06215	0.2893	0.242	11	177
1a3w.A	1aky.A	0.2908	0.1357	0.425	0.222	19	140
1a4e.A	1afw.A	0.2332	0.06322	0.2534	0.2161	11	174
1a4e.A	1aky.A	0.2002	0.05172	0.2783	0.1575	6	116
1afw.A	1aky.A	0.2586	0.03676	0.3242	0.2161	5	136
