uniprot	length
A4Y035	258
O02372	124
O25103	138
P00004	104
P00025	103
P00041	109
P00044	108
P00094	116
P00099	82
P00149	125
P00171	133
P00173	133
P00183	414
P00257	128
P00282	128
P00287	99
P00439	452
P00441	153
P00509	396
P00560	415
P00563	381
P00582	928
P00586	296
P00644	168
P00648	110
P00651	104
P00692	483
P00698	129
P00709	123
P00711	123
P00712	123
P00720	164
P00760	223
P00766	13
P00791	326
P00792	330
P00794	323
P00800	316
P00805	326
P00811	358
P00929	268
P00947	125
P00952	419
P01005	186
P01009	394
P01051	70
P01053	83
P01236	199
P01584	153
P01593	95
P01868	324
P02144	153
P02185	153
P02417	149
P02511	175
P02526	174
P02633	78
P02640	826
P02647	249
P02654	57
P02672	577
P02693	131
P02751	2355
P02752	221
P02754	162
P02758	162
P02768	585
P02925	271
P03023	360
P03034	236
P03050	53
P03051	63
P03120	365
P04119	160
P04141	127
P04164	131
P04271	91
P04637	393
P05230	140
P05231	183
P05413	132
P05798	96
P05819	510
P06241	536
P06278	483
P06396	755
P06654	384
P07311	98
P07445	131
P07589	2446
P07740	355
P07751	2477
P07980	214
P07982	397
P08250	246
P08263	222
P08505	187
P08877	87
P09038	146
P09167	422
P09403	389
P09466	162
P09803	728
P09850	185
P0A3D9	169
P0A434	336
P0A6F5	547
P0A6F9	97
P0A7A9	175
P0A7Y4	155
P0A877	268
P0A881	107
P0A9X9	69
P0AA04	85
P0AA25	108
P0AE67	128
P0AEG4	189
P0AEX9	370
P0CG47	76
P0CG48	76
P0CG53	76
P0CH28	76
P10279	217
P10599	104
P10762	163
P10912	620
P11073	353
P11540	89
P13231	117
P13276	166
P13444	397
P15452	80
P15461	134
P17179	323
P17927	1998
P18912	394
P19079	136
P19614	66
P19821	832
P22069	104
P22983	873
P23176	615
P23202	353
P23370	101
P23441	372
P24821	2179
P25170	788
P29160	101
P29253	166
P29768	381
P32081	67
P37001	161
P37957	181
P38576	174
P39940	809
P41016	66
P42013	88
P42212	238
P42771	156
P48052	305
P48784	67
P50308	173
P53634	110
P55051	131
P60174	286
P61626	130
P61823	124
P62552	72
P62593	263
P62894	104
P62898	104
P62942	107
P62979	76
P62987	76
P62992	76
P63048	76
P67881	104
P68082	153
P68660	68
P69542	87
P80020	127
P80147	472
P80366	437
P80401	123
P81708	129
P82197	312
Q01468	62
Q16666	785
Q29463	224
Q56236	177
Q60034	169
Q64010	303
Q7SIF8	132
Q8WZ42	34350
Q92793	2441
Q9K8D2	87
Q9S3M0	136
