oln	evorate
YBR177C	0.1508
YIL140W	0.1824
YOR011W	0.0911
YJL155C	0.0885
YHR067W	0.3179
YAL008W	0.2071
YOR043W	0.0967
YFR027W	0.0925
YJL122W	0.1314
YDL214C	0.2525
YAL056W	0.2341
YJR122W	0.2556
YGR131W	0.2184
YIL034C	0.1010
YLR144C	0.2062
YNL003C	0.0880
YJR084W	0.1418
YBR135W	0.0143
YBR004C	0.1547
YBR160W	0.0201
YLR313C	0.4556
YDL238C	0.1892
YJL082W	0.0890
YHR007C	0.0660
YIR004W	0.1233
YKL190W	0.0343
YGL215W	0.1374
YLR348C	0.0638
YBR248C	0.1014
YNL152W	0.1524
YLR382C	0.1521
YFL045C	0.0512
YPL134C	0.0841
YJL131C	0.2079
YDL170W	0.1155
YIL124W	0.1380
YLR219W	0.2857
YKL048C	0.2484
YDR083W	0.1403
YMR009W	0.1676
YOR123C	0.1898
YJL179W	0.0734
YKL183W	0.1410
YDR363W	0.2588
YJL219W	0.1376
YPR118W	0.1606
YMR283C	0.1903
YKL134C	0.1101
YLR220W	0.0870
YFR005C	0.2121
YOR313C	0.2883
YER093C-A	0.2482
YOL034W	0.1255
YJR135W-A	0.0690
YFR050C	0.0677
YBL008W	0.1631
YLR079W	0.1851
YLR447C	0.0435
YGL237C	0.2000
YOL058W	0.0476
YIL062C	0.0714
YDR016C	0.1828
YPL059W	0.1074
YOL129W	0.0707
YDR299W	0.1798
YOL116W	0.1155
YJL149W	0.1118
YBR182C	0.3938
YGL257C	0.3080
YBR202W	0.0568
YOR027W	0.0751
YBR280C	0.1698
YGR020C	0.0254
YML105C	0.0959
YLL040C	0.1083
YOR322C	0.1634
YML092C	0.0120
YNL137C	0.1502
YPL104W	0.1672
YLR244C	0.0749
YDR198C	0.2902
YAL039C	0.1553
YNR018W	0.0714
YPL144W	0.2635
YOR184W	0.0734
YFR047C	0.0814
YGR100W	0.0717
YIL106W	0.0799
YLR403W	0.1473
YBR159W	0.1066
YML127W	0.0602
YCL030C	0.0826
YLR188W	0.1306
YGR084C	0.1891
YHR077C	0.1434
YBR069C	0.1311
YNR060W	0.1655
YLR355C	0.0304
YGL157W	0.2133
YLR233C	0.3814
YGR099W	0.2849
YBL015W	0.0323
YOL090W	0.0705
YLR300W	0.0982
YJL091C	0.1735
YJR140C	0.1371
YGR146C	0.1848
YBR043C	0.1274
YHR005C-A	0.0323
YDR380W	0.1543
YGR191W	0.0945
YBR094W	0.1129
YHR112C	0.0688
YNR007C	0.1129
YDR035W	0.0405
YMR224C	0.1443
YDR485C	0.3299
YGR077C	0.3039
YIL044C	0.1905
YPL239W	0.1206
YPR183W	0.0674
YLR069C	0.0570
YBL042C	0.1252
YNL091W	0.2383
YOL001W	0.1775
YBR054W	0.0671
YDR059C	0.0000
YOL063C	0.1526
YPL224C	0.2069
YLR137W	0.2247
YLR020C	0.1264
YLR404W	0.1930
YDL042C	0.1673
YOR058C	0.2346
YPL248C	0.3114
YIL013C	0.1169
YMR233W	0.2035
YPL206C	0.1620
YOL136C	0.1159
YDL060W	0.1231
YLR002C	0.1258
YDR393W	0.2212
YBR293W	0.1507
YGL084C	0.1071
YNR052C	0.0442
YGR019W	0.0743
YMR194W	0.0400
YHR032W	0.1483
YEL032W	0.0566
YOL076W	0.1972
YER145C	0.0891
YER110C	0.0368
YHR123W	0.0946
YBL033C	0.1331
YKL074C	0.2562
YPL266W	0.0283
YOR304W	0.0819
YLL057C	0.1650
YML112W	0.1695
YGL062W	0.0391
YNL229C	0.0377
YER169W	0.1193
YOL016C	0.0828
YGL241W	0.2380
YMR238W	0.0939
YLR229C	0.0105
YNL186W	0.2195
YCL044C	0.1308
YMR146C	0.0461
YPR165W	0.0000
YPR024W	0.0509
YDR226W	0.0586
YMR266W	0.1973
YNL079C	0.0804
YLR097C	0.2442
YDR108W	0.1122
YJL036W	0.0473
YER041W	0.2563
YGR277C	0.2155
YER009W	0.0240
YBR036C	0.1171
YMR015C	0.0613
YDL139C	0.2691
YDR246W	0.0959
YOR288C	0.2138
YCR028C	0.1513
YLR115W	0.1537
YNL288W	0.0751
YML054C	0.1066
YLR179C	0.1692
YGL014W	0.1336
YMR168C	0.1924
YML043C	0.2134
YLL035W	0.1667
YMR258C	0.1881
YER007W	0.3531
YOR141C	0.1331
YER027C	0.1175
YER167W	0.1677
YDL013W	0.1729
YBL106C	0.1663
YMR104C	0.1728
YGL044C	0.0845
YER107C	0.0658
YDL195W	0.1361
YBR038W	0.0385
YDR117C	0.1841
YCR026C	0.2192
YMR246W	0.1859
YBR060C	0.1677
YNL103W	0.2586
YEL047C	0.0938
YPR036W	0.0669
YIL026C	0.1520
YOR208W	0.2137
YBR228W	0.2039
YDL055C	0.0360
YDR177W	0.0140
YEL043W	0.1684
YML072C	0.1269
YHR052W	0.1569
YDR142C	0.1243
YFL044C	0.1130
YJR043C	0.2086
YPL263C	0.0937
YJL130C	0.0447
YJR126C	0.1563
YKL060C	0.0557
YBL085W	0.2137
YKL173W	0.1855
YGR200C	0.1536
YFL011W	0.0952
YLR383W	0.0978
YKL035W	0.0361
YDR082W	0.3367
YER044C-A	0.3028
YKL182W	0.0429
YDR469W	0.3943
YKL051W	0.1473
YMR013C	0.2160
YIR012W	0.1067
YLR363C	0.0642
YNR026C	0.1762
YOL158C	0.0825
YNL328C	0.0685
YJL014W	0.0337
YDR219C	0.2273
YCR011C	0.0821
YLR431C	0.2163
YKR046C	0.0777
YJR036C	0.2085
YJR005W	0.0886
YGR217W	0.1375
YNL072W	0.0847
YBL098W	0.1165
YJL116C	0.1365
YMR030W	0.2952
YOR174W	0.1972
YER030W	0.2483
YFL002C	0.1188
YPR149W	0.1156
YHR041C	0.1333
YJL176C	0.2550
YJR072C	0.0468
YDR047W	0.0746
YKR039W	0.1224
YPL087W	0.0915
YNL015W	0.1200
YCR084C	0.0492
YGL003C	0.0627
YJL054W	0.2745
YHR178W	0.1090
YOR118W	0.1728
YLR205C	0.1230
YDR268W	0.1161
YGL192W	0.1591
YPL170W	0.0789
YPR001W	0.1601
YML094W	0.0675
YKR006C	0.2385
YDL117W	0.1198
YMR131C	0.0686
YDR204W	0.1277
YLR435W	0.1902
YDR251W	0.2440
YMR293C	0.1674
YPL093W	0.0340
YIL005W	0.2429
YNL119W	0.2373
YML126C	0.0434
YHR079C	0.1463
YIL150C	0.1511
YJL208C	0.1159
YDR285W	0.2583
YNR019W	0.1444
YGR158C	0.1920
YJR152W	0.0685
YBR212W	0.1758
YJR109C	0.0510
YAR008W	0.1927
YBR158W	0.1785
YPL105C	0.3071
YLR392C	0.1602
YOL097C	0.0625
YJL096W	0.1988
YGR145W	0.0736
YLR354C	0.0687
YGR110W	0.1775
YLR457C	0.1975
YLR301W	0.1557
YAL007C	0.1163
YHR142W	0.0665
YGR098C	0.2095
YOR264W	0.3785
YJL154C	0.1070
YDR091C	0.0378
YJL123C	0.1970
YHR066W	0.0911
YAL009W	0.0734
YBR011C	0.0557
YBR129C	0.1508
YDL160C	0.0237
YBR176W	0.1346
YPL173W	0.1178
YDL215C	0.0485
YGR167W	0.1645
YPR065W	0.1848
YPL118W	0.0843
YKL099C	0.0840
YDR315C	0.3096
YJL143W	0.0253
YBR161W	0.1782
YGL238W	0.0594
YIR003W	0.4659
YNL104C	0.0420
YPL145C	0.0415
YIL118W	0.0476
YNL151C	0.1355
YKL191W	0.1704
YNL163C	0.1090
YHR006W	0.2902
YPL201C	0.3133
YHR120W	0.1536
YMR232W	0.1935
YHR025W	0.0448
YNL258C	0.2597
YOR098C	0.4271
YOR357C	0.0247
YOL137W	0.2374
YLR410W	0.0806
YDR530C	0.2031
YER111C	0.1591
YEL031W	0.0601
YOL071W	0.1824
YNR053C	0.0638
YDL063C	0.1591
YER144C	0.2742
YOL039W	0.0377
YGR185C	0.0847
YER168C	0.1322
YPL265W	0.0839
YIL083C	0.0493
YOR081C	0.1329
YEL026W	0.0000
YLL050C	0.0567
